,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,base_llm_gpt4o,0,scissors,scissors,0,0
1,prev_outcome_prev_transition,base_llm_gpt4o,1,paper,rock,3,-1
2,prev_outcome_prev_transition,base_llm_gpt4o,2,rock,scissors,3,-1
3,prev_outcome_prev_transition,base_llm_gpt4o,3,scissors,paper,3,-1
4,prev_outcome_prev_transition,base_llm_gpt4o,4,paper,rock,3,-1
5,prev_outcome_prev_transition,base_llm_gpt4o,5,rock,scissors,3,-1
6,prev_outcome_prev_transition,base_llm_gpt4o,6,scissors,paper,3,-1
7,prev_outcome_prev_transition,base_llm_gpt4o,7,paper,rock,3,-1
8,prev_outcome_prev_transition,base_llm_gpt4o,8,rock,scissors,3,-1
9,prev_outcome_prev_transition,base_llm_gpt4o,9,scissors,paper,3,-1
10,prev_outcome_prev_transition,base_llm_gpt4o,10,paper,rock,3,-1
11,prev_outcome_prev_transition,base_llm_gpt4o,11,rock,scissors,3,-1
12,prev_outcome_prev_transition,base_llm_gpt4o,12,scissors,paper,3,-1
13,prev_outcome_prev_transition,base_llm_gpt4o,13,paper,rock,3,-1
14,prev_outcome_prev_transition,base_llm_gpt4o,14,rock,scissors,3,-1
15,prev_outcome_prev_transition,base_llm_gpt4o,15,scissors,paper,3,-1
16,prev_outcome_prev_transition,base_llm_gpt4o,16,paper,rock,3,-1
17,prev_outcome_prev_transition,base_llm_gpt4o,17,rock,scissors,3,-1
18,prev_outcome_prev_transition,base_llm_gpt4o,18,paper,paper,0,0
19,prev_outcome_prev_transition,base_llm_gpt4o,19,rock,scissors,3,-1
20,prev_outcome_prev_transition,base_llm_gpt4o,20,scissors,paper,3,-1
21,prev_outcome_prev_transition,base_llm_gpt4o,21,paper,rock,3,-1
22,prev_outcome_prev_transition,base_llm_gpt4o,22,rock,scissors,3,-1
23,prev_outcome_prev_transition,base_llm_gpt4o,23,scissors,paper,3,-1
24,prev_outcome_prev_transition,base_llm_gpt4o,24,paper,rock,3,-1
25,prev_outcome_prev_transition,base_llm_gpt4o,25,rock,scissors,3,-1
26,prev_outcome_prev_transition,base_llm_gpt4o,26,scissors,paper,3,-1
27,prev_outcome_prev_transition,base_llm_gpt4o,27,paper,rock,3,-1
28,prev_outcome_prev_transition,base_llm_gpt4o,28,rock,scissors,3,-1
29,prev_outcome_prev_transition,base_llm_gpt4o,29,scissors,paper,3,-1
30,prev_outcome_prev_transition,base_llm_gpt4o,30,paper,rock,3,-1
31,prev_outcome_prev_transition,base_llm_gpt4o,31,rock,scissors,3,-1
32,prev_outcome_prev_transition,base_llm_gpt4o,32,scissors,paper,3,-1
33,prev_outcome_prev_transition,base_llm_gpt4o,33,paper,rock,3,-1
34,prev_outcome_prev_transition,base_llm_gpt4o,34,rock,scissors,3,-1
35,prev_outcome_prev_transition,base_llm_gpt4o,35,scissors,paper,3,-1
36,prev_outcome_prev_transition,base_llm_gpt4o,36,paper,rock,3,-1
37,prev_outcome_prev_transition,base_llm_gpt4o,37,rock,scissors,3,-1
38,prev_outcome_prev_transition,base_llm_gpt4o,38,scissors,paper,3,-1
39,prev_outcome_prev_transition,base_llm_gpt4o,39,paper,rock,3,-1
40,prev_outcome_prev_transition,base_llm_gpt4o,40,rock,scissors,3,-1
41,prev_outcome_prev_transition,base_llm_gpt4o,41,scissors,paper,3,-1
42,prev_outcome_prev_transition,base_llm_gpt4o,42,paper,rock,3,-1
43,prev_outcome_prev_transition,base_llm_gpt4o,43,rock,scissors,3,-1
44,prev_outcome_prev_transition,base_llm_gpt4o,44,scissors,paper,3,-1
45,prev_outcome_prev_transition,base_llm_gpt4o,45,paper,rock,3,-1
46,prev_outcome_prev_transition,base_llm_gpt4o,46,rock,scissors,3,-1
47,prev_outcome_prev_transition,base_llm_gpt4o,47,scissors,paper,3,-1
48,prev_outcome_prev_transition,base_llm_gpt4o,48,paper,rock,3,-1
49,prev_outcome_prev_transition,base_llm_gpt4o,49,rock,scissors,3,-1
50,prev_outcome_prev_transition,base_llm_gpt4o,50,rock,paper,-1,3
51,prev_outcome_prev_transition,base_llm_gpt4o,51,scissors,scissors,0,0
52,prev_outcome_prev_transition,base_llm_gpt4o,52,paper,rock,3,-1
53,prev_outcome_prev_transition,base_llm_gpt4o,53,scissors,scissors,0,0
54,prev_outcome_prev_transition,base_llm_gpt4o,54,scissors,rock,-1,3
55,prev_outcome_prev_transition,base_llm_gpt4o,55,paper,rock,3,-1
56,prev_outcome_prev_transition,base_llm_gpt4o,56,rock,scissors,3,-1
57,prev_outcome_prev_transition,base_llm_gpt4o,57,scissors,paper,3,-1
58,prev_outcome_prev_transition,base_llm_gpt4o,58,paper,rock,3,-1
59,prev_outcome_prev_transition,base_llm_gpt4o,59,rock,scissors,3,-1
60,prev_outcome_prev_transition,base_llm_gpt4o,60,scissors,paper,3,-1
61,prev_outcome_prev_transition,base_llm_gpt4o,61,paper,rock,3,-1
62,prev_outcome_prev_transition,base_llm_gpt4o,62,rock,scissors,3,-1
63,prev_outcome_prev_transition,base_llm_gpt4o,63,scissors,paper,3,-1
64,prev_outcome_prev_transition,base_llm_gpt4o,64,paper,rock,3,-1
65,prev_outcome_prev_transition,base_llm_gpt4o,65,rock,scissors,3,-1
66,prev_outcome_prev_transition,base_llm_gpt4o,66,scissors,paper,3,-1
67,prev_outcome_prev_transition,base_llm_gpt4o,67,paper,rock,3,-1
68,prev_outcome_prev_transition,base_llm_gpt4o,68,rock,scissors,3,-1
69,prev_outcome_prev_transition,base_llm_gpt4o,69,scissors,paper,3,-1
70,prev_outcome_prev_transition,base_llm_gpt4o,70,paper,rock,3,-1
71,prev_outcome_prev_transition,base_llm_gpt4o,71,rock,scissors,3,-1
72,prev_outcome_prev_transition,base_llm_gpt4o,72,rock,paper,-1,3
73,prev_outcome_prev_transition,base_llm_gpt4o,73,scissors,scissors,0,0
74,prev_outcome_prev_transition,base_llm_gpt4o,74,scissors,rock,-1,3
75,prev_outcome_prev_transition,base_llm_gpt4o,75,paper,rock,3,-1
76,prev_outcome_prev_transition,base_llm_gpt4o,76,rock,scissors,3,-1
77,prev_outcome_prev_transition,base_llm_gpt4o,77,scissors,paper,3,-1
78,prev_outcome_prev_transition,base_llm_gpt4o,78,paper,rock,3,-1
79,prev_outcome_prev_transition,base_llm_gpt4o,79,rock,scissors,3,-1
80,prev_outcome_prev_transition,base_llm_gpt4o,80,scissors,paper,3,-1
81,prev_outcome_prev_transition,base_llm_gpt4o,81,paper,rock,3,-1
82,prev_outcome_prev_transition,base_llm_gpt4o,82,rock,scissors,3,-1
83,prev_outcome_prev_transition,base_llm_gpt4o,83,scissors,paper,3,-1
84,prev_outcome_prev_transition,base_llm_gpt4o,84,paper,rock,3,-1
85,prev_outcome_prev_transition,base_llm_gpt4o,85,rock,scissors,3,-1
86,prev_outcome_prev_transition,base_llm_gpt4o,86,rock,paper,-1,3
87,prev_outcome_prev_transition,base_llm_gpt4o,87,scissors,scissors,0,0
88,prev_outcome_prev_transition,base_llm_gpt4o,88,scissors,rock,-1,3
89,prev_outcome_prev_transition,base_llm_gpt4o,89,paper,rock,3,-1
90,prev_outcome_prev_transition,base_llm_gpt4o,90,rock,scissors,3,-1
91,prev_outcome_prev_transition,base_llm_gpt4o,91,scissors,paper,3,-1
92,prev_outcome_prev_transition,base_llm_gpt4o,92,paper,rock,3,-1
93,prev_outcome_prev_transition,base_llm_gpt4o,93,rock,scissors,3,-1
94,prev_outcome_prev_transition,base_llm_gpt4o,94,scissors,paper,3,-1
95,prev_outcome_prev_transition,base_llm_gpt4o,95,paper,rock,3,-1
96,prev_outcome_prev_transition,base_llm_gpt4o,96,rock,scissors,3,-1
97,prev_outcome_prev_transition,base_llm_gpt4o,97,scissors,paper,3,-1
