,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,base_llm_gpt4o,0,paper,paper,0,0
1,W_stay_L_up_T_down,base_llm_gpt4o,1,rock,scissors,3,-1
2,W_stay_L_up_T_down,base_llm_gpt4o,2,rock,rock,0,0
3,W_stay_L_up_T_down,base_llm_gpt4o,3,paper,paper,0,0
4,W_stay_L_up_T_down,base_llm_gpt4o,4,rock,scissors,3,-1
5,W_stay_L_up_T_down,base_llm_gpt4o,5,rock,paper,-1,3
6,W_stay_L_up_T_down,base_llm_gpt4o,6,paper,paper,0,0
7,W_stay_L_up_T_down,base_llm_gpt4o,7,rock,scissors,3,-1
8,W_stay_L_up_T_down,base_llm_gpt4o,8,rock,paper,-1,3
9,W_stay_L_up_T_down,base_llm_gpt4o,9,paper,paper,0,0
10,W_stay_L_up_T_down,base_llm_gpt4o,10,rock,scissors,3,-1
11,W_stay_L_up_T_down,base_llm_gpt4o,11,rock,paper,-1,3
12,W_stay_L_up_T_down,base_llm_gpt4o,12,rock,paper,-1,3
13,W_stay_L_up_T_down,base_llm_gpt4o,13,paper,paper,0,0
14,W_stay_L_up_T_down,base_llm_gpt4o,14,rock,scissors,3,-1
15,W_stay_L_up_T_down,base_llm_gpt4o,15,rock,paper,-1,3
16,W_stay_L_up_T_down,base_llm_gpt4o,16,paper,paper,0,0
17,W_stay_L_up_T_down,base_llm_gpt4o,17,rock,scissors,3,-1
18,W_stay_L_up_T_down,base_llm_gpt4o,18,rock,paper,-1,3
19,W_stay_L_up_T_down,base_llm_gpt4o,19,scissors,paper,3,-1
20,W_stay_L_up_T_down,base_llm_gpt4o,20,scissors,rock,-1,3
21,W_stay_L_up_T_down,base_llm_gpt4o,21,rock,rock,0,0
22,W_stay_L_up_T_down,base_llm_gpt4o,22,scissors,paper,3,-1
23,W_stay_L_up_T_down,base_llm_gpt4o,23,scissors,rock,-1,3
24,W_stay_L_up_T_down,base_llm_gpt4o,24,rock,rock,0,0
25,W_stay_L_up_T_down,base_llm_gpt4o,25,rock,paper,-1,3
26,W_stay_L_up_T_down,base_llm_gpt4o,26,paper,paper,0,0
27,W_stay_L_up_T_down,base_llm_gpt4o,27,rock,scissors,3,-1
28,W_stay_L_up_T_down,base_llm_gpt4o,28,rock,paper,-1,3
29,W_stay_L_up_T_down,base_llm_gpt4o,29,paper,paper,0,0
30,W_stay_L_up_T_down,base_llm_gpt4o,30,scissors,scissors,0,0
31,W_stay_L_up_T_down,base_llm_gpt4o,31,paper,rock,3,-1
32,W_stay_L_up_T_down,base_llm_gpt4o,32,paper,scissors,-1,3
33,W_stay_L_up_T_down,base_llm_gpt4o,33,scissors,rock,-1,3
34,W_stay_L_up_T_down,base_llm_gpt4o,34,rock,rock,0,0
35,W_stay_L_up_T_down,base_llm_gpt4o,35,scissors,paper,3,-1
36,W_stay_L_up_T_down,base_llm_gpt4o,36,rock,rock,0,0
37,W_stay_L_up_T_down,base_llm_gpt4o,37,scissors,paper,3,-1
38,W_stay_L_up_T_down,base_llm_gpt4o,38,scissors,rock,-1,3
39,W_stay_L_up_T_down,base_llm_gpt4o,39,rock,rock,0,0
40,W_stay_L_up_T_down,base_llm_gpt4o,40,scissors,paper,3,-1
41,W_stay_L_up_T_down,base_llm_gpt4o,41,scissors,rock,-1,3
42,W_stay_L_up_T_down,base_llm_gpt4o,42,rock,rock,0,0
43,W_stay_L_up_T_down,base_llm_gpt4o,43,scissors,paper,3,-1
44,W_stay_L_up_T_down,base_llm_gpt4o,44,scissors,rock,-1,3
45,W_stay_L_up_T_down,base_llm_gpt4o,45,rock,rock,0,0
46,W_stay_L_up_T_down,base_llm_gpt4o,46,scissors,paper,3,-1
47,W_stay_L_up_T_down,base_llm_gpt4o,47,scissors,rock,-1,3
48,W_stay_L_up_T_down,base_llm_gpt4o,48,rock,rock,0,0
49,W_stay_L_up_T_down,base_llm_gpt4o,49,scissors,paper,3,-1
50,W_stay_L_up_T_down,base_llm_gpt4o,50,scissors,rock,-1,3
51,W_stay_L_up_T_down,base_llm_gpt4o,51,rock,rock,0,0
52,W_stay_L_up_T_down,base_llm_gpt4o,52,scissors,rock,-1,3
53,W_stay_L_up_T_down,base_llm_gpt4o,53,rock,rock,0,0
54,W_stay_L_up_T_down,base_llm_gpt4o,54,scissors,rock,-1,3
55,W_stay_L_up_T_down,base_llm_gpt4o,55,rock,rock,0,0
