,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,gpt4o,0,scissors,paper,3,-1
1,self_transition_down,gpt4o,1,paper,rock,3,-1
2,self_transition_down,gpt4o,2,rock,scissors,3,-1
3,self_transition_down,gpt4o,3,scissors,rock,-1,3
4,self_transition_down,gpt4o,4,paper,scissors,-1,3
5,self_transition_down,gpt4o,5,rock,paper,-1,3
6,self_transition_down,gpt4o,6,scissors,rock,-1,3
7,self_transition_down,gpt4o,7,paper,scissors,-1,3
8,self_transition_down,gpt4o,8,rock,paper,-1,3
9,self_transition_down,gpt4o,9,rock,rock,0,0
10,self_transition_down,gpt4o,10,scissors,rock,-1,3
11,self_transition_down,gpt4o,11,paper,scissors,-1,3
12,self_transition_down,gpt4o,12,rock,paper,-1,3
13,self_transition_down,gpt4o,13,scissors,rock,-1,3
14,self_transition_down,gpt4o,14,paper,scissors,-1,3
15,self_transition_down,gpt4o,15,rock,paper,-1,3
16,self_transition_down,gpt4o,16,scissors,rock,-1,3
17,self_transition_down,gpt4o,17,paper,scissors,-1,3
18,self_transition_down,gpt4o,18,rock,paper,-1,3
19,self_transition_down,gpt4o,19,scissors,rock,-1,3
20,self_transition_down,gpt4o,20,scissors,scissors,0,0
21,self_transition_down,gpt4o,21,paper,scissors,-1,3
22,self_transition_down,gpt4o,22,rock,paper,-1,3
23,self_transition_down,gpt4o,23,scissors,rock,-1,3
24,self_transition_down,gpt4o,24,paper,scissors,-1,3
25,self_transition_down,gpt4o,25,rock,paper,-1,3
26,self_transition_down,gpt4o,26,rock,rock,0,0
27,self_transition_down,gpt4o,27,paper,rock,3,-1
28,self_transition_down,gpt4o,28,rock,rock,0,0
29,self_transition_down,gpt4o,29,scissors,rock,-1,3
30,self_transition_down,gpt4o,30,paper,scissors,-1,3
31,self_transition_down,gpt4o,31,rock,paper,-1,3
32,self_transition_down,gpt4o,32,scissors,rock,-1,3
33,self_transition_down,gpt4o,33,paper,scissors,-1,3
34,self_transition_down,gpt4o,34,rock,paper,-1,3
35,self_transition_down,gpt4o,35,scissors,rock,-1,3
36,self_transition_down,gpt4o,36,paper,scissors,-1,3
37,self_transition_down,gpt4o,37,rock,paper,-1,3
38,self_transition_down,gpt4o,38,rock,rock,0,0
39,self_transition_down,gpt4o,39,scissors,rock,-1,3
40,self_transition_down,gpt4o,40,paper,scissors,-1,3
41,self_transition_down,gpt4o,41,rock,paper,-1,3
42,self_transition_down,gpt4o,42,scissors,rock,-1,3
43,self_transition_down,gpt4o,43,paper,scissors,-1,3
44,self_transition_down,gpt4o,44,rock,paper,-1,3
45,self_transition_down,gpt4o,45,paper,rock,3,-1
46,self_transition_down,gpt4o,46,rock,scissors,3,-1
47,self_transition_down,gpt4o,47,scissors,rock,-1,3
48,self_transition_down,gpt4o,48,paper,scissors,-1,3
49,self_transition_down,gpt4o,49,rock,paper,-1,3
50,self_transition_down,gpt4o,50,scissors,rock,-1,3
51,self_transition_down,gpt4o,51,paper,scissors,-1,3
52,self_transition_down,gpt4o,52,paper,paper,0,0
53,self_transition_down,gpt4o,53,rock,paper,-1,3
54,self_transition_down,gpt4o,54,scissors,rock,-1,3
55,self_transition_down,gpt4o,55,paper,scissors,-1,3
56,self_transition_down,gpt4o,56,rock,paper,-1,3
57,self_transition_down,gpt4o,57,scissors,rock,-1,3
58,self_transition_down,gpt4o,58,paper,scissors,-1,3
59,self_transition_down,gpt4o,59,rock,paper,-1,3
60,self_transition_down,gpt4o,60,scissors,rock,-1,3
61,self_transition_down,gpt4o,61,paper,scissors,-1,3
62,self_transition_down,gpt4o,62,rock,paper,-1,3
63,self_transition_down,gpt4o,63,scissors,rock,-1,3
64,self_transition_down,gpt4o,64,paper,scissors,-1,3
65,self_transition_down,gpt4o,65,rock,paper,-1,3
66,self_transition_down,gpt4o,66,scissors,rock,-1,3
67,self_transition_down,gpt4o,67,paper,scissors,-1,3
68,self_transition_down,gpt4o,68,paper,paper,0,0
69,self_transition_down,gpt4o,69,rock,paper,-1,3
70,self_transition_down,gpt4o,70,scissors,rock,-1,3
71,self_transition_down,gpt4o,71,paper,scissors,-1,3
72,self_transition_down,gpt4o,72,rock,paper,-1,3
73,self_transition_down,gpt4o,73,scissors,rock,-1,3
74,self_transition_down,gpt4o,74,paper,scissors,-1,3
75,self_transition_down,gpt4o,75,rock,paper,-1,3
