,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,give_hypothesis_gpt4o,0,rock,paper,-1,3
1,prev_outcome_prev_transition,give_hypothesis_gpt4o,1,scissors,scissors,0,0
2,prev_outcome_prev_transition,give_hypothesis_gpt4o,2,scissors,paper,3,-1
3,prev_outcome_prev_transition,give_hypothesis_gpt4o,3,scissors,rock,-1,3
4,prev_outcome_prev_transition,give_hypothesis_gpt4o,4,paper,rock,3,-1
5,prev_outcome_prev_transition,give_hypothesis_gpt4o,5,rock,rock,0,0
6,prev_outcome_prev_transition,give_hypothesis_gpt4o,6,rock,scissors,3,-1
7,prev_outcome_prev_transition,give_hypothesis_gpt4o,7,rock,paper,-1,3
8,prev_outcome_prev_transition,give_hypothesis_gpt4o,8,scissors,paper,3,-1
9,prev_outcome_prev_transition,give_hypothesis_gpt4o,9,rock,rock,0,0
10,prev_outcome_prev_transition,give_hypothesis_gpt4o,10,scissors,scissors,0,0
11,prev_outcome_prev_transition,give_hypothesis_gpt4o,11,scissors,paper,3,-1
12,prev_outcome_prev_transition,give_hypothesis_gpt4o,12,scissors,paper,3,-1
13,prev_outcome_prev_transition,give_hypothesis_gpt4o,13,scissors,paper,3,-1
14,prev_outcome_prev_transition,give_hypothesis_gpt4o,14,scissors,paper,3,-1
15,prev_outcome_prev_transition,give_hypothesis_gpt4o,15,scissors,rock,-1,3
16,prev_outcome_prev_transition,give_hypothesis_gpt4o,16,scissors,paper,3,-1
17,prev_outcome_prev_transition,give_hypothesis_gpt4o,17,scissors,paper,3,-1
18,prev_outcome_prev_transition,give_hypothesis_gpt4o,18,scissors,paper,3,-1
19,prev_outcome_prev_transition,give_hypothesis_gpt4o,19,scissors,rock,-1,3
20,prev_outcome_prev_transition,give_hypothesis_gpt4o,20,paper,rock,3,-1
21,prev_outcome_prev_transition,give_hypothesis_gpt4o,21,rock,rock,0,0
22,prev_outcome_prev_transition,give_hypothesis_gpt4o,22,rock,scissors,3,-1
23,prev_outcome_prev_transition,give_hypothesis_gpt4o,23,rock,paper,-1,3
24,prev_outcome_prev_transition,give_hypothesis_gpt4o,24,scissors,scissors,0,0
25,prev_outcome_prev_transition,give_hypothesis_gpt4o,25,paper,paper,0,0
26,prev_outcome_prev_transition,give_hypothesis_gpt4o,26,paper,rock,3,-1
27,prev_outcome_prev_transition,give_hypothesis_gpt4o,27,scissors,rock,-1,3
28,prev_outcome_prev_transition,give_hypothesis_gpt4o,28,scissors,rock,-1,3
29,prev_outcome_prev_transition,give_hypothesis_gpt4o,29,paper,rock,3,-1
30,prev_outcome_prev_transition,give_hypothesis_gpt4o,30,rock,scissors,3,-1
31,prev_outcome_prev_transition,give_hypothesis_gpt4o,31,scissors,paper,3,-1
32,prev_outcome_prev_transition,give_hypothesis_gpt4o,32,paper,rock,3,-1
33,prev_outcome_prev_transition,give_hypothesis_gpt4o,33,rock,rock,0,0
34,prev_outcome_prev_transition,give_hypothesis_gpt4o,34,rock,scissors,3,-1
35,prev_outcome_prev_transition,give_hypothesis_gpt4o,35,scissors,paper,3,-1
36,prev_outcome_prev_transition,give_hypothesis_gpt4o,36,paper,paper,0,0
37,prev_outcome_prev_transition,give_hypothesis_gpt4o,37,paper,rock,3,-1
38,prev_outcome_prev_transition,give_hypothesis_gpt4o,38,paper,scissors,-1,3
39,prev_outcome_prev_transition,give_hypothesis_gpt4o,39,rock,rock,0,0
40,prev_outcome_prev_transition,give_hypothesis_gpt4o,40,rock,scissors,3,-1
41,prev_outcome_prev_transition,give_hypothesis_gpt4o,41,paper,paper,0,0
42,prev_outcome_prev_transition,give_hypothesis_gpt4o,42,rock,rock,0,0
43,prev_outcome_prev_transition,give_hypothesis_gpt4o,43,rock,scissors,3,-1
44,prev_outcome_prev_transition,give_hypothesis_gpt4o,44,rock,scissors,3,-1
45,prev_outcome_prev_transition,give_hypothesis_gpt4o,45,rock,paper,-1,3
