,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,0,rock,rock,0,0
1,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,1,scissors,paper,3,-1
2,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,2,rock,rock,0,0
3,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,3,rock,rock,0,0
4,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,4,rock,paper,-1,3
5,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,5,scissors,rock,-1,3
6,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,6,scissors,scissors,0,0
7,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,7,scissors,paper,3,-1
8,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,8,rock,paper,-1,3
9,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,9,scissors,scissors,0,0
10,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,10,scissors,rock,-1,3
11,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,11,paper,scissors,-1,3
12,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,12,rock,paper,-1,3
13,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,13,scissors,rock,-1,3
14,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,14,paper,scissors,-1,3
15,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,15,rock,paper,-1,3
16,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,16,scissors,rock,-1,3
17,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,17,paper,scissors,-1,3
18,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,18,rock,paper,-1,3
19,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,19,rock,rock,0,0
20,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,20,rock,scissors,3,-1
21,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,21,paper,rock,3,-1
22,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,22,scissors,rock,-1,3
23,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0.2,5,23,paper,paper,0,0
