,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,choose_hypothesis_gpt4o,0.2,5,0,paper,scissors,-1,3
1,self_transition_down,choose_hypothesis_gpt4o,0.2,5,1,rock,rock,0,0
2,self_transition_down,choose_hypothesis_gpt4o,0.2,5,2,scissors,paper,3,-1
3,self_transition_down,choose_hypothesis_gpt4o,0.2,5,3,paper,rock,3,-1
4,self_transition_down,choose_hypothesis_gpt4o,0.2,5,4,rock,scissors,3,-1
5,self_transition_down,choose_hypothesis_gpt4o,0.2,5,5,scissors,paper,3,-1
6,self_transition_down,choose_hypothesis_gpt4o,0.2,5,6,paper,paper,0,0
7,self_transition_down,choose_hypothesis_gpt4o,0.2,5,7,scissors,rock,-1,3
8,self_transition_down,choose_hypothesis_gpt4o,0.2,5,8,paper,scissors,-1,3
9,self_transition_down,choose_hypothesis_gpt4o,0.2,5,9,rock,rock,0,0
10,self_transition_down,choose_hypothesis_gpt4o,0.2,5,10,scissors,scissors,0,0
11,self_transition_down,choose_hypothesis_gpt4o,0.2,5,11,paper,scissors,-1,3
12,self_transition_down,choose_hypothesis_gpt4o,0.2,5,12,rock,paper,-1,3
13,self_transition_down,choose_hypothesis_gpt4o,0.2,5,13,scissors,scissors,0,0
14,self_transition_down,choose_hypothesis_gpt4o,0.2,5,14,paper,paper,0,0
15,self_transition_down,choose_hypothesis_gpt4o,0.2,5,15,rock,scissors,3,-1
16,self_transition_down,choose_hypothesis_gpt4o,0.2,5,16,scissors,rock,-1,3
17,self_transition_down,choose_hypothesis_gpt4o,0.2,5,17,paper,scissors,-1,3
18,self_transition_down,choose_hypothesis_gpt4o,0.2,5,18,rock,paper,-1,3
19,self_transition_down,choose_hypothesis_gpt4o,0.2,5,19,scissors,rock,-1,3
20,self_transition_down,choose_hypothesis_gpt4o,0.2,5,20,rock,scissors,3,-1
21,self_transition_down,choose_hypothesis_gpt4o,0.2,5,21,paper,scissors,-1,3
22,self_transition_down,choose_hypothesis_gpt4o,0.2,5,22,rock,paper,-1,3
23,self_transition_down,choose_hypothesis_gpt4o,0.2,5,23,scissors,rock,-1,3
24,self_transition_down,choose_hypothesis_gpt4o,0.2,5,24,paper,paper,0,0
25,self_transition_down,choose_hypothesis_gpt4o,0.2,5,25,scissors,paper,3,-1
26,self_transition_down,choose_hypothesis_gpt4o,0.2,5,26,paper,rock,3,-1
27,self_transition_down,choose_hypothesis_gpt4o,0.2,5,27,rock,rock,0,0
28,self_transition_down,choose_hypothesis_gpt4o,0.2,5,28,scissors,paper,3,-1
29,self_transition_down,choose_hypothesis_gpt4o,0.2,5,29,paper,paper,0,0
30,self_transition_down,choose_hypothesis_gpt4o,0.2,5,30,rock,rock,0,0
31,self_transition_down,choose_hypothesis_gpt4o,0.2,5,31,scissors,scissors,0,0
32,self_transition_down,choose_hypothesis_gpt4o,0.2,5,32,paper,paper,0,0
33,self_transition_down,choose_hypothesis_gpt4o,0.2,5,33,rock,scissors,3,-1
34,self_transition_down,choose_hypothesis_gpt4o,0.2,5,34,scissors,scissors,0,0
35,self_transition_down,choose_hypothesis_gpt4o,0.2,5,35,paper,rock,3,-1
36,self_transition_down,choose_hypothesis_gpt4o,0.2,5,36,rock,rock,0,0
37,self_transition_down,choose_hypothesis_gpt4o,0.2,5,37,scissors,rock,-1,3
38,self_transition_down,choose_hypothesis_gpt4o,0.2,5,38,rock,scissors,3,-1
39,self_transition_down,choose_hypothesis_gpt4o,0.2,5,39,scissors,scissors,0,0
40,self_transition_down,choose_hypothesis_gpt4o,0.2,5,40,paper,rock,3,-1
41,self_transition_down,choose_hypothesis_gpt4o,0.2,5,41,rock,rock,0,0
42,self_transition_down,choose_hypothesis_gpt4o,0.2,5,42,scissors,paper,3,-1
43,self_transition_down,choose_hypothesis_gpt4o,0.2,5,43,paper,paper,0,0
44,self_transition_down,choose_hypothesis_gpt4o,0.2,5,44,rock,rock,0,0
45,self_transition_down,choose_hypothesis_gpt4o,0.2,5,45,paper,paper,0,0
46,self_transition_down,choose_hypothesis_gpt4o,0.2,5,46,rock,paper,-1,3
47,self_transition_down,choose_hypothesis_gpt4o,0.2,5,47,scissors,scissors,0,0
48,self_transition_down,choose_hypothesis_gpt4o,0.2,5,48,paper,scissors,-1,3
49,self_transition_down,choose_hypothesis_gpt4o,0.2,5,49,rock,rock,0,0
50,self_transition_down,choose_hypothesis_gpt4o,0.2,5,50,scissors,rock,-1,3
51,self_transition_down,choose_hypothesis_gpt4o,0.2,5,51,paper,scissors,-1,3
52,self_transition_down,choose_hypothesis_gpt4o,0.2,5,52,rock,paper,-1,3
53,self_transition_down,choose_hypothesis_gpt4o,0.2,5,53,scissors,rock,-1,3
54,self_transition_down,choose_hypothesis_gpt4o,0.2,5,54,paper,scissors,-1,3
55,self_transition_down,choose_hypothesis_gpt4o,0.2,5,55,rock,paper,-1,3
56,self_transition_down,choose_hypothesis_gpt4o,0.2,5,56,scissors,rock,-1,3
57,self_transition_down,choose_hypothesis_gpt4o,0.2,5,57,paper,scissors,-1,3
58,self_transition_down,choose_hypothesis_gpt4o,0.2,5,58,rock,paper,-1,3
59,self_transition_down,choose_hypothesis_gpt4o,0.2,5,59,scissors,rock,-1,3
60,self_transition_down,choose_hypothesis_gpt4o,0.2,5,60,paper,scissors,-1,3
61,self_transition_down,choose_hypothesis_gpt4o,0.2,5,61,rock,paper,-1,3
62,self_transition_down,choose_hypothesis_gpt4o,0.2,5,62,scissors,rock,-1,3
63,self_transition_down,choose_hypothesis_gpt4o,0.2,5,63,paper,scissors,-1,3
64,self_transition_down,choose_hypothesis_gpt4o,0.2,5,64,rock,paper,-1,3
65,self_transition_down,choose_hypothesis_gpt4o,0.2,5,65,scissors,rock,-1,3
66,self_transition_down,choose_hypothesis_gpt4o,0.2,5,66,paper,scissors,-1,3
67,self_transition_down,choose_hypothesis_gpt4o,0.2,5,67,rock,paper,-1,3
68,self_transition_down,choose_hypothesis_gpt4o,0.2,5,68,scissors,rock,-1,3
69,self_transition_down,choose_hypothesis_gpt4o,0.2,5,69,paper,scissors,-1,3
70,self_transition_down,choose_hypothesis_gpt4o,0.2,5,70,rock,paper,-1,3
71,self_transition_down,choose_hypothesis_gpt4o,0.2,5,71,scissors,rock,-1,3
72,self_transition_down,choose_hypothesis_gpt4o,0.2,5,72,paper,scissors,-1,3
73,self_transition_down,choose_hypothesis_gpt4o,0.2,5,73,rock,paper,-1,3
74,self_transition_down,choose_hypothesis_gpt4o,0.2,5,74,scissors,rock,-1,3
75,self_transition_down,choose_hypothesis_gpt4o,0.2,5,75,scissors,scissors,0,0
76,self_transition_down,choose_hypothesis_gpt4o,0.2,5,76,paper,paper,0,0
77,self_transition_down,choose_hypothesis_gpt4o,0.2,5,77,rock,scissors,3,-1
78,self_transition_down,choose_hypothesis_gpt4o,0.2,5,78,scissors,rock,-1,3
79,self_transition_down,choose_hypothesis_gpt4o,0.2,5,79,paper,scissors,-1,3
80,self_transition_down,choose_hypothesis_gpt4o,0.2,5,80,rock,paper,-1,3
81,self_transition_down,choose_hypothesis_gpt4o,0.2,5,81,scissors,rock,-1,3
82,self_transition_down,choose_hypothesis_gpt4o,0.2,5,82,paper,scissors,-1,3
83,self_transition_down,choose_hypothesis_gpt4o,0.2,5,83,rock,paper,-1,3
84,self_transition_down,choose_hypothesis_gpt4o,0.2,5,84,scissors,rock,-1,3
85,self_transition_down,choose_hypothesis_gpt4o,0.2,5,85,paper,scissors,-1,3
86,self_transition_down,choose_hypothesis_gpt4o,0.2,5,86,rock,paper,-1,3
87,self_transition_down,choose_hypothesis_gpt4o,0.2,5,87,scissors,paper,3,-1
88,self_transition_down,choose_hypothesis_gpt4o,0.2,5,88,paper,rock,3,-1
89,self_transition_down,choose_hypothesis_gpt4o,0.2,5,89,rock,rock,0,0
90,self_transition_down,choose_hypothesis_gpt4o,0.2,5,90,scissors,rock,-1,3
91,self_transition_down,choose_hypothesis_gpt4o,0.2,5,91,paper,paper,0,0
92,self_transition_down,choose_hypothesis_gpt4o,0.2,5,92,rock,paper,-1,3
93,self_transition_down,choose_hypothesis_gpt4o,0.2,5,93,scissors,rock,-1,3
94,self_transition_down,choose_hypothesis_gpt4o,0.2,5,94,scissors,scissors,0,0
95,self_transition_down,choose_hypothesis_gpt4o,0.2,5,95,paper,paper,0,0
96,self_transition_down,choose_hypothesis_gpt4o,0.2,5,96,rock,scissors,3,-1
97,self_transition_down,choose_hypothesis_gpt4o,0.2,5,97,paper,scissors,-1,3
98,self_transition_down,choose_hypothesis_gpt4o,0.2,5,98,rock,rock,0,0
99,self_transition_down,choose_hypothesis_gpt4o,0.2,5,99,scissors,paper,3,-1
100,self_transition_down,choose_hypothesis_gpt4o,0.2,5,100,paper,rock,3,-1
101,self_transition_down,choose_hypothesis_gpt4o,0.2,5,101,rock,rock,0,0
102,self_transition_down,choose_hypothesis_gpt4o,0.2,5,102,scissors,paper,3,-1
103,self_transition_down,choose_hypothesis_gpt4o,0.2,5,103,paper,rock,3,-1
104,self_transition_down,choose_hypothesis_gpt4o,0.2,5,104,rock,scissors,3,-1
105,self_transition_down,choose_hypothesis_gpt4o,0.2,5,105,scissors,paper,3,-1
106,self_transition_down,choose_hypothesis_gpt4o,0.2,5,106,paper,scissors,-1,3
107,self_transition_down,choose_hypothesis_gpt4o,0.2,5,107,rock,rock,0,0
108,self_transition_down,choose_hypothesis_gpt4o,0.2,5,108,scissors,scissors,0,0
109,self_transition_down,choose_hypothesis_gpt4o,0.2,5,109,paper,paper,0,0
110,self_transition_down,choose_hypothesis_gpt4o,0.2,5,110,rock,rock,0,0
111,self_transition_down,choose_hypothesis_gpt4o,0.2,5,111,scissors,scissors,0,0
112,self_transition_down,choose_hypothesis_gpt4o,0.2,5,112,paper,paper,0,0
113,self_transition_down,choose_hypothesis_gpt4o,0.2,5,113,paper,scissors,-1,3
114,self_transition_down,choose_hypothesis_gpt4o,0.2,5,114,rock,rock,0,0
115,self_transition_down,choose_hypothesis_gpt4o,0.2,5,115,scissors,scissors,0,0
116,self_transition_down,choose_hypothesis_gpt4o,0.2,5,116,paper,rock,3,-1
117,self_transition_down,choose_hypothesis_gpt4o,0.2,5,117,rock,rock,0,0
118,self_transition_down,choose_hypothesis_gpt4o,0.2,5,118,scissors,scissors,0,0
119,self_transition_down,choose_hypothesis_gpt4o,0.2,5,119,paper,rock,3,-1
120,self_transition_down,choose_hypothesis_gpt4o,0.2,5,120,rock,rock,0,0
121,self_transition_down,choose_hypothesis_gpt4o,0.2,5,121,scissors,rock,-1,3
122,self_transition_down,choose_hypothesis_gpt4o,0.2,5,122,paper,paper,0,0
123,self_transition_down,choose_hypothesis_gpt4o,0.2,5,123,rock,rock,0,0
