,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,react_gpt4o,0,rock,paper,-1,3
1,prev_outcome_prev_transition,react_gpt4o,1,scissors,paper,3,-1
2,prev_outcome_prev_transition,react_gpt4o,2,paper,scissors,-1,3
3,prev_outcome_prev_transition,react_gpt4o,3,scissors,paper,3,-1
4,prev_outcome_prev_transition,react_gpt4o,4,rock,rock,0,0
5,prev_outcome_prev_transition,react_gpt4o,5,scissors,scissors,0,0
6,prev_outcome_prev_transition,react_gpt4o,6,scissors,scissors,0,0
7,prev_outcome_prev_transition,react_gpt4o,7,rock,rock,0,0
8,prev_outcome_prev_transition,react_gpt4o,8,scissors,paper,3,-1
9,prev_outcome_prev_transition,react_gpt4o,9,rock,rock,0,0
10,prev_outcome_prev_transition,react_gpt4o,10,scissors,rock,-1,3
11,prev_outcome_prev_transition,react_gpt4o,11,rock,scissors,3,-1
12,prev_outcome_prev_transition,react_gpt4o,12,paper,paper,0,0
13,prev_outcome_prev_transition,react_gpt4o,13,rock,scissors,3,-1
14,prev_outcome_prev_transition,react_gpt4o,14,scissors,paper,3,-1
15,prev_outcome_prev_transition,react_gpt4o,15,paper,rock,3,-1
16,prev_outcome_prev_transition,react_gpt4o,16,scissors,rock,-1,3
17,prev_outcome_prev_transition,react_gpt4o,17,scissors,scissors,0,0
18,prev_outcome_prev_transition,react_gpt4o,18,rock,rock,0,0
19,prev_outcome_prev_transition,react_gpt4o,19,scissors,paper,3,-1
20,prev_outcome_prev_transition,react_gpt4o,20,paper,rock,3,-1
21,prev_outcome_prev_transition,react_gpt4o,21,rock,rock,0,0
22,prev_outcome_prev_transition,react_gpt4o,22,rock,rock,0,0
23,prev_outcome_prev_transition,react_gpt4o,23,paper,paper,0,0
24,prev_outcome_prev_transition,react_gpt4o,24,rock,scissors,3,-1
25,prev_outcome_prev_transition,react_gpt4o,25,paper,paper,0,0
26,prev_outcome_prev_transition,react_gpt4o,26,rock,scissors,3,-1
27,prev_outcome_prev_transition,react_gpt4o,27,scissors,paper,3,-1
28,prev_outcome_prev_transition,react_gpt4o,28,paper,rock,3,-1
29,prev_outcome_prev_transition,react_gpt4o,29,rock,rock,0,0
30,prev_outcome_prev_transition,react_gpt4o,30,rock,paper,-1,3
31,prev_outcome_prev_transition,react_gpt4o,31,scissors,paper,3,-1
32,prev_outcome_prev_transition,react_gpt4o,32,paper,rock,3,-1
33,prev_outcome_prev_transition,react_gpt4o,33,rock,scissors,3,-1
34,prev_outcome_prev_transition,react_gpt4o,34,scissors,paper,3,-1
35,prev_outcome_prev_transition,react_gpt4o,35,scissors,rock,-1,3
36,prev_outcome_prev_transition,react_gpt4o,36,paper,scissors,-1,3
37,prev_outcome_prev_transition,react_gpt4o,37,scissors,paper,3,-1
38,prev_outcome_prev_transition,react_gpt4o,38,rock,rock,0,0
39,prev_outcome_prev_transition,react_gpt4o,39,scissors,paper,3,-1
40,prev_outcome_prev_transition,react_gpt4o,40,paper,rock,3,-1
41,prev_outcome_prev_transition,react_gpt4o,41,paper,scissors,-1,3
42,prev_outcome_prev_transition,react_gpt4o,42,rock,scissors,3,-1
43,prev_outcome_prev_transition,react_gpt4o,43,scissors,paper,3,-1
44,prev_outcome_prev_transition,react_gpt4o,44,paper,rock,3,-1
45,prev_outcome_prev_transition,react_gpt4o,45,rock,scissors,3,-1
46,prev_outcome_prev_transition,react_gpt4o,46,scissors,paper,3,-1
47,prev_outcome_prev_transition,react_gpt4o,47,paper,rock,3,-1
48,prev_outcome_prev_transition,react_gpt4o,48,rock,scissors,3,-1
49,prev_outcome_prev_transition,react_gpt4o,49,scissors,paper,3,-1
50,prev_outcome_prev_transition,react_gpt4o,50,paper,rock,3,-1
51,prev_outcome_prev_transition,react_gpt4o,51,rock,scissors,3,-1
52,prev_outcome_prev_transition,react_gpt4o,52,scissors,paper,3,-1
53,prev_outcome_prev_transition,react_gpt4o,53,paper,rock,3,-1
54,prev_outcome_prev_transition,react_gpt4o,54,rock,scissors,3,-1
55,prev_outcome_prev_transition,react_gpt4o,55,scissors,paper,3,-1
56,prev_outcome_prev_transition,react_gpt4o,56,paper,rock,3,-1
57,prev_outcome_prev_transition,react_gpt4o,57,rock,scissors,3,-1
58,prev_outcome_prev_transition,react_gpt4o,58,scissors,paper,3,-1
59,prev_outcome_prev_transition,react_gpt4o,59,rock,rock,0,0
60,prev_outcome_prev_transition,react_gpt4o,60,scissors,paper,3,-1
61,prev_outcome_prev_transition,react_gpt4o,61,paper,rock,3,-1
62,prev_outcome_prev_transition,react_gpt4o,62,rock,scissors,3,-1
63,prev_outcome_prev_transition,react_gpt4o,63,scissors,paper,3,-1
64,prev_outcome_prev_transition,react_gpt4o,64,paper,rock,3,-1
65,prev_outcome_prev_transition,react_gpt4o,65,paper,scissors,-1,3
66,prev_outcome_prev_transition,react_gpt4o,66,rock,paper,-1,3
67,prev_outcome_prev_transition,react_gpt4o,67,paper,rock,3,-1
68,prev_outcome_prev_transition,react_gpt4o,68,scissors,scissors,0,0
69,prev_outcome_prev_transition,react_gpt4o,69,paper,paper,0,0
70,prev_outcome_prev_transition,react_gpt4o,70,paper,scissors,-1,3
71,prev_outcome_prev_transition,react_gpt4o,71,paper,paper,0,0
72,prev_outcome_prev_transition,react_gpt4o,72,scissors,scissors,0,0
73,prev_outcome_prev_transition,react_gpt4o,73,paper,rock,3,-1
74,prev_outcome_prev_transition,react_gpt4o,74,rock,scissors,3,-1
75,prev_outcome_prev_transition,react_gpt4o,75,scissors,paper,3,-1
76,prev_outcome_prev_transition,react_gpt4o,76,paper,rock,3,-1
77,prev_outcome_prev_transition,react_gpt4o,77,rock,scissors,3,-1
78,prev_outcome_prev_transition,react_gpt4o,78,scissors,paper,3,-1
79,prev_outcome_prev_transition,react_gpt4o,79,paper,rock,3,-1
80,prev_outcome_prev_transition,react_gpt4o,80,rock,scissors,3,-1
81,prev_outcome_prev_transition,react_gpt4o,81,scissors,paper,3,-1
82,prev_outcome_prev_transition,react_gpt4o,82,scissors,rock,-1,3
83,prev_outcome_prev_transition,react_gpt4o,83,paper,scissors,-1,3
84,prev_outcome_prev_transition,react_gpt4o,84,scissors,scissors,0,0
85,prev_outcome_prev_transition,react_gpt4o,85,paper,rock,3,-1
86,prev_outcome_prev_transition,react_gpt4o,86,paper,scissors,-1,3
