,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,0,scissors,paper,3,-1
1,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,1,rock,rock,0,0
2,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,2,rock,scissors,3,-1
3,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,3,paper,paper,0,0
4,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,4,paper,rock,3,-1
5,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,5,scissors,scissors,0,0
6,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,6,scissors,paper,3,-1
7,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,7,rock,rock,0,0
8,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,8,rock,rock,0,0
9,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,9,rock,paper,-1,3
10,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,10,scissors,paper,3,-1
11,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,11,rock,rock,0,0
12,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,12,rock,paper,-1,3
13,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,13,scissors,rock,-1,3
14,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,14,paper,paper,0,0
15,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,15,paper,paper,0,0
16,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,16,paper,paper,0,0
17,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,17,paper,scissors,-1,3
18,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,18,rock,scissors,3,-1
19,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,19,scissors,paper,3,-1
20,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,20,rock,paper,-1,3
21,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,21,scissors,paper,3,-1
22,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,22,rock,paper,-1,3
23,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,23,scissors,paper,3,-1
24,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,24,rock,rock,0,0
25,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,25,rock,paper,-1,3
26,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,26,scissors,rock,-1,3
27,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,27,paper,paper,0,0
28,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,28,paper,scissors,-1,3
29,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,29,rock,paper,-1,3
30,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,30,scissors,rock,-1,3
31,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,31,paper,paper,0,0
32,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,32,paper,scissors,-1,3
33,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,33,rock,paper,-1,3
34,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,34,scissors,rock,-1,3
35,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,35,paper,paper,0,0
36,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,36,rock,scissors,3,-1
37,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,37,paper,paper,0,0
38,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,38,scissors,scissors,0,0
39,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,39,scissors,paper,3,-1
40,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,40,rock,paper,-1,3
41,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,41,scissors,rock,-1,3
42,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,42,paper,paper,0,0
43,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,43,paper,scissors,-1,3
44,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,44,paper,paper,0,0
45,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,45,paper,scissors,-1,3
46,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,46,rock,paper,-1,3
47,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,47,scissors,paper,3,-1
48,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,48,rock,paper,-1,3
49,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,49,scissors,rock,-1,3
50,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,50,paper,paper,0,0
51,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,51,paper,scissors,-1,3
52,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,52,rock,paper,-1,3
53,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,53,paper,paper,0,0
54,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,54,paper,scissors,-1,3
55,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,55,rock,paper,-1,3
56,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,56,scissors,paper,3,-1
57,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,57,rock,paper,-1,3
58,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,58,scissors,rock,-1,3
59,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,59,paper,paper,0,0
60,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,60,paper,scissors,-1,3
61,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,61,rock,paper,-1,3
62,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,62,rock,paper,-1,3
63,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,63,scissors,paper,3,-1
64,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,64,rock,paper,-1,3
65,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,65,scissors,rock,-1,3
66,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,66,paper,scissors,-1,3
67,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,67,rock,paper,-1,3
68,W_up_L_down_T_stay,hm_scaffold_1shot_gpt4o,0.2,5,68,scissors,paper,3,-1
