,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0,scissors,scissors,0,0
1,prev_outcome_prev_transition,choose_hypothesis_gpt4o,1,paper,rock,3,-1
2,prev_outcome_prev_transition,choose_hypothesis_gpt4o,2,rock,scissors,3,-1
3,prev_outcome_prev_transition,choose_hypothesis_gpt4o,3,scissors,paper,3,-1
4,prev_outcome_prev_transition,choose_hypothesis_gpt4o,4,paper,rock,3,-1
5,prev_outcome_prev_transition,choose_hypothesis_gpt4o,5,rock,scissors,3,-1
6,prev_outcome_prev_transition,choose_hypothesis_gpt4o,6,scissors,paper,3,-1
7,prev_outcome_prev_transition,choose_hypothesis_gpt4o,7,paper,paper,0,0
8,prev_outcome_prev_transition,choose_hypothesis_gpt4o,8,paper,rock,3,-1
9,prev_outcome_prev_transition,choose_hypothesis_gpt4o,9,paper,scissors,-1,3
10,prev_outcome_prev_transition,choose_hypothesis_gpt4o,10,rock,paper,-1,3
11,prev_outcome_prev_transition,choose_hypothesis_gpt4o,11,paper,scissors,-1,3
12,prev_outcome_prev_transition,choose_hypothesis_gpt4o,12,paper,rock,3,-1
13,prev_outcome_prev_transition,choose_hypothesis_gpt4o,13,paper,rock,3,-1
14,prev_outcome_prev_transition,choose_hypothesis_gpt4o,14,paper,rock,3,-1
15,prev_outcome_prev_transition,choose_hypothesis_gpt4o,15,paper,scissors,-1,3
16,prev_outcome_prev_transition,choose_hypothesis_gpt4o,16,rock,rock,0,0
17,prev_outcome_prev_transition,choose_hypothesis_gpt4o,17,rock,rock,0,0
18,prev_outcome_prev_transition,choose_hypothesis_gpt4o,18,paper,paper,0,0
19,prev_outcome_prev_transition,choose_hypothesis_gpt4o,19,rock,paper,-1,3
20,prev_outcome_prev_transition,choose_hypothesis_gpt4o,20,paper,scissors,-1,3
21,prev_outcome_prev_transition,choose_hypothesis_gpt4o,21,paper,paper,0,0
22,prev_outcome_prev_transition,choose_hypothesis_gpt4o,22,scissors,paper,3,-1
23,prev_outcome_prev_transition,choose_hypothesis_gpt4o,23,rock,paper,-1,3
24,prev_outcome_prev_transition,choose_hypothesis_gpt4o,24,rock,scissors,3,-1
25,prev_outcome_prev_transition,choose_hypothesis_gpt4o,25,rock,scissors,3,-1
26,prev_outcome_prev_transition,choose_hypothesis_gpt4o,26,rock,paper,-1,3
27,prev_outcome_prev_transition,choose_hypothesis_gpt4o,27,scissors,scissors,0,0
28,prev_outcome_prev_transition,choose_hypothesis_gpt4o,28,scissors,scissors,0,0
29,prev_outcome_prev_transition,choose_hypothesis_gpt4o,29,rock,scissors,3,-1
30,prev_outcome_prev_transition,choose_hypothesis_gpt4o,30,paper,paper,0,0
31,prev_outcome_prev_transition,choose_hypothesis_gpt4o,31,rock,paper,-1,3
32,prev_outcome_prev_transition,choose_hypothesis_gpt4o,32,paper,rock,3,-1
33,prev_outcome_prev_transition,choose_hypothesis_gpt4o,33,scissors,scissors,0,0
34,prev_outcome_prev_transition,choose_hypothesis_gpt4o,34,paper,scissors,-1,3
35,prev_outcome_prev_transition,choose_hypothesis_gpt4o,35,scissors,rock,-1,3
36,prev_outcome_prev_transition,choose_hypothesis_gpt4o,36,scissors,scissors,0,0
37,prev_outcome_prev_transition,choose_hypothesis_gpt4o,37,rock,paper,-1,3
38,prev_outcome_prev_transition,choose_hypothesis_gpt4o,38,rock,scissors,3,-1
39,prev_outcome_prev_transition,choose_hypothesis_gpt4o,39,rock,paper,-1,3
40,prev_outcome_prev_transition,choose_hypothesis_gpt4o,40,scissors,scissors,0,0
41,prev_outcome_prev_transition,choose_hypothesis_gpt4o,41,scissors,scissors,0,0
42,prev_outcome_prev_transition,choose_hypothesis_gpt4o,42,rock,scissors,3,-1
43,prev_outcome_prev_transition,choose_hypothesis_gpt4o,43,paper,scissors,-1,3
44,prev_outcome_prev_transition,choose_hypothesis_gpt4o,44,scissors,paper,3,-1
45,prev_outcome_prev_transition,choose_hypothesis_gpt4o,45,rock,paper,-1,3
46,prev_outcome_prev_transition,choose_hypothesis_gpt4o,46,rock,rock,0,0
47,prev_outcome_prev_transition,choose_hypothesis_gpt4o,47,paper,paper,0,0
48,prev_outcome_prev_transition,choose_hypothesis_gpt4o,48,rock,paper,-1,3
49,prev_outcome_prev_transition,choose_hypothesis_gpt4o,49,paper,rock,3,-1
50,prev_outcome_prev_transition,choose_hypothesis_gpt4o,50,rock,scissors,3,-1
51,prev_outcome_prev_transition,choose_hypothesis_gpt4o,51,scissors,paper,3,-1
52,prev_outcome_prev_transition,choose_hypothesis_gpt4o,52,paper,rock,3,-1
53,prev_outcome_prev_transition,choose_hypothesis_gpt4o,53,scissors,scissors,0,0
