,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,base_llm_gpt4o,0,scissors,paper,3,-1
1,W_up_L_down_T_stay,base_llm_gpt4o,1,rock,rock,0,0
2,W_up_L_down_T_stay,base_llm_gpt4o,2,rock,paper,-1,3
3,W_up_L_down_T_stay,base_llm_gpt4o,3,scissors,scissors,0,0
4,W_up_L_down_T_stay,base_llm_gpt4o,4,paper,rock,3,-1
5,W_up_L_down_T_stay,base_llm_gpt4o,5,scissors,scissors,0,0
6,W_up_L_down_T_stay,base_llm_gpt4o,6,scissors,rock,-1,3
7,W_up_L_down_T_stay,base_llm_gpt4o,7,paper,rock,3,-1
8,W_up_L_down_T_stay,base_llm_gpt4o,8,scissors,scissors,0,0
9,W_up_L_down_T_stay,base_llm_gpt4o,9,scissors,rock,-1,3
10,W_up_L_down_T_stay,base_llm_gpt4o,10,paper,rock,3,-1
11,W_up_L_down_T_stay,base_llm_gpt4o,11,scissors,scissors,0,0
12,W_up_L_down_T_stay,base_llm_gpt4o,12,scissors,rock,-1,3
13,W_up_L_down_T_stay,base_llm_gpt4o,13,paper,rock,3,-1
14,W_up_L_down_T_stay,base_llm_gpt4o,14,scissors,scissors,0,0
15,W_up_L_down_T_stay,base_llm_gpt4o,15,scissors,rock,-1,3
16,W_up_L_down_T_stay,base_llm_gpt4o,16,paper,rock,3,-1
17,W_up_L_down_T_stay,base_llm_gpt4o,17,scissors,scissors,0,0
18,W_up_L_down_T_stay,base_llm_gpt4o,18,scissors,rock,-1,3
19,W_up_L_down_T_stay,base_llm_gpt4o,19,paper,rock,3,-1
20,W_up_L_down_T_stay,base_llm_gpt4o,20,scissors,scissors,0,0
21,W_up_L_down_T_stay,base_llm_gpt4o,21,scissors,rock,-1,3
22,W_up_L_down_T_stay,base_llm_gpt4o,22,paper,rock,3,-1
23,W_up_L_down_T_stay,base_llm_gpt4o,23,scissors,scissors,0,0
24,W_up_L_down_T_stay,base_llm_gpt4o,24,scissors,rock,-1,3
25,W_up_L_down_T_stay,base_llm_gpt4o,25,paper,rock,3,-1
26,W_up_L_down_T_stay,base_llm_gpt4o,26,scissors,scissors,0,0
27,W_up_L_down_T_stay,base_llm_gpt4o,27,scissors,rock,-1,3
28,W_up_L_down_T_stay,base_llm_gpt4o,28,paper,rock,3,-1
29,W_up_L_down_T_stay,base_llm_gpt4o,29,scissors,scissors,0,0
30,W_up_L_down_T_stay,base_llm_gpt4o,30,scissors,rock,-1,3
31,W_up_L_down_T_stay,base_llm_gpt4o,31,paper,rock,3,-1
32,W_up_L_down_T_stay,base_llm_gpt4o,32,scissors,scissors,0,0
33,W_up_L_down_T_stay,base_llm_gpt4o,33,scissors,rock,-1,3
34,W_up_L_down_T_stay,base_llm_gpt4o,34,paper,rock,3,-1
35,W_up_L_down_T_stay,base_llm_gpt4o,35,scissors,scissors,0,0
36,W_up_L_down_T_stay,base_llm_gpt4o,36,scissors,rock,-1,3
37,W_up_L_down_T_stay,base_llm_gpt4o,37,paper,rock,3,-1
38,W_up_L_down_T_stay,base_llm_gpt4o,38,scissors,scissors,0,0
