,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,gpt35,0,paper,paper,0,0
1,W_up_L_down_T_stay,gpt35,1,paper,scissors,-1,3
2,W_up_L_down_T_stay,gpt35,2,rock,rock,0,0
3,W_up_L_down_T_stay,gpt35,3,rock,paper,-1,3
4,W_up_L_down_T_stay,gpt35,4,scissors,paper,3,-1
5,W_up_L_down_T_stay,gpt35,5,rock,rock,0,0
6,W_up_L_down_T_stay,gpt35,6,rock,paper,-1,3
7,W_up_L_down_T_stay,gpt35,7,scissors,paper,3,-1
8,W_up_L_down_T_stay,gpt35,8,rock,rock,0,0
9,W_up_L_down_T_stay,gpt35,9,rock,paper,-1,3
10,W_up_L_down_T_stay,gpt35,10,scissors,paper,3,-1
11,W_up_L_down_T_stay,gpt35,11,rock,rock,0,0
12,W_up_L_down_T_stay,gpt35,12,rock,paper,-1,3
13,W_up_L_down_T_stay,gpt35,13,scissors,paper,3,-1
14,W_up_L_down_T_stay,gpt35,14,rock,scissors,3,-1
15,W_up_L_down_T_stay,gpt35,15,scissors,paper,3,-1
16,W_up_L_down_T_stay,gpt35,16,rock,paper,-1,3
17,W_up_L_down_T_stay,gpt35,17,scissors,paper,3,-1
18,W_up_L_down_T_stay,gpt35,18,rock,paper,-1,3
19,W_up_L_down_T_stay,gpt35,19,scissors,paper,3,-1
20,W_up_L_down_T_stay,gpt35,20,rock,paper,-1,3
21,W_up_L_down_T_stay,gpt35,21,scissors,rock,-1,3
22,W_up_L_down_T_stay,gpt35,22,paper,rock,3,-1
23,W_up_L_down_T_stay,gpt35,23,scissors,rock,-1,3
24,W_up_L_down_T_stay,gpt35,24,paper,scissors,-1,3
25,W_up_L_down_T_stay,gpt35,25,rock,paper,-1,3
26,W_up_L_down_T_stay,gpt35,26,scissors,rock,-1,3
27,W_up_L_down_T_stay,gpt35,27,paper,rock,3,-1
28,W_up_L_down_T_stay,gpt35,28,scissors,scissors,0,0
29,W_up_L_down_T_stay,gpt35,29,scissors,paper,3,-1
30,W_up_L_down_T_stay,gpt35,30,rock,paper,-1,3
31,W_up_L_down_T_stay,gpt35,31,scissors,rock,-1,3
32,W_up_L_down_T_stay,gpt35,32,paper,scissors,-1,3
33,W_up_L_down_T_stay,gpt35,33,rock,scissors,3,-1
34,W_up_L_down_T_stay,gpt35,34,paper,rock,3,-1
35,W_up_L_down_T_stay,gpt35,35,rock,scissors,3,-1
36,W_up_L_down_T_stay,gpt35,36,paper,paper,0,0
37,W_up_L_down_T_stay,gpt35,37,paper,scissors,-1,3
38,W_up_L_down_T_stay,gpt35,38,rock,scissors,3,-1
39,W_up_L_down_T_stay,gpt35,39,paper,paper,0,0
40,W_up_L_down_T_stay,gpt35,40,paper,scissors,-1,3
41,W_up_L_down_T_stay,gpt35,41,rock,scissors,3,-1
42,W_up_L_down_T_stay,gpt35,42,paper,paper,0,0
43,W_up_L_down_T_stay,gpt35,43,paper,scissors,-1,3
44,W_up_L_down_T_stay,gpt35,44,rock,scissors,3,-1
45,W_up_L_down_T_stay,gpt35,45,paper,paper,0,0
46,W_up_L_down_T_stay,gpt35,46,paper,scissors,-1,3
47,W_up_L_down_T_stay,gpt35,47,rock,scissors,3,-1
48,W_up_L_down_T_stay,gpt35,48,paper,scissors,-1,3
49,W_up_L_down_T_stay,gpt35,49,rock,scissors,3,-1
50,W_up_L_down_T_stay,gpt35,50,paper,paper,0,0
51,W_up_L_down_T_stay,gpt35,51,paper,scissors,-1,3
52,W_up_L_down_T_stay,gpt35,52,rock,scissors,3,-1
53,W_up_L_down_T_stay,gpt35,53,paper,rock,3,-1
54,W_up_L_down_T_stay,gpt35,54,scissors,scissors,0,0
55,W_up_L_down_T_stay,gpt35,55,scissors,scissors,0,0
56,W_up_L_down_T_stay,gpt35,56,scissors,rock,-1,3
57,W_up_L_down_T_stay,gpt35,57,scissors,scissors,0,0
58,W_up_L_down_T_stay,gpt35,58,scissors,rock,-1,3
59,W_up_L_down_T_stay,gpt35,59,paper,rock,3,-1
60,W_up_L_down_T_stay,gpt35,60,scissors,scissors,0,0
61,W_up_L_down_T_stay,gpt35,61,scissors,paper,3,-1
62,W_up_L_down_T_stay,gpt35,62,rock,paper,-1,3
63,W_up_L_down_T_stay,gpt35,63,scissors,paper,3,-1
64,W_up_L_down_T_stay,gpt35,64,rock,paper,-1,3
65,W_up_L_down_T_stay,gpt35,65,scissors,paper,3,-1
66,W_up_L_down_T_stay,gpt35,66,rock,rock,0,0
67,W_up_L_down_T_stay,gpt35,67,scissors,scissors,0,0
68,W_up_L_down_T_stay,gpt35,68,scissors,rock,-1,3
69,W_up_L_down_T_stay,gpt35,69,paper,rock,3,-1
70,W_up_L_down_T_stay,gpt35,70,scissors,scissors,0,0
71,W_up_L_down_T_stay,gpt35,71,paper,rock,3,-1
72,W_up_L_down_T_stay,gpt35,72,scissors,scissors,0,0
73,W_up_L_down_T_stay,gpt35,73,scissors,paper,3,-1
74,W_up_L_down_T_stay,gpt35,74,rock,paper,-1,3
75,W_up_L_down_T_stay,gpt35,75,scissors,scissors,0,0
76,W_up_L_down_T_stay,gpt35,76,scissors,paper,3,-1
77,W_up_L_down_T_stay,gpt35,77,rock,paper,-1,3
78,W_up_L_down_T_stay,gpt35,78,scissors,paper,3,-1
79,W_up_L_down_T_stay,gpt35,79,rock,paper,-1,3
80,W_up_L_down_T_stay,gpt35,80,scissors,paper,3,-1
81,W_up_L_down_T_stay,gpt35,81,rock,paper,-1,3
82,W_up_L_down_T_stay,gpt35,82,scissors,paper,3,-1
83,W_up_L_down_T_stay,gpt35,83,rock,paper,-1,3
84,W_up_L_down_T_stay,gpt35,84,scissors,paper,3,-1
85,W_up_L_down_T_stay,gpt35,85,rock,paper,-1,3
86,W_up_L_down_T_stay,gpt35,86,scissors,paper,3,-1
87,W_up_L_down_T_stay,gpt35,87,scissors,paper,3,-1
88,W_up_L_down_T_stay,gpt35,88,paper,paper,0,0
89,W_up_L_down_T_stay,gpt35,89,paper,scissors,-1,3
90,W_up_L_down_T_stay,gpt35,90,rock,rock,0,0
91,W_up_L_down_T_stay,gpt35,91,paper,paper,0,0
92,W_up_L_down_T_stay,gpt35,92,paper,rock,3,-1
93,W_up_L_down_T_stay,gpt35,93,scissors,scissors,0,0
94,W_up_L_down_T_stay,gpt35,94,scissors,rock,-1,3
95,W_up_L_down_T_stay,gpt35,95,paper,rock,3,-1
96,W_up_L_down_T_stay,gpt35,96,paper,rock,3,-1
97,W_up_L_down_T_stay,gpt35,97,rock,scissors,3,-1
98,W_up_L_down_T_stay,gpt35,98,scissors,paper,3,-1
99,W_up_L_down_T_stay,gpt35,99,rock,paper,-1,3
100,W_up_L_down_T_stay,gpt35,100,scissors,rock,-1,3
101,W_up_L_down_T_stay,gpt35,101,paper,paper,0,0
102,W_up_L_down_T_stay,gpt35,102,paper,rock,3,-1
103,W_up_L_down_T_stay,gpt35,103,scissors,rock,-1,3
104,W_up_L_down_T_stay,gpt35,104,paper,paper,0,0
105,W_up_L_down_T_stay,gpt35,105,paper,rock,3,-1
106,W_up_L_down_T_stay,gpt35,106,scissors,scissors,0,0
107,W_up_L_down_T_stay,gpt35,107,scissors,rock,-1,3
108,W_up_L_down_T_stay,gpt35,108,paper,scissors,-1,3
109,W_up_L_down_T_stay,gpt35,109,rock,paper,-1,3
110,W_up_L_down_T_stay,gpt35,110,scissors,paper,3,-1
111,W_up_L_down_T_stay,gpt35,111,rock,paper,-1,3
112,W_up_L_down_T_stay,gpt35,112,scissors,rock,-1,3
113,W_up_L_down_T_stay,gpt35,113,paper,scissors,-1,3
114,W_up_L_down_T_stay,gpt35,114,rock,paper,-1,3
115,W_up_L_down_T_stay,gpt35,115,scissors,rock,-1,3
116,W_up_L_down_T_stay,gpt35,116,paper,scissors,-1,3
117,W_up_L_down_T_stay,gpt35,117,rock,paper,-1,3
118,W_up_L_down_T_stay,gpt35,118,scissors,rock,-1,3
119,W_up_L_down_T_stay,gpt35,119,paper,scissors,-1,3
120,W_up_L_down_T_stay,gpt35,120,rock,paper,-1,3
121,W_up_L_down_T_stay,gpt35,121,scissors,rock,-1,3
122,W_up_L_down_T_stay,gpt35,122,scissors,scissors,0,0
123,W_up_L_down_T_stay,gpt35,123,scissors,rock,-1,3
