,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,base_llm_gpt4o,0,rock,rock,0,0
1,self_transition_up,base_llm_gpt4o,1,paper,paper,0,0
2,self_transition_up,base_llm_gpt4o,2,scissors,scissors,0,0
3,self_transition_up,base_llm_gpt4o,3,scissors,rock,-1,3
4,self_transition_up,base_llm_gpt4o,4,rock,rock,0,0
5,self_transition_up,base_llm_gpt4o,5,paper,paper,0,0
6,self_transition_up,base_llm_gpt4o,6,rock,scissors,3,-1
7,self_transition_up,base_llm_gpt4o,7,paper,paper,0,0
8,self_transition_up,base_llm_gpt4o,8,scissors,scissors,0,0
9,self_transition_up,base_llm_gpt4o,9,rock,rock,0,0
10,self_transition_up,base_llm_gpt4o,10,paper,paper,0,0
11,self_transition_up,base_llm_gpt4o,11,scissors,scissors,0,0
12,self_transition_up,base_llm_gpt4o,12,rock,rock,0,0
13,self_transition_up,base_llm_gpt4o,13,paper,paper,0,0
14,self_transition_up,base_llm_gpt4o,14,scissors,scissors,0,0
15,self_transition_up,base_llm_gpt4o,15,rock,rock,0,0
16,self_transition_up,base_llm_gpt4o,16,paper,paper,0,0
17,self_transition_up,base_llm_gpt4o,17,scissors,scissors,0,0
18,self_transition_up,base_llm_gpt4o,18,rock,rock,0,0
19,self_transition_up,base_llm_gpt4o,19,paper,paper,0,0
20,self_transition_up,base_llm_gpt4o,20,scissors,scissors,0,0
21,self_transition_up,base_llm_gpt4o,21,rock,rock,0,0
22,self_transition_up,base_llm_gpt4o,22,paper,paper,0,0
23,self_transition_up,base_llm_gpt4o,23,scissors,scissors,0,0
24,self_transition_up,base_llm_gpt4o,24,paper,rock,3,-1
25,self_transition_up,base_llm_gpt4o,25,scissors,scissors,0,0
26,self_transition_up,base_llm_gpt4o,26,scissors,rock,-1,3
27,self_transition_up,base_llm_gpt4o,27,rock,rock,0,0
28,self_transition_up,base_llm_gpt4o,28,paper,paper,0,0
29,self_transition_up,base_llm_gpt4o,29,paper,scissors,-1,3
30,self_transition_up,base_llm_gpt4o,30,paper,rock,3,-1
31,self_transition_up,base_llm_gpt4o,31,scissors,scissors,0,0
32,self_transition_up,base_llm_gpt4o,32,rock,rock,0,0
33,self_transition_up,base_llm_gpt4o,33,paper,paper,0,0
34,self_transition_up,base_llm_gpt4o,34,scissors,scissors,0,0
35,self_transition_up,base_llm_gpt4o,35,rock,rock,0,0
36,self_transition_up,base_llm_gpt4o,36,paper,paper,0,0
37,self_transition_up,base_llm_gpt4o,37,scissors,scissors,0,0
38,self_transition_up,base_llm_gpt4o,38,scissors,rock,-1,3
39,self_transition_up,base_llm_gpt4o,39,rock,rock,0,0
40,self_transition_up,base_llm_gpt4o,40,paper,paper,0,0
41,self_transition_up,base_llm_gpt4o,41,scissors,scissors,0,0
42,self_transition_up,base_llm_gpt4o,42,rock,rock,0,0
43,self_transition_up,base_llm_gpt4o,43,paper,paper,0,0
44,self_transition_up,base_llm_gpt4o,44,scissors,scissors,0,0
45,self_transition_up,base_llm_gpt4o,45,rock,rock,0,0
46,self_transition_up,base_llm_gpt4o,46,paper,paper,0,0
47,self_transition_up,base_llm_gpt4o,47,scissors,scissors,0,0
48,self_transition_up,base_llm_gpt4o,48,rock,rock,0,0
49,self_transition_up,base_llm_gpt4o,49,paper,paper,0,0
50,self_transition_up,base_llm_gpt4o,50,scissors,scissors,0,0
51,self_transition_up,base_llm_gpt4o,51,rock,rock,0,0
52,self_transition_up,base_llm_gpt4o,52,paper,paper,0,0
53,self_transition_up,base_llm_gpt4o,53,scissors,scissors,0,0
54,self_transition_up,base_llm_gpt4o,54,rock,rock,0,0
55,self_transition_up,base_llm_gpt4o,55,paper,paper,0,0
56,self_transition_up,base_llm_gpt4o,56,scissors,scissors,0,0
57,self_transition_up,base_llm_gpt4o,57,rock,rock,0,0
58,self_transition_up,base_llm_gpt4o,58,paper,paper,0,0
59,self_transition_up,base_llm_gpt4o,59,rock,scissors,3,-1
60,self_transition_up,base_llm_gpt4o,60,paper,paper,0,0
61,self_transition_up,base_llm_gpt4o,61,scissors,scissors,0,0
62,self_transition_up,base_llm_gpt4o,62,rock,rock,0,0
63,self_transition_up,base_llm_gpt4o,63,paper,paper,0,0
64,self_transition_up,base_llm_gpt4o,64,scissors,scissors,0,0
65,self_transition_up,base_llm_gpt4o,65,rock,rock,0,0
66,self_transition_up,base_llm_gpt4o,66,paper,paper,0,0
67,self_transition_up,base_llm_gpt4o,67,scissors,scissors,0,0
68,self_transition_up,base_llm_gpt4o,68,rock,rock,0,0
69,self_transition_up,base_llm_gpt4o,69,paper,paper,0,0
70,self_transition_up,base_llm_gpt4o,70,scissors,scissors,0,0
71,self_transition_up,base_llm_gpt4o,71,rock,rock,0,0
72,self_transition_up,base_llm_gpt4o,72,paper,paper,0,0
73,self_transition_up,base_llm_gpt4o,73,scissors,scissors,0,0
74,self_transition_up,base_llm_gpt4o,74,rock,rock,0,0
75,self_transition_up,base_llm_gpt4o,75,paper,paper,0,0
76,self_transition_up,base_llm_gpt4o,76,scissors,scissors,0,0
77,self_transition_up,base_llm_gpt4o,77,rock,rock,0,0
78,self_transition_up,base_llm_gpt4o,78,paper,paper,0,0
79,self_transition_up,base_llm_gpt4o,79,scissors,scissors,0,0
80,self_transition_up,base_llm_gpt4o,80,paper,rock,3,-1
81,self_transition_up,base_llm_gpt4o,81,scissors,scissors,0,0
82,self_transition_up,base_llm_gpt4o,82,rock,rock,0,0
83,self_transition_up,base_llm_gpt4o,83,paper,paper,0,0
84,self_transition_up,base_llm_gpt4o,84,scissors,scissors,0,0
85,self_transition_up,base_llm_gpt4o,85,scissors,rock,-1,3
86,self_transition_up,base_llm_gpt4o,86,rock,rock,0,0
87,self_transition_up,base_llm_gpt4o,87,paper,paper,0,0
88,self_transition_up,base_llm_gpt4o,88,scissors,scissors,0,0
89,self_transition_up,base_llm_gpt4o,89,rock,rock,0,0
90,self_transition_up,base_llm_gpt4o,90,paper,paper,0,0
91,self_transition_up,base_llm_gpt4o,91,paper,scissors,-1,3
92,self_transition_up,base_llm_gpt4o,92,scissors,rock,-1,3
93,self_transition_up,base_llm_gpt4o,93,rock,rock,0,0
94,self_transition_up,base_llm_gpt4o,94,paper,paper,0,0
95,self_transition_up,base_llm_gpt4o,95,scissors,scissors,0,0
96,self_transition_up,base_llm_gpt4o,96,rock,rock,0,0
97,self_transition_up,base_llm_gpt4o,97,paper,paper,0,0
98,self_transition_up,base_llm_gpt4o,98,scissors,scissors,0,0
99,self_transition_up,base_llm_gpt4o,99,rock,rock,0,0
100,self_transition_up,base_llm_gpt4o,100,paper,paper,0,0
101,self_transition_up,base_llm_gpt4o,101,scissors,scissors,0,0
102,self_transition_up,base_llm_gpt4o,102,rock,rock,0,0
103,self_transition_up,base_llm_gpt4o,103,paper,paper,0,0
104,self_transition_up,base_llm_gpt4o,104,scissors,scissors,0,0
105,self_transition_up,base_llm_gpt4o,105,rock,rock,0,0
106,self_transition_up,base_llm_gpt4o,106,paper,paper,0,0
107,self_transition_up,base_llm_gpt4o,107,scissors,scissors,0,0
108,self_transition_up,base_llm_gpt4o,108,rock,rock,0,0
109,self_transition_up,base_llm_gpt4o,109,paper,paper,0,0
110,self_transition_up,base_llm_gpt4o,110,scissors,scissors,0,0
111,self_transition_up,base_llm_gpt4o,111,rock,rock,0,0
112,self_transition_up,base_llm_gpt4o,112,rock,paper,-1,3
113,self_transition_up,base_llm_gpt4o,113,paper,scissors,-1,3
114,self_transition_up,base_llm_gpt4o,114,scissors,rock,-1,3
115,self_transition_up,base_llm_gpt4o,115,rock,rock,0,0
116,self_transition_up,base_llm_gpt4o,116,paper,paper,0,0
117,self_transition_up,base_llm_gpt4o,117,scissors,scissors,0,0
118,self_transition_up,base_llm_gpt4o,118,rock,rock,0,0
119,self_transition_up,base_llm_gpt4o,119,paper,paper,0,0
120,self_transition_up,base_llm_gpt4o,120,scissors,scissors,0,0
121,self_transition_up,base_llm_gpt4o,121,scissors,rock,-1,3
122,self_transition_up,base_llm_gpt4o,122,rock,rock,0,0
123,self_transition_up,base_llm_gpt4o,123,paper,paper,0,0
124,self_transition_up,base_llm_gpt4o,124,scissors,scissors,0,0
125,self_transition_up,base_llm_gpt4o,125,rock,rock,0,0
126,self_transition_up,base_llm_gpt4o,126,paper,paper,0,0
127,self_transition_up,base_llm_gpt4o,127,scissors,scissors,0,0
128,self_transition_up,base_llm_gpt4o,128,rock,rock,0,0
129,self_transition_up,base_llm_gpt4o,129,paper,paper,0,0
130,self_transition_up,base_llm_gpt4o,130,scissors,scissors,0,0
131,self_transition_up,base_llm_gpt4o,131,rock,rock,0,0
132,self_transition_up,base_llm_gpt4o,132,rock,paper,-1,3
133,self_transition_up,base_llm_gpt4o,133,paper,scissors,-1,3
134,self_transition_up,base_llm_gpt4o,134,scissors,rock,-1,3
135,self_transition_up,base_llm_gpt4o,135,rock,rock,0,0
136,self_transition_up,base_llm_gpt4o,136,paper,paper,0,0
137,self_transition_up,base_llm_gpt4o,137,scissors,scissors,0,0
138,self_transition_up,base_llm_gpt4o,138,rock,rock,0,0
139,self_transition_up,base_llm_gpt4o,139,paper,paper,0,0
140,self_transition_up,base_llm_gpt4o,140,scissors,scissors,0,0
141,self_transition_up,base_llm_gpt4o,141,rock,rock,0,0
142,self_transition_up,base_llm_gpt4o,142,paper,paper,0,0
143,self_transition_up,base_llm_gpt4o,143,scissors,scissors,0,0
144,self_transition_up,base_llm_gpt4o,144,rock,rock,0,0
145,self_transition_up,base_llm_gpt4o,145,paper,paper,0,0
146,self_transition_up,base_llm_gpt4o,146,scissors,scissors,0,0
147,self_transition_up,base_llm_gpt4o,147,rock,rock,0,0
148,self_transition_up,base_llm_gpt4o,148,paper,paper,0,0
149,self_transition_up,base_llm_gpt4o,149,scissors,scissors,0,0
150,self_transition_up,base_llm_gpt4o,150,rock,rock,0,0
151,self_transition_up,base_llm_gpt4o,151,paper,paper,0,0
152,self_transition_up,base_llm_gpt4o,152,scissors,scissors,0,0
153,self_transition_up,base_llm_gpt4o,153,rock,rock,0,0
154,self_transition_up,base_llm_gpt4o,154,paper,paper,0,0
