,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,react_gpt4o,0,paper,scissors,-1,3
1,W_stay_L_up_T_down,react_gpt4o,1,scissors,rock,-1,3
2,W_stay_L_up_T_down,react_gpt4o,2,rock,rock,0,0
3,W_stay_L_up_T_down,react_gpt4o,3,scissors,paper,3,-1
4,W_stay_L_up_T_down,react_gpt4o,4,scissors,paper,3,-1
5,W_stay_L_up_T_down,react_gpt4o,5,scissors,rock,-1,3
6,W_stay_L_up_T_down,react_gpt4o,6,rock,scissors,3,-1
7,W_stay_L_up_T_down,react_gpt4o,7,rock,paper,-1,3
8,W_stay_L_up_T_down,react_gpt4o,8,paper,rock,3,-1
9,W_stay_L_up_T_down,react_gpt4o,9,paper,rock,3,-1
10,W_stay_L_up_T_down,react_gpt4o,10,paper,scissors,-1,3
11,W_stay_L_up_T_down,react_gpt4o,11,scissors,paper,3,-1
12,W_stay_L_up_T_down,react_gpt4o,12,scissors,rock,-1,3
13,W_stay_L_up_T_down,react_gpt4o,13,rock,scissors,3,-1
14,W_stay_L_up_T_down,react_gpt4o,14,rock,paper,-1,3
15,W_stay_L_up_T_down,react_gpt4o,15,paper,rock,3,-1
16,W_stay_L_up_T_down,react_gpt4o,16,paper,scissors,-1,3
17,W_stay_L_up_T_down,react_gpt4o,17,scissors,paper,3,-1
18,W_stay_L_up_T_down,react_gpt4o,18,scissors,paper,3,-1
19,W_stay_L_up_T_down,react_gpt4o,19,scissors,rock,-1,3
20,W_stay_L_up_T_down,react_gpt4o,20,rock,rock,0,0
21,W_stay_L_up_T_down,react_gpt4o,21,scissors,scissors,0,0
22,W_stay_L_up_T_down,react_gpt4o,22,paper,paper,0,0
23,W_stay_L_up_T_down,react_gpt4o,23,rock,rock,0,0
24,W_stay_L_up_T_down,react_gpt4o,24,scissors,paper,3,-1
25,W_stay_L_up_T_down,react_gpt4o,25,scissors,rock,-1,3
26,W_stay_L_up_T_down,react_gpt4o,26,rock,rock,0,0
27,W_stay_L_up_T_down,react_gpt4o,27,scissors,paper,3,-1
28,W_stay_L_up_T_down,react_gpt4o,28,scissors,rock,-1,3
29,W_stay_L_up_T_down,react_gpt4o,29,rock,rock,0,0
30,W_stay_L_up_T_down,react_gpt4o,30,scissors,paper,3,-1
31,W_stay_L_up_T_down,react_gpt4o,31,scissors,rock,-1,3
32,W_stay_L_up_T_down,react_gpt4o,32,rock,rock,0,0
33,W_stay_L_up_T_down,react_gpt4o,33,scissors,paper,3,-1
34,W_stay_L_up_T_down,react_gpt4o,34,scissors,rock,-1,3
35,W_stay_L_up_T_down,react_gpt4o,35,rock,rock,0,0
36,W_stay_L_up_T_down,react_gpt4o,36,scissors,paper,3,-1
37,W_stay_L_up_T_down,react_gpt4o,37,scissors,rock,-1,3
38,W_stay_L_up_T_down,react_gpt4o,38,rock,rock,0,0
39,W_stay_L_up_T_down,react_gpt4o,39,scissors,paper,3,-1
40,W_stay_L_up_T_down,react_gpt4o,40,scissors,rock,-1,3
41,W_stay_L_up_T_down,react_gpt4o,41,rock,rock,0,0
42,W_stay_L_up_T_down,react_gpt4o,42,scissors,paper,3,-1
43,W_stay_L_up_T_down,react_gpt4o,43,scissors,rock,-1,3
44,W_stay_L_up_T_down,react_gpt4o,44,rock,rock,0,0
45,W_stay_L_up_T_down,react_gpt4o,45,scissors,rock,-1,3
46,W_stay_L_up_T_down,react_gpt4o,46,rock,rock,0,0
47,W_stay_L_up_T_down,react_gpt4o,47,scissors,scissors,0,0
48,W_stay_L_up_T_down,react_gpt4o,48,paper,rock,3,-1
49,W_stay_L_up_T_down,react_gpt4o,49,paper,rock,3,-1
50,W_stay_L_up_T_down,react_gpt4o,50,paper,scissors,-1,3
51,W_stay_L_up_T_down,react_gpt4o,51,scissors,paper,3,-1
52,W_stay_L_up_T_down,react_gpt4o,52,scissors,rock,-1,3
53,W_stay_L_up_T_down,react_gpt4o,53,rock,scissors,3,-1
54,W_stay_L_up_T_down,react_gpt4o,54,rock,paper,-1,3
55,W_stay_L_up_T_down,react_gpt4o,55,paper,rock,3,-1
56,W_stay_L_up_T_down,react_gpt4o,56,paper,scissors,-1,3
57,W_stay_L_up_T_down,react_gpt4o,57,scissors,paper,3,-1
58,W_stay_L_up_T_down,react_gpt4o,58,scissors,rock,-1,3
59,W_stay_L_up_T_down,react_gpt4o,59,rock,rock,0,0
60,W_stay_L_up_T_down,react_gpt4o,60,scissors,rock,-1,3
61,W_stay_L_up_T_down,react_gpt4o,61,scissors,rock,-1,3
62,W_stay_L_up_T_down,react_gpt4o,62,rock,rock,0,0
63,W_stay_L_up_T_down,react_gpt4o,63,scissors,rock,-1,3
64,W_stay_L_up_T_down,react_gpt4o,64,rock,rock,0,0
65,W_stay_L_up_T_down,react_gpt4o,65,scissors,rock,-1,3
66,W_stay_L_up_T_down,react_gpt4o,66,rock,rock,0,0
67,W_stay_L_up_T_down,react_gpt4o,67,scissors,paper,3,-1
68,W_stay_L_up_T_down,react_gpt4o,68,scissors,rock,-1,3
69,W_stay_L_up_T_down,react_gpt4o,69,rock,paper,-1,3
70,W_stay_L_up_T_down,react_gpt4o,70,paper,rock,3,-1
71,W_stay_L_up_T_down,react_gpt4o,71,paper,scissors,-1,3
72,W_stay_L_up_T_down,react_gpt4o,72,scissors,paper,3,-1
73,W_stay_L_up_T_down,react_gpt4o,73,rock,rock,0,0
74,W_stay_L_up_T_down,react_gpt4o,74,scissors,rock,-1,3
75,W_stay_L_up_T_down,react_gpt4o,75,rock,paper,-1,3
76,W_stay_L_up_T_down,react_gpt4o,76,paper,rock,3,-1
77,W_stay_L_up_T_down,react_gpt4o,77,paper,scissors,-1,3
78,W_stay_L_up_T_down,react_gpt4o,78,scissors,paper,3,-1
79,W_stay_L_up_T_down,react_gpt4o,79,scissors,rock,-1,3
80,W_stay_L_up_T_down,react_gpt4o,80,rock,scissors,3,-1
81,W_stay_L_up_T_down,react_gpt4o,81,rock,paper,-1,3
82,W_stay_L_up_T_down,react_gpt4o,82,paper,rock,3,-1
83,W_stay_L_up_T_down,react_gpt4o,83,paper,scissors,-1,3
84,W_stay_L_up_T_down,react_gpt4o,84,scissors,paper,3,-1
85,W_stay_L_up_T_down,react_gpt4o,85,scissors,rock,-1,3
86,W_stay_L_up_T_down,react_gpt4o,86,rock,scissors,3,-1
87,W_stay_L_up_T_down,react_gpt4o,87,rock,paper,-1,3
88,W_stay_L_up_T_down,react_gpt4o,88,scissors,paper,3,-1
89,W_stay_L_up_T_down,react_gpt4o,89,scissors,rock,-1,3
90,W_stay_L_up_T_down,react_gpt4o,90,scissors,scissors,0,0
91,W_stay_L_up_T_down,react_gpt4o,91,paper,paper,0,0
92,W_stay_L_up_T_down,react_gpt4o,92,rock,rock,0,0
93,W_stay_L_up_T_down,react_gpt4o,93,scissors,paper,3,-1
94,W_stay_L_up_T_down,react_gpt4o,94,scissors,rock,-1,3
95,W_stay_L_up_T_down,react_gpt4o,95,rock,scissors,3,-1
96,W_stay_L_up_T_down,react_gpt4o,96,rock,paper,-1,3
97,W_stay_L_up_T_down,react_gpt4o,97,scissors,rock,-1,3
98,W_stay_L_up_T_down,react_gpt4o,98,rock,scissors,3,-1
99,W_stay_L_up_T_down,react_gpt4o,99,rock,paper,-1,3
100,W_stay_L_up_T_down,react_gpt4o,100,paper,rock,3,-1
101,W_stay_L_up_T_down,react_gpt4o,101,paper,scissors,-1,3
102,W_stay_L_up_T_down,react_gpt4o,102,scissors,scissors,0,0
103,W_stay_L_up_T_down,react_gpt4o,103,paper,rock,3,-1
104,W_stay_L_up_T_down,react_gpt4o,104,paper,scissors,-1,3
105,W_stay_L_up_T_down,react_gpt4o,105,scissors,paper,3,-1
106,W_stay_L_up_T_down,react_gpt4o,106,scissors,rock,-1,3
107,W_stay_L_up_T_down,react_gpt4o,107,rock,scissors,3,-1
108,W_stay_L_up_T_down,react_gpt4o,108,rock,paper,-1,3
109,W_stay_L_up_T_down,react_gpt4o,109,paper,paper,0,0
110,W_stay_L_up_T_down,react_gpt4o,110,scissors,rock,-1,3
111,W_stay_L_up_T_down,react_gpt4o,111,paper,rock,3,-1
112,W_stay_L_up_T_down,react_gpt4o,112,rock,scissors,3,-1
113,W_stay_L_up_T_down,react_gpt4o,113,rock,paper,-1,3
114,W_stay_L_up_T_down,react_gpt4o,114,paper,paper,0,0
115,W_stay_L_up_T_down,react_gpt4o,115,rock,scissors,3,-1
116,W_stay_L_up_T_down,react_gpt4o,116,rock,paper,-1,3
117,W_stay_L_up_T_down,react_gpt4o,117,paper,paper,0,0
118,W_stay_L_up_T_down,react_gpt4o,118,rock,scissors,3,-1
119,W_stay_L_up_T_down,react_gpt4o,119,rock,paper,-1,3
120,W_stay_L_up_T_down,react_gpt4o,120,paper,paper,0,0
121,W_stay_L_up_T_down,react_gpt4o,121,rock,paper,-1,3
122,W_stay_L_up_T_down,react_gpt4o,122,paper,paper,0,0
123,W_stay_L_up_T_down,react_gpt4o,123,rock,scissors,3,-1
124,W_stay_L_up_T_down,react_gpt4o,124,rock,paper,-1,3
125,W_stay_L_up_T_down,react_gpt4o,125,paper,paper,0,0
126,W_stay_L_up_T_down,react_gpt4o,126,rock,paper,-1,3
127,W_stay_L_up_T_down,react_gpt4o,127,paper,paper,0,0
128,W_stay_L_up_T_down,react_gpt4o,128,rock,paper,-1,3
129,W_stay_L_up_T_down,react_gpt4o,129,paper,paper,0,0
130,W_stay_L_up_T_down,react_gpt4o,130,rock,paper,-1,3
131,W_stay_L_up_T_down,react_gpt4o,131,paper,paper,0,0
132,W_stay_L_up_T_down,react_gpt4o,132,rock,paper,-1,3
133,W_stay_L_up_T_down,react_gpt4o,133,paper,paper,0,0
134,W_stay_L_up_T_down,react_gpt4o,134,rock,paper,-1,3
135,W_stay_L_up_T_down,react_gpt4o,135,paper,paper,0,0
136,W_stay_L_up_T_down,react_gpt4o,136,rock,paper,-1,3
137,W_stay_L_up_T_down,react_gpt4o,137,paper,paper,0,0
138,W_stay_L_up_T_down,react_gpt4o,138,rock,paper,-1,3
139,W_stay_L_up_T_down,react_gpt4o,139,paper,paper,0,0
140,W_stay_L_up_T_down,react_gpt4o,140,rock,paper,-1,3
141,W_stay_L_up_T_down,react_gpt4o,141,paper,scissors,-1,3
142,W_stay_L_up_T_down,react_gpt4o,142,paper,paper,0,0
143,W_stay_L_up_T_down,react_gpt4o,143,rock,paper,-1,3
144,W_stay_L_up_T_down,react_gpt4o,144,paper,paper,0,0
145,W_stay_L_up_T_down,react_gpt4o,145,rock,paper,-1,3
146,W_stay_L_up_T_down,react_gpt4o,146,paper,rock,3,-1
147,W_stay_L_up_T_down,react_gpt4o,147,rock,scissors,3,-1
148,W_stay_L_up_T_down,react_gpt4o,148,rock,paper,-1,3
149,W_stay_L_up_T_down,react_gpt4o,149,paper,paper,0,0
150,W_stay_L_up_T_down,react_gpt4o,150,rock,paper,-1,3
151,W_stay_L_up_T_down,react_gpt4o,151,paper,paper,0,0
152,W_stay_L_up_T_down,react_gpt4o,152,rock,scissors,3,-1
153,W_stay_L_up_T_down,react_gpt4o,153,rock,paper,-1,3
154,W_stay_L_up_T_down,react_gpt4o,154,paper,paper,0,0
155,W_stay_L_up_T_down,react_gpt4o,155,rock,paper,-1,3
156,W_stay_L_up_T_down,react_gpt4o,156,paper,paper,0,0
157,W_stay_L_up_T_down,react_gpt4o,157,rock,paper,-1,3
158,W_stay_L_up_T_down,react_gpt4o,158,paper,paper,0,0
159,W_stay_L_up_T_down,react_gpt4o,159,rock,paper,-1,3
160,W_stay_L_up_T_down,react_gpt4o,160,paper,paper,0,0
161,W_stay_L_up_T_down,react_gpt4o,161,rock,paper,-1,3
162,W_stay_L_up_T_down,react_gpt4o,162,scissors,paper,3,-1
163,W_stay_L_up_T_down,react_gpt4o,163,scissors,paper,3,-1
164,W_stay_L_up_T_down,react_gpt4o,164,scissors,paper,3,-1
165,W_stay_L_up_T_down,react_gpt4o,165,scissors,rock,-1,3
166,W_stay_L_up_T_down,react_gpt4o,166,rock,scissors,3,-1
167,W_stay_L_up_T_down,react_gpt4o,167,rock,paper,-1,3
168,W_stay_L_up_T_down,react_gpt4o,168,paper,rock,3,-1
169,W_stay_L_up_T_down,react_gpt4o,169,paper,scissors,-1,3
170,W_stay_L_up_T_down,react_gpt4o,170,scissors,paper,3,-1
171,W_stay_L_up_T_down,react_gpt4o,171,scissors,rock,-1,3
172,W_stay_L_up_T_down,react_gpt4o,172,rock,scissors,3,-1
173,W_stay_L_up_T_down,react_gpt4o,173,rock,paper,-1,3
174,W_stay_L_up_T_down,react_gpt4o,174,paper,paper,0,0
175,W_stay_L_up_T_down,react_gpt4o,175,rock,paper,-1,3
176,W_stay_L_up_T_down,react_gpt4o,176,paper,paper,0,0
177,W_stay_L_up_T_down,react_gpt4o,177,rock,paper,-1,3
178,W_stay_L_up_T_down,react_gpt4o,178,paper,paper,0,0
179,W_stay_L_up_T_down,react_gpt4o,179,rock,paper,-1,3
180,W_stay_L_up_T_down,react_gpt4o,180,paper,scissors,-1,3
181,W_stay_L_up_T_down,react_gpt4o,181,scissors,paper,3,-1
182,W_stay_L_up_T_down,react_gpt4o,182,scissors,paper,3,-1
183,W_stay_L_up_T_down,react_gpt4o,183,scissors,rock,-1,3
184,W_stay_L_up_T_down,react_gpt4o,184,rock,rock,0,0
185,W_stay_L_up_T_down,react_gpt4o,185,scissors,paper,3,-1
186,W_stay_L_up_T_down,react_gpt4o,186,scissors,rock,-1,3
187,W_stay_L_up_T_down,react_gpt4o,187,rock,scissors,3,-1
188,W_stay_L_up_T_down,react_gpt4o,188,rock,paper,-1,3
189,W_stay_L_up_T_down,react_gpt4o,189,paper,paper,0,0
190,W_stay_L_up_T_down,react_gpt4o,190,rock,paper,-1,3
191,W_stay_L_up_T_down,react_gpt4o,191,rock,paper,-1,3
192,W_stay_L_up_T_down,react_gpt4o,192,paper,paper,0,0
193,W_stay_L_up_T_down,react_gpt4o,193,rock,scissors,3,-1
194,W_stay_L_up_T_down,react_gpt4o,194,rock,paper,-1,3
195,W_stay_L_up_T_down,react_gpt4o,195,paper,paper,0,0
196,W_stay_L_up_T_down,react_gpt4o,196,rock,paper,-1,3
197,W_stay_L_up_T_down,react_gpt4o,197,paper,rock,3,-1
198,W_stay_L_up_T_down,react_gpt4o,198,paper,scissors,-1,3
199,W_stay_L_up_T_down,react_gpt4o,199,scissors,paper,3,-1
200,W_stay_L_up_T_down,react_gpt4o,200,scissors,paper,3,-1
201,W_stay_L_up_T_down,react_gpt4o,201,scissors,rock,-1,3
202,W_stay_L_up_T_down,react_gpt4o,202,rock,scissors,3,-1
203,W_stay_L_up_T_down,react_gpt4o,203,rock,paper,-1,3
204,W_stay_L_up_T_down,react_gpt4o,204,paper,paper,0,0
205,W_stay_L_up_T_down,react_gpt4o,205,rock,rock,0,0
206,W_stay_L_up_T_down,react_gpt4o,206,scissors,paper,3,-1
207,W_stay_L_up_T_down,react_gpt4o,207,scissors,rock,-1,3
208,W_stay_L_up_T_down,react_gpt4o,208,rock,scissors,3,-1
209,W_stay_L_up_T_down,react_gpt4o,209,rock,paper,-1,3
210,W_stay_L_up_T_down,react_gpt4o,210,paper,paper,0,0
211,W_stay_L_up_T_down,react_gpt4o,211,rock,paper,-1,3
212,W_stay_L_up_T_down,react_gpt4o,212,paper,paper,0,0
213,W_stay_L_up_T_down,react_gpt4o,213,rock,scissors,3,-1
214,W_stay_L_up_T_down,react_gpt4o,214,rock,paper,-1,3
215,W_stay_L_up_T_down,react_gpt4o,215,paper,paper,0,0
216,W_stay_L_up_T_down,react_gpt4o,216,rock,scissors,3,-1
217,W_stay_L_up_T_down,react_gpt4o,217,rock,paper,-1,3
218,W_stay_L_up_T_down,react_gpt4o,218,paper,paper,0,0
219,W_stay_L_up_T_down,react_gpt4o,219,rock,paper,-1,3
220,W_stay_L_up_T_down,react_gpt4o,220,paper,paper,0,0
221,W_stay_L_up_T_down,react_gpt4o,221,rock,paper,-1,3
222,W_stay_L_up_T_down,react_gpt4o,222,paper,paper,0,0
223,W_stay_L_up_T_down,react_gpt4o,223,rock,scissors,3,-1
224,W_stay_L_up_T_down,react_gpt4o,224,scissors,paper,3,-1
225,W_stay_L_up_T_down,react_gpt4o,225,scissors,rock,-1,3
226,W_stay_L_up_T_down,react_gpt4o,226,paper,paper,0,0
227,W_stay_L_up_T_down,react_gpt4o,227,rock,paper,-1,3
228,W_stay_L_up_T_down,react_gpt4o,228,scissors,paper,3,-1
229,W_stay_L_up_T_down,react_gpt4o,229,rock,rock,0,0
230,W_stay_L_up_T_down,react_gpt4o,230,scissors,paper,3,-1
231,W_stay_L_up_T_down,react_gpt4o,231,scissors,rock,-1,3
232,W_stay_L_up_T_down,react_gpt4o,232,rock,rock,0,0
233,W_stay_L_up_T_down,react_gpt4o,233,scissors,paper,3,-1
234,W_stay_L_up_T_down,react_gpt4o,234,scissors,rock,-1,3
235,W_stay_L_up_T_down,react_gpt4o,235,rock,rock,0,0
236,W_stay_L_up_T_down,react_gpt4o,236,rock,paper,-1,3
237,W_stay_L_up_T_down,react_gpt4o,237,rock,paper,-1,3
238,W_stay_L_up_T_down,react_gpt4o,238,paper,paper,0,0
239,W_stay_L_up_T_down,react_gpt4o,239,scissors,paper,3,-1
240,W_stay_L_up_T_down,react_gpt4o,240,scissors,paper,3,-1
241,W_stay_L_up_T_down,react_gpt4o,241,scissors,rock,-1,3
242,W_stay_L_up_T_down,react_gpt4o,242,rock,scissors,3,-1
243,W_stay_L_up_T_down,react_gpt4o,243,rock,paper,-1,3
244,W_stay_L_up_T_down,react_gpt4o,244,paper,paper,0,0
245,W_stay_L_up_T_down,react_gpt4o,245,rock,paper,-1,3
246,W_stay_L_up_T_down,react_gpt4o,246,paper,paper,0,0
247,W_stay_L_up_T_down,react_gpt4o,247,rock,paper,-1,3
248,W_stay_L_up_T_down,react_gpt4o,248,paper,paper,0,0
249,W_stay_L_up_T_down,react_gpt4o,249,rock,paper,-1,3
250,W_stay_L_up_T_down,react_gpt4o,250,paper,paper,0,0
251,W_stay_L_up_T_down,react_gpt4o,251,rock,paper,-1,3
252,W_stay_L_up_T_down,react_gpt4o,252,paper,paper,0,0
253,W_stay_L_up_T_down,react_gpt4o,253,rock,paper,-1,3
254,W_stay_L_up_T_down,react_gpt4o,254,scissors,paper,3,-1
255,W_stay_L_up_T_down,react_gpt4o,255,scissors,rock,-1,3
256,W_stay_L_up_T_down,react_gpt4o,256,rock,paper,-1,3
257,W_stay_L_up_T_down,react_gpt4o,257,paper,paper,0,0
258,W_stay_L_up_T_down,react_gpt4o,258,rock,paper,-1,3
259,W_stay_L_up_T_down,react_gpt4o,259,paper,paper,0,0
