,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,base_llm_gpt4o,0,scissors,rock,-1,3
1,opponent_transition_up,base_llm_gpt4o,1,rock,rock,0,0
2,opponent_transition_up,base_llm_gpt4o,2,paper,paper,0,0
3,opponent_transition_up,base_llm_gpt4o,3,scissors,scissors,0,0
4,opponent_transition_up,base_llm_gpt4o,4,rock,rock,0,0
5,opponent_transition_up,base_llm_gpt4o,5,paper,paper,0,0
6,opponent_transition_up,base_llm_gpt4o,6,scissors,scissors,0,0
7,opponent_transition_up,base_llm_gpt4o,7,rock,rock,0,0
8,opponent_transition_up,base_llm_gpt4o,8,paper,paper,0,0
9,opponent_transition_up,base_llm_gpt4o,9,scissors,scissors,0,0
10,opponent_transition_up,base_llm_gpt4o,10,rock,rock,0,0
11,opponent_transition_up,base_llm_gpt4o,11,paper,paper,0,0
12,opponent_transition_up,base_llm_gpt4o,12,scissors,scissors,0,0
13,opponent_transition_up,base_llm_gpt4o,13,rock,rock,0,0
14,opponent_transition_up,base_llm_gpt4o,14,paper,paper,0,0
15,opponent_transition_up,base_llm_gpt4o,15,scissors,scissors,0,0
16,opponent_transition_up,base_llm_gpt4o,16,rock,rock,0,0
17,opponent_transition_up,base_llm_gpt4o,17,paper,paper,0,0
18,opponent_transition_up,base_llm_gpt4o,18,scissors,scissors,0,0
19,opponent_transition_up,base_llm_gpt4o,19,rock,rock,0,0
20,opponent_transition_up,base_llm_gpt4o,20,scissors,paper,3,-1
21,opponent_transition_up,base_llm_gpt4o,21,scissors,rock,-1,3
22,opponent_transition_up,base_llm_gpt4o,22,paper,rock,3,-1
23,opponent_transition_up,base_llm_gpt4o,23,paper,scissors,-1,3
24,opponent_transition_up,base_llm_gpt4o,24,rock,rock,0,0
25,opponent_transition_up,base_llm_gpt4o,25,paper,paper,0,0
26,opponent_transition_up,base_llm_gpt4o,26,rock,scissors,3,-1
27,opponent_transition_up,base_llm_gpt4o,27,rock,paper,-1,3
28,opponent_transition_up,base_llm_gpt4o,28,scissors,scissors,0,0
29,opponent_transition_up,base_llm_gpt4o,29,rock,rock,0,0
30,opponent_transition_up,base_llm_gpt4o,30,paper,paper,0,0
31,opponent_transition_up,base_llm_gpt4o,31,scissors,scissors,0,0
32,opponent_transition_up,base_llm_gpt4o,32,rock,rock,0,0
33,opponent_transition_up,base_llm_gpt4o,33,paper,paper,0,0
34,opponent_transition_up,base_llm_gpt4o,34,scissors,scissors,0,0
35,opponent_transition_up,base_llm_gpt4o,35,rock,rock,0,0
36,opponent_transition_up,base_llm_gpt4o,36,paper,paper,0,0
37,opponent_transition_up,base_llm_gpt4o,37,rock,scissors,3,-1
38,opponent_transition_up,base_llm_gpt4o,38,rock,rock,0,0
39,opponent_transition_up,base_llm_gpt4o,39,scissors,paper,3,-1
40,opponent_transition_up,base_llm_gpt4o,40,scissors,rock,-1,3
41,opponent_transition_up,base_llm_gpt4o,41,paper,rock,3,-1
42,opponent_transition_up,base_llm_gpt4o,42,paper,scissors,-1,3
43,opponent_transition_up,base_llm_gpt4o,43,rock,rock,0,0
44,opponent_transition_up,base_llm_gpt4o,44,paper,paper,0,0
45,opponent_transition_up,base_llm_gpt4o,45,scissors,scissors,0,0
46,opponent_transition_up,base_llm_gpt4o,46,rock,rock,0,0
47,opponent_transition_up,base_llm_gpt4o,47,paper,paper,0,0
48,opponent_transition_up,base_llm_gpt4o,48,scissors,scissors,0,0
49,opponent_transition_up,base_llm_gpt4o,49,rock,rock,0,0
50,opponent_transition_up,base_llm_gpt4o,50,paper,paper,0,0
51,opponent_transition_up,base_llm_gpt4o,51,scissors,scissors,0,0
52,opponent_transition_up,base_llm_gpt4o,52,rock,rock,0,0
53,opponent_transition_up,base_llm_gpt4o,53,paper,paper,0,0
54,opponent_transition_up,base_llm_gpt4o,54,paper,scissors,-1,3
55,opponent_transition_up,base_llm_gpt4o,55,rock,rock,0,0
56,opponent_transition_up,base_llm_gpt4o,56,paper,paper,0,0
57,opponent_transition_up,base_llm_gpt4o,57,scissors,scissors,0,0
