,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,gpt4o,0,rock,rock,0,0
1,W_stay_L_up_T_down,gpt4o,1,rock,rock,0,0
2,W_stay_L_up_T_down,gpt4o,2,scissors,rock,-1,3
3,W_stay_L_up_T_down,gpt4o,3,rock,paper,-1,3
4,W_stay_L_up_T_down,gpt4o,4,paper,scissors,-1,3
5,W_stay_L_up_T_down,gpt4o,5,scissors,rock,-1,3
6,W_stay_L_up_T_down,gpt4o,6,rock,paper,-1,3
7,W_stay_L_up_T_down,gpt4o,7,scissors,scissors,0,0
8,W_stay_L_up_T_down,gpt4o,8,paper,scissors,-1,3
9,W_stay_L_up_T_down,gpt4o,9,scissors,paper,3,-1
10,W_stay_L_up_T_down,gpt4o,10,scissors,rock,-1,3
11,W_stay_L_up_T_down,gpt4o,11,rock,paper,-1,3
12,W_stay_L_up_T_down,gpt4o,12,paper,scissors,-1,3
13,W_stay_L_up_T_down,gpt4o,13,scissors,rock,-1,3
14,W_stay_L_up_T_down,gpt4o,14,rock,paper,-1,3
15,W_stay_L_up_T_down,gpt4o,15,paper,scissors,-1,3
16,W_stay_L_up_T_down,gpt4o,16,scissors,rock,-1,3
17,W_stay_L_up_T_down,gpt4o,17,rock,paper,-1,3
18,W_stay_L_up_T_down,gpt4o,18,paper,scissors,-1,3
19,W_stay_L_up_T_down,gpt4o,19,scissors,rock,-1,3
20,W_stay_L_up_T_down,gpt4o,20,rock,paper,-1,3
21,W_stay_L_up_T_down,gpt4o,21,paper,scissors,-1,3
22,W_stay_L_up_T_down,gpt4o,22,scissors,rock,-1,3
23,W_stay_L_up_T_down,gpt4o,23,rock,paper,-1,3
24,W_stay_L_up_T_down,gpt4o,24,paper,scissors,-1,3
25,W_stay_L_up_T_down,gpt4o,25,paper,rock,3,-1
26,W_stay_L_up_T_down,gpt4o,26,rock,scissors,3,-1
27,W_stay_L_up_T_down,gpt4o,27,rock,paper,-1,3
28,W_stay_L_up_T_down,gpt4o,28,paper,scissors,-1,3
29,W_stay_L_up_T_down,gpt4o,29,scissors,rock,-1,3
30,W_stay_L_up_T_down,gpt4o,30,rock,paper,-1,3
31,W_stay_L_up_T_down,gpt4o,31,rock,scissors,3,-1
32,W_stay_L_up_T_down,gpt4o,32,rock,paper,-1,3
33,W_stay_L_up_T_down,gpt4o,33,paper,scissors,-1,3
34,W_stay_L_up_T_down,gpt4o,34,scissors,rock,-1,3
35,W_stay_L_up_T_down,gpt4o,35,rock,paper,-1,3
36,W_stay_L_up_T_down,gpt4o,36,rock,scissors,3,-1
37,W_stay_L_up_T_down,gpt4o,37,rock,paper,-1,3
38,W_stay_L_up_T_down,gpt4o,38,paper,scissors,-1,3
39,W_stay_L_up_T_down,gpt4o,39,scissors,rock,-1,3
40,W_stay_L_up_T_down,gpt4o,40,rock,paper,-1,3
41,W_stay_L_up_T_down,gpt4o,41,paper,scissors,-1,3
42,W_stay_L_up_T_down,gpt4o,42,scissors,rock,-1,3
43,W_stay_L_up_T_down,gpt4o,43,rock,paper,-1,3
44,W_stay_L_up_T_down,gpt4o,44,paper,scissors,-1,3
45,W_stay_L_up_T_down,gpt4o,45,scissors,rock,-1,3
46,W_stay_L_up_T_down,gpt4o,46,rock,paper,-1,3
47,W_stay_L_up_T_down,gpt4o,47,paper,scissors,-1,3
48,W_stay_L_up_T_down,gpt4o,48,scissors,rock,-1,3
49,W_stay_L_up_T_down,gpt4o,49,scissors,paper,3,-1
50,W_stay_L_up_T_down,gpt4o,50,scissors,rock,-1,3
51,W_stay_L_up_T_down,gpt4o,51,paper,paper,0,0
52,W_stay_L_up_T_down,gpt4o,52,rock,paper,-1,3
53,W_stay_L_up_T_down,gpt4o,53,paper,scissors,-1,3
54,W_stay_L_up_T_down,gpt4o,54,scissors,rock,-1,3
55,W_stay_L_up_T_down,gpt4o,55,rock,paper,-1,3
56,W_stay_L_up_T_down,gpt4o,56,paper,scissors,-1,3
57,W_stay_L_up_T_down,gpt4o,57,scissors,rock,-1,3
58,W_stay_L_up_T_down,gpt4o,58,rock,paper,-1,3
59,W_stay_L_up_T_down,gpt4o,59,paper,scissors,-1,3
60,W_stay_L_up_T_down,gpt4o,60,scissors,rock,-1,3
61,W_stay_L_up_T_down,gpt4o,61,rock,paper,-1,3
62,W_stay_L_up_T_down,gpt4o,62,rock,scissors,3,-1
63,W_stay_L_up_T_down,gpt4o,63,rock,paper,-1,3
64,W_stay_L_up_T_down,gpt4o,64,paper,scissors,-1,3
65,W_stay_L_up_T_down,gpt4o,65,scissors,rock,-1,3
66,W_stay_L_up_T_down,gpt4o,66,rock,paper,-1,3
67,W_stay_L_up_T_down,gpt4o,67,paper,scissors,-1,3
68,W_stay_L_up_T_down,gpt4o,68,scissors,rock,-1,3
69,W_stay_L_up_T_down,gpt4o,69,rock,paper,-1,3
70,W_stay_L_up_T_down,gpt4o,70,paper,scissors,-1,3
71,W_stay_L_up_T_down,gpt4o,71,scissors,rock,-1,3
72,W_stay_L_up_T_down,gpt4o,72,rock,paper,-1,3
73,W_stay_L_up_T_down,gpt4o,73,paper,scissors,-1,3
74,W_stay_L_up_T_down,gpt4o,74,scissors,paper,3,-1
75,W_stay_L_up_T_down,gpt4o,75,scissors,rock,-1,3
76,W_stay_L_up_T_down,gpt4o,76,rock,paper,-1,3
77,W_stay_L_up_T_down,gpt4o,77,paper,scissors,-1,3
78,W_stay_L_up_T_down,gpt4o,78,scissors,rock,-1,3
79,W_stay_L_up_T_down,gpt4o,79,rock,paper,-1,3
80,W_stay_L_up_T_down,gpt4o,80,paper,scissors,-1,3
81,W_stay_L_up_T_down,gpt4o,81,scissors,rock,-1,3
82,W_stay_L_up_T_down,gpt4o,82,rock,paper,-1,3
83,W_stay_L_up_T_down,gpt4o,83,paper,scissors,-1,3
84,W_stay_L_up_T_down,gpt4o,84,scissors,rock,-1,3
85,W_stay_L_up_T_down,gpt4o,85,rock,paper,-1,3
86,W_stay_L_up_T_down,gpt4o,86,paper,scissors,-1,3
87,W_stay_L_up_T_down,gpt4o,87,scissors,rock,-1,3
88,W_stay_L_up_T_down,gpt4o,88,rock,paper,-1,3
89,W_stay_L_up_T_down,gpt4o,89,paper,scissors,-1,3
90,W_stay_L_up_T_down,gpt4o,90,scissors,rock,-1,3
91,W_stay_L_up_T_down,gpt4o,91,scissors,paper,3,-1
92,W_stay_L_up_T_down,gpt4o,92,scissors,rock,-1,3
93,W_stay_L_up_T_down,gpt4o,93,rock,paper,-1,3
94,W_stay_L_up_T_down,gpt4o,94,paper,scissors,-1,3
95,W_stay_L_up_T_down,gpt4o,95,scissors,rock,-1,3
96,W_stay_L_up_T_down,gpt4o,96,rock,paper,-1,3
97,W_stay_L_up_T_down,gpt4o,97,paper,scissors,-1,3
98,W_stay_L_up_T_down,gpt4o,98,scissors,rock,-1,3
99,W_stay_L_up_T_down,gpt4o,99,rock,paper,-1,3
100,W_stay_L_up_T_down,gpt4o,100,paper,scissors,-1,3
101,W_stay_L_up_T_down,gpt4o,101,scissors,rock,-1,3
102,W_stay_L_up_T_down,gpt4o,102,rock,paper,-1,3
103,W_stay_L_up_T_down,gpt4o,103,rock,scissors,3,-1
104,W_stay_L_up_T_down,gpt4o,104,rock,paper,-1,3
105,W_stay_L_up_T_down,gpt4o,105,paper,scissors,-1,3
106,W_stay_L_up_T_down,gpt4o,106,scissors,rock,-1,3
107,W_stay_L_up_T_down,gpt4o,107,rock,paper,-1,3
108,W_stay_L_up_T_down,gpt4o,108,paper,scissors,-1,3
109,W_stay_L_up_T_down,gpt4o,109,scissors,rock,-1,3
110,W_stay_L_up_T_down,gpt4o,110,rock,paper,-1,3
111,W_stay_L_up_T_down,gpt4o,111,paper,scissors,-1,3
112,W_stay_L_up_T_down,gpt4o,112,scissors,rock,-1,3
113,W_stay_L_up_T_down,gpt4o,113,rock,paper,-1,3
114,W_stay_L_up_T_down,gpt4o,114,paper,scissors,-1,3
115,W_stay_L_up_T_down,gpt4o,115,scissors,rock,-1,3
116,W_stay_L_up_T_down,gpt4o,116,rock,paper,-1,3
117,W_stay_L_up_T_down,gpt4o,117,paper,scissors,-1,3
118,W_stay_L_up_T_down,gpt4o,118,scissors,rock,-1,3
119,W_stay_L_up_T_down,gpt4o,119,rock,paper,-1,3
120,W_stay_L_up_T_down,gpt4o,120,paper,scissors,-1,3
121,W_stay_L_up_T_down,gpt4o,121,scissors,rock,-1,3
122,W_stay_L_up_T_down,gpt4o,122,rock,paper,-1,3
123,W_stay_L_up_T_down,gpt4o,123,scissors,scissors,0,0
124,W_stay_L_up_T_down,gpt4o,124,paper,scissors,-1,3
125,W_stay_L_up_T_down,gpt4o,125,scissors,rock,-1,3
126,W_stay_L_up_T_down,gpt4o,126,rock,paper,-1,3
127,W_stay_L_up_T_down,gpt4o,127,paper,scissors,-1,3
128,W_stay_L_up_T_down,gpt4o,128,scissors,paper,3,-1
129,W_stay_L_up_T_down,gpt4o,129,scissors,rock,-1,3
130,W_stay_L_up_T_down,gpt4o,130,rock,paper,-1,3
131,W_stay_L_up_T_down,gpt4o,131,paper,scissors,-1,3
132,W_stay_L_up_T_down,gpt4o,132,scissors,paper,3,-1
133,W_stay_L_up_T_down,gpt4o,133,rock,rock,0,0
134,W_stay_L_up_T_down,gpt4o,134,scissors,rock,-1,3
135,W_stay_L_up_T_down,gpt4o,135,rock,paper,-1,3
136,W_stay_L_up_T_down,gpt4o,136,paper,scissors,-1,3
137,W_stay_L_up_T_down,gpt4o,137,scissors,rock,-1,3
138,W_stay_L_up_T_down,gpt4o,138,rock,paper,-1,3
139,W_stay_L_up_T_down,gpt4o,139,paper,scissors,-1,3
140,W_stay_L_up_T_down,gpt4o,140,scissors,rock,-1,3
141,W_stay_L_up_T_down,gpt4o,141,scissors,paper,3,-1
142,W_stay_L_up_T_down,gpt4o,142,scissors,rock,-1,3
143,W_stay_L_up_T_down,gpt4o,143,rock,paper,-1,3
144,W_stay_L_up_T_down,gpt4o,144,paper,scissors,-1,3
145,W_stay_L_up_T_down,gpt4o,145,scissors,rock,-1,3
146,W_stay_L_up_T_down,gpt4o,146,rock,paper,-1,3
147,W_stay_L_up_T_down,gpt4o,147,paper,scissors,-1,3
148,W_stay_L_up_T_down,gpt4o,148,scissors,rock,-1,3
149,W_stay_L_up_T_down,gpt4o,149,rock,paper,-1,3
150,W_stay_L_up_T_down,gpt4o,150,paper,scissors,-1,3
151,W_stay_L_up_T_down,gpt4o,151,scissors,rock,-1,3
152,W_stay_L_up_T_down,gpt4o,152,rock,paper,-1,3
153,W_stay_L_up_T_down,gpt4o,153,paper,scissors,-1,3
154,W_stay_L_up_T_down,gpt4o,154,scissors,rock,-1,3
155,W_stay_L_up_T_down,gpt4o,155,rock,paper,-1,3
156,W_stay_L_up_T_down,gpt4o,156,paper,scissors,-1,3
157,W_stay_L_up_T_down,gpt4o,157,scissors,rock,-1,3
158,W_stay_L_up_T_down,gpt4o,158,rock,paper,-1,3
159,W_stay_L_up_T_down,gpt4o,159,paper,scissors,-1,3
160,W_stay_L_up_T_down,gpt4o,160,scissors,rock,-1,3
161,W_stay_L_up_T_down,gpt4o,161,rock,paper,-1,3
162,W_stay_L_up_T_down,gpt4o,162,paper,scissors,-1,3
163,W_stay_L_up_T_down,gpt4o,163,scissors,rock,-1,3
164,W_stay_L_up_T_down,gpt4o,164,rock,paper,-1,3
165,W_stay_L_up_T_down,gpt4o,165,paper,scissors,-1,3
166,W_stay_L_up_T_down,gpt4o,166,scissors,rock,-1,3
167,W_stay_L_up_T_down,gpt4o,167,rock,paper,-1,3
168,W_stay_L_up_T_down,gpt4o,168,paper,scissors,-1,3
169,W_stay_L_up_T_down,gpt4o,169,scissors,rock,-1,3
170,W_stay_L_up_T_down,gpt4o,170,rock,paper,-1,3
171,W_stay_L_up_T_down,gpt4o,171,paper,scissors,-1,3
172,W_stay_L_up_T_down,gpt4o,172,scissors,rock,-1,3
173,W_stay_L_up_T_down,gpt4o,173,rock,paper,-1,3
174,W_stay_L_up_T_down,gpt4o,174,paper,scissors,-1,3
175,W_stay_L_up_T_down,gpt4o,175,scissors,rock,-1,3
176,W_stay_L_up_T_down,gpt4o,176,rock,paper,-1,3
177,W_stay_L_up_T_down,gpt4o,177,paper,scissors,-1,3
178,W_stay_L_up_T_down,gpt4o,178,scissors,rock,-1,3
179,W_stay_L_up_T_down,gpt4o,179,rock,paper,-1,3
180,W_stay_L_up_T_down,gpt4o,180,paper,scissors,-1,3
181,W_stay_L_up_T_down,gpt4o,181,scissors,rock,-1,3
182,W_stay_L_up_T_down,gpt4o,182,rock,paper,-1,3
183,W_stay_L_up_T_down,gpt4o,183,paper,scissors,-1,3
184,W_stay_L_up_T_down,gpt4o,184,scissors,paper,3,-1
185,W_stay_L_up_T_down,gpt4o,185,scissors,rock,-1,3
186,W_stay_L_up_T_down,gpt4o,186,paper,paper,0,0
187,W_stay_L_up_T_down,gpt4o,187,rock,paper,-1,3
188,W_stay_L_up_T_down,gpt4o,188,paper,scissors,-1,3
189,W_stay_L_up_T_down,gpt4o,189,scissors,rock,-1,3
190,W_stay_L_up_T_down,gpt4o,190,rock,paper,-1,3
191,W_stay_L_up_T_down,gpt4o,191,paper,scissors,-1,3
192,W_stay_L_up_T_down,gpt4o,192,scissors,rock,-1,3
193,W_stay_L_up_T_down,gpt4o,193,rock,paper,-1,3
