,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,react_gpt4o,0,scissors,scissors,0,0
1,W_up_L_down_T_stay,react_gpt4o,1,scissors,rock,-1,3
2,W_up_L_down_T_stay,react_gpt4o,2,paper,rock,3,-1
3,W_up_L_down_T_stay,react_gpt4o,3,scissors,paper,3,-1
4,W_up_L_down_T_stay,react_gpt4o,4,rock,rock,0,0
5,W_up_L_down_T_stay,react_gpt4o,5,rock,scissors,3,-1
6,W_up_L_down_T_stay,react_gpt4o,6,paper,paper,0,0
7,W_up_L_down_T_stay,react_gpt4o,7,paper,rock,3,-1
8,W_up_L_down_T_stay,react_gpt4o,8,scissors,scissors,0,0
9,W_up_L_down_T_stay,react_gpt4o,9,scissors,rock,-1,3
10,W_up_L_down_T_stay,react_gpt4o,10,paper,rock,3,-1
11,W_up_L_down_T_stay,react_gpt4o,11,scissors,scissors,0,0
12,W_up_L_down_T_stay,react_gpt4o,12,scissors,rock,-1,3
13,W_up_L_down_T_stay,react_gpt4o,13,paper,rock,3,-1
14,W_up_L_down_T_stay,react_gpt4o,14,scissors,scissors,0,0
15,W_up_L_down_T_stay,react_gpt4o,15,scissors,scissors,0,0
16,W_up_L_down_T_stay,react_gpt4o,16,scissors,rock,-1,3
17,W_up_L_down_T_stay,react_gpt4o,17,scissors,rock,-1,3
18,W_up_L_down_T_stay,react_gpt4o,18,paper,rock,3,-1
19,W_up_L_down_T_stay,react_gpt4o,19,scissors,scissors,0,0
20,W_up_L_down_T_stay,react_gpt4o,20,scissors,rock,-1,3
21,W_up_L_down_T_stay,react_gpt4o,21,paper,rock,3,-1
22,W_up_L_down_T_stay,react_gpt4o,22,scissors,scissors,0,0
23,W_up_L_down_T_stay,react_gpt4o,23,scissors,rock,-1,3
24,W_up_L_down_T_stay,react_gpt4o,24,paper,rock,3,-1
25,W_up_L_down_T_stay,react_gpt4o,25,scissors,rock,-1,3
26,W_up_L_down_T_stay,react_gpt4o,26,paper,scissors,-1,3
27,W_up_L_down_T_stay,react_gpt4o,27,rock,rock,0,0
28,W_up_L_down_T_stay,react_gpt4o,28,rock,scissors,3,-1
29,W_up_L_down_T_stay,react_gpt4o,29,paper,paper,0,0
30,W_up_L_down_T_stay,react_gpt4o,30,paper,scissors,-1,3
31,W_up_L_down_T_stay,react_gpt4o,31,rock,scissors,3,-1
32,W_up_L_down_T_stay,react_gpt4o,32,paper,paper,0,0
33,W_up_L_down_T_stay,react_gpt4o,33,paper,scissors,-1,3
34,W_up_L_down_T_stay,react_gpt4o,34,scissors,rock,-1,3
35,W_up_L_down_T_stay,react_gpt4o,35,paper,scissors,-1,3
36,W_up_L_down_T_stay,react_gpt4o,36,rock,paper,-1,3
37,W_up_L_down_T_stay,react_gpt4o,37,scissors,rock,-1,3
38,W_up_L_down_T_stay,react_gpt4o,38,paper,scissors,-1,3
39,W_up_L_down_T_stay,react_gpt4o,39,rock,paper,-1,3
40,W_up_L_down_T_stay,react_gpt4o,40,scissors,paper,3,-1
41,W_up_L_down_T_stay,react_gpt4o,41,rock,rock,0,0
42,W_up_L_down_T_stay,react_gpt4o,42,rock,scissors,3,-1
43,W_up_L_down_T_stay,react_gpt4o,43,paper,paper,0,0
44,W_up_L_down_T_stay,react_gpt4o,44,paper,scissors,-1,3
45,W_up_L_down_T_stay,react_gpt4o,45,rock,scissors,3,-1
46,W_up_L_down_T_stay,react_gpt4o,46,paper,paper,0,0
47,W_up_L_down_T_stay,react_gpt4o,47,paper,scissors,-1,3
48,W_up_L_down_T_stay,react_gpt4o,48,rock,paper,-1,3
49,W_up_L_down_T_stay,react_gpt4o,49,scissors,scissors,0,0
50,W_up_L_down_T_stay,react_gpt4o,50,scissors,rock,-1,3
51,W_up_L_down_T_stay,react_gpt4o,51,paper,scissors,-1,3
52,W_up_L_down_T_stay,react_gpt4o,52,rock,paper,-1,3
