,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,gpt-4o-mini,0,paper,rock,3,-1
1,self_transition_up,gpt-4o-mini,1,scissors,scissors,0,0
2,self_transition_up,gpt-4o-mini,2,rock,scissors,3,-1
3,self_transition_up,gpt-4o-mini,3,paper,scissors,-1,3
4,self_transition_up,gpt-4o-mini,4,scissors,paper,3,-1
5,self_transition_up,gpt-4o-mini,5,rock,scissors,3,-1
6,self_transition_up,gpt-4o-mini,6,paper,paper,0,0
7,self_transition_up,gpt-4o-mini,7,scissors,scissors,0,0
8,self_transition_up,gpt-4o-mini,8,rock,rock,0,0
9,self_transition_up,gpt-4o-mini,9,paper,paper,0,0
10,self_transition_up,gpt-4o-mini,10,scissors,scissors,0,0
11,self_transition_up,gpt-4o-mini,11,rock,rock,0,0
12,self_transition_up,gpt-4o-mini,12,paper,paper,0,0
13,self_transition_up,gpt-4o-mini,13,scissors,rock,-1,3
14,self_transition_up,gpt-4o-mini,14,rock,rock,0,0
15,self_transition_up,gpt-4o-mini,15,paper,paper,0,0
16,self_transition_up,gpt-4o-mini,16,scissors,scissors,0,0
17,self_transition_up,gpt-4o-mini,17,rock,rock,0,0
18,self_transition_up,gpt-4o-mini,18,paper,paper,0,0
19,self_transition_up,gpt-4o-mini,19,scissors,scissors,0,0
20,self_transition_up,gpt-4o-mini,20,rock,paper,-1,3
21,self_transition_up,gpt-4o-mini,21,paper,paper,0,0
22,self_transition_up,gpt-4o-mini,22,scissors,scissors,0,0
23,self_transition_up,gpt-4o-mini,23,rock,rock,0,0
24,self_transition_up,gpt-4o-mini,24,paper,scissors,-1,3
25,self_transition_up,gpt-4o-mini,25,scissors,paper,3,-1
26,self_transition_up,gpt-4o-mini,26,paper,rock,3,-1
27,self_transition_up,gpt-4o-mini,27,scissors,rock,-1,3
28,self_transition_up,gpt-4o-mini,28,rock,rock,0,0
29,self_transition_up,gpt-4o-mini,29,paper,paper,0,0
30,self_transition_up,gpt-4o-mini,30,scissors,paper,3,-1
31,self_transition_up,gpt-4o-mini,31,rock,scissors,3,-1
32,self_transition_up,gpt-4o-mini,32,paper,scissors,-1,3
33,self_transition_up,gpt-4o-mini,33,scissors,rock,-1,3
34,self_transition_up,gpt-4o-mini,34,rock,rock,0,0
35,self_transition_up,gpt-4o-mini,35,paper,paper,0,0
36,self_transition_up,gpt-4o-mini,36,scissors,scissors,0,0
37,self_transition_up,gpt-4o-mini,37,rock,rock,0,0
38,self_transition_up,gpt-4o-mini,38,paper,paper,0,0
39,self_transition_up,gpt-4o-mini,39,scissors,scissors,0,0
40,self_transition_up,gpt-4o-mini,40,rock,rock,0,0
41,self_transition_up,gpt-4o-mini,41,paper,paper,0,0
42,self_transition_up,gpt-4o-mini,42,scissors,scissors,0,0
43,self_transition_up,gpt-4o-mini,43,rock,rock,0,0
44,self_transition_up,gpt-4o-mini,44,paper,paper,0,0
45,self_transition_up,gpt-4o-mini,45,scissors,scissors,0,0
46,self_transition_up,gpt-4o-mini,46,rock,scissors,3,-1
47,self_transition_up,gpt-4o-mini,47,paper,paper,0,0
48,self_transition_up,gpt-4o-mini,48,scissors,scissors,0,0
49,self_transition_up,gpt-4o-mini,49,rock,rock,0,0
50,self_transition_up,gpt-4o-mini,50,paper,paper,0,0
51,self_transition_up,gpt-4o-mini,51,paper,scissors,-1,3
52,self_transition_up,gpt-4o-mini,52,scissors,scissors,0,0
53,self_transition_up,gpt-4o-mini,53,rock,scissors,3,-1
54,self_transition_up,gpt-4o-mini,54,paper,paper,0,0
55,self_transition_up,gpt-4o-mini,55,scissors,scissors,0,0
56,self_transition_up,gpt-4o-mini,56,rock,rock,0,0
57,self_transition_up,gpt-4o-mini,57,paper,paper,0,0
58,self_transition_up,gpt-4o-mini,58,scissors,scissors,0,0
59,self_transition_up,gpt-4o-mini,59,rock,rock,0,0
60,self_transition_up,gpt-4o-mini,60,paper,paper,0,0
61,self_transition_up,gpt-4o-mini,61,scissors,rock,-1,3
62,self_transition_up,gpt-4o-mini,62,rock,scissors,3,-1
63,self_transition_up,gpt-4o-mini,63,rock,paper,-1,3
64,self_transition_up,gpt-4o-mini,64,rock,paper,-1,3
65,self_transition_up,gpt-4o-mini,65,paper,paper,0,0
66,self_transition_up,gpt-4o-mini,66,scissors,paper,3,-1
67,self_transition_up,gpt-4o-mini,67,rock,paper,-1,3
68,self_transition_up,gpt-4o-mini,68,paper,scissors,-1,3
69,self_transition_up,gpt-4o-mini,69,scissors,paper,3,-1
70,self_transition_up,gpt-4o-mini,70,rock,rock,0,0
71,self_transition_up,gpt-4o-mini,71,paper,paper,0,0
72,self_transition_up,gpt-4o-mini,72,scissors,scissors,0,0
73,self_transition_up,gpt-4o-mini,73,scissors,paper,3,-1
74,self_transition_up,gpt-4o-mini,74,rock,rock,0,0
75,self_transition_up,gpt-4o-mini,75,paper,paper,0,0
76,self_transition_up,gpt-4o-mini,76,scissors,scissors,0,0
77,self_transition_up,gpt-4o-mini,77,rock,rock,0,0
78,self_transition_up,gpt-4o-mini,78,paper,paper,0,0
79,self_transition_up,gpt-4o-mini,79,rock,scissors,3,-1
80,self_transition_up,gpt-4o-mini,80,paper,paper,0,0
81,self_transition_up,gpt-4o-mini,81,scissors,scissors,0,0
82,self_transition_up,gpt-4o-mini,82,rock,paper,-1,3
83,self_transition_up,gpt-4o-mini,83,paper,paper,0,0
84,self_transition_up,gpt-4o-mini,84,scissors,paper,3,-1
85,self_transition_up,gpt-4o-mini,85,rock,paper,-1,3
86,self_transition_up,gpt-4o-mini,86,paper,paper,0,0
87,self_transition_up,gpt-4o-mini,87,scissors,paper,3,-1
88,self_transition_up,gpt-4o-mini,88,rock,rock,0,0
89,self_transition_up,gpt-4o-mini,89,paper,paper,0,0
90,self_transition_up,gpt-4o-mini,90,scissors,paper,3,-1
91,self_transition_up,gpt-4o-mini,91,rock,paper,-1,3
92,self_transition_up,gpt-4o-mini,92,paper,paper,0,0
93,self_transition_up,gpt-4o-mini,93,scissors,paper,3,-1
94,self_transition_up,gpt-4o-mini,94,scissors,paper,3,-1
95,self_transition_up,gpt-4o-mini,95,rock,rock,0,0
96,self_transition_up,gpt-4o-mini,96,paper,paper,0,0
97,self_transition_up,gpt-4o-mini,97,scissors,paper,3,-1
98,self_transition_up,gpt-4o-mini,98,rock,rock,0,0
99,self_transition_up,gpt-4o-mini,99,paper,scissors,-1,3
100,self_transition_up,gpt-4o-mini,100,scissors,paper,3,-1
101,self_transition_up,gpt-4o-mini,101,rock,rock,0,0
102,self_transition_up,gpt-4o-mini,102,paper,scissors,-1,3
103,self_transition_up,gpt-4o-mini,103,scissors,paper,3,-1
104,self_transition_up,gpt-4o-mini,104,rock,rock,0,0
105,self_transition_up,gpt-4o-mini,105,scissors,scissors,0,0
106,self_transition_up,gpt-4o-mini,106,rock,paper,-1,3
107,self_transition_up,gpt-4o-mini,107,paper,scissors,-1,3
108,self_transition_up,gpt-4o-mini,108,scissors,paper,3,-1
109,self_transition_up,gpt-4o-mini,109,rock,paper,-1,3
110,self_transition_up,gpt-4o-mini,110,paper,scissors,-1,3
111,self_transition_up,gpt-4o-mini,111,scissors,paper,3,-1
112,self_transition_up,gpt-4o-mini,112,paper,paper,0,0
113,self_transition_up,gpt-4o-mini,113,scissors,scissors,0,0
114,self_transition_up,gpt-4o-mini,114,rock,rock,0,0
115,self_transition_up,gpt-4o-mini,115,paper,paper,0,0
116,self_transition_up,gpt-4o-mini,116,scissors,scissors,0,0
117,self_transition_up,gpt-4o-mini,117,paper,rock,3,-1
118,self_transition_up,gpt-4o-mini,118,scissors,scissors,0,0
119,self_transition_up,gpt-4o-mini,119,scissors,rock,-1,3
120,self_transition_up,gpt-4o-mini,120,rock,paper,-1,3
121,self_transition_up,gpt-4o-mini,121,paper,scissors,-1,3
122,self_transition_up,gpt-4o-mini,122,scissors,paper,3,-1
123,self_transition_up,gpt-4o-mini,123,rock,rock,0,0
124,self_transition_up,gpt-4o-mini,124,paper,scissors,-1,3
125,self_transition_up,gpt-4o-mini,125,scissors,paper,3,-1
126,self_transition_up,gpt-4o-mini,126,scissors,scissors,0,0
127,self_transition_up,gpt-4o-mini,127,rock,rock,0,0
128,self_transition_up,gpt-4o-mini,128,paper,paper,0,0
129,self_transition_up,gpt-4o-mini,129,scissors,paper,3,-1
130,self_transition_up,gpt-4o-mini,130,rock,paper,-1,3
131,self_transition_up,gpt-4o-mini,131,paper,rock,3,-1
132,self_transition_up,gpt-4o-mini,132,scissors,paper,3,-1
133,self_transition_up,gpt-4o-mini,133,rock,rock,0,0
134,self_transition_up,gpt-4o-mini,134,paper,paper,0,0
135,self_transition_up,gpt-4o-mini,135,scissors,paper,3,-1
136,self_transition_up,gpt-4o-mini,136,rock,rock,0,0
137,self_transition_up,gpt-4o-mini,137,paper,paper,0,0
138,self_transition_up,gpt-4o-mini,138,paper,paper,0,0
139,self_transition_up,gpt-4o-mini,139,scissors,scissors,0,0
140,self_transition_up,gpt-4o-mini,140,rock,paper,-1,3
141,self_transition_up,gpt-4o-mini,141,paper,paper,0,0
142,self_transition_up,gpt-4o-mini,142,scissors,scissors,0,0
143,self_transition_up,gpt-4o-mini,143,rock,paper,-1,3
144,self_transition_up,gpt-4o-mini,144,rock,scissors,3,-1
145,self_transition_up,gpt-4o-mini,145,paper,scissors,-1,3
146,self_transition_up,gpt-4o-mini,146,scissors,paper,3,-1
147,self_transition_up,gpt-4o-mini,147,rock,rock,0,0
148,self_transition_up,gpt-4o-mini,148,paper,scissors,-1,3
149,self_transition_up,gpt-4o-mini,149,scissors,paper,3,-1
150,self_transition_up,gpt-4o-mini,150,rock,rock,0,0
151,self_transition_up,gpt-4o-mini,151,paper,paper,0,0
152,self_transition_up,gpt-4o-mini,152,scissors,paper,3,-1
153,self_transition_up,gpt-4o-mini,153,rock,rock,0,0
154,self_transition_up,gpt-4o-mini,154,paper,paper,0,0
155,self_transition_up,gpt-4o-mini,155,scissors,scissors,0,0
156,self_transition_up,gpt-4o-mini,156,rock,paper,-1,3
157,self_transition_up,gpt-4o-mini,157,paper,scissors,-1,3
158,self_transition_up,gpt-4o-mini,158,scissors,paper,3,-1
159,self_transition_up,gpt-4o-mini,159,rock,paper,-1,3
160,self_transition_up,gpt-4o-mini,160,paper,scissors,-1,3
161,self_transition_up,gpt-4o-mini,161,scissors,paper,3,-1
162,self_transition_up,gpt-4o-mini,162,rock,rock,0,0
163,self_transition_up,gpt-4o-mini,163,paper,paper,0,0
164,self_transition_up,gpt-4o-mini,164,paper,scissors,-1,3
165,self_transition_up,gpt-4o-mini,165,scissors,paper,3,-1
166,self_transition_up,gpt-4o-mini,166,rock,rock,0,0
167,self_transition_up,gpt-4o-mini,167,paper,paper,0,0
168,self_transition_up,gpt-4o-mini,168,scissors,scissors,0,0
169,self_transition_up,gpt-4o-mini,169,rock,paper,-1,3
170,self_transition_up,gpt-4o-mini,170,paper,paper,0,0
171,self_transition_up,gpt-4o-mini,171,scissors,scissors,0,0
172,self_transition_up,gpt-4o-mini,172,scissors,paper,3,-1
173,self_transition_up,gpt-4o-mini,173,scissors,rock,-1,3
174,self_transition_up,gpt-4o-mini,174,rock,rock,0,0
175,self_transition_up,gpt-4o-mini,175,paper,scissors,-1,3
176,self_transition_up,gpt-4o-mini,176,scissors,paper,3,-1
177,self_transition_up,gpt-4o-mini,177,rock,rock,0,0
178,self_transition_up,gpt-4o-mini,178,paper,scissors,-1,3
179,self_transition_up,gpt-4o-mini,179,scissors,paper,3,-1
180,self_transition_up,gpt-4o-mini,180,rock,paper,-1,3
181,self_transition_up,gpt-4o-mini,181,paper,rock,3,-1
182,self_transition_up,gpt-4o-mini,182,scissors,scissors,0,0
183,self_transition_up,gpt-4o-mini,183,rock,paper,-1,3
184,self_transition_up,gpt-4o-mini,184,paper,paper,0,0
185,self_transition_up,gpt-4o-mini,185,scissors,paper,3,-1
186,self_transition_up,gpt-4o-mini,186,rock,rock,0,0
187,self_transition_up,gpt-4o-mini,187,paper,paper,0,0
188,self_transition_up,gpt-4o-mini,188,scissors,scissors,0,0
189,self_transition_up,gpt-4o-mini,189,paper,paper,0,0
190,self_transition_up,gpt-4o-mini,190,paper,scissors,-1,3
191,self_transition_up,gpt-4o-mini,191,scissors,scissors,0,0
192,self_transition_up,gpt-4o-mini,192,rock,paper,-1,3
193,self_transition_up,gpt-4o-mini,193,paper,paper,0,0
194,self_transition_up,gpt-4o-mini,194,paper,paper,0,0
195,self_transition_up,gpt-4o-mini,195,scissors,scissors,0,0
196,self_transition_up,gpt-4o-mini,196,rock,paper,-1,3
197,self_transition_up,gpt-4o-mini,197,paper,paper,0,0
198,self_transition_up,gpt-4o-mini,198,scissors,scissors,0,0
199,self_transition_up,gpt-4o-mini,199,rock,rock,0,0
200,self_transition_up,gpt-4o-mini,200,paper,paper,0,0
201,self_transition_up,gpt-4o-mini,201,scissors,scissors,0,0
202,self_transition_up,gpt-4o-mini,202,rock,paper,-1,3
203,self_transition_up,gpt-4o-mini,203,paper,rock,3,-1
204,self_transition_up,gpt-4o-mini,204,scissors,paper,3,-1
205,self_transition_up,gpt-4o-mini,205,rock,paper,-1,3
206,self_transition_up,gpt-4o-mini,206,paper,rock,3,-1
207,self_transition_up,gpt-4o-mini,207,scissors,scissors,0,0
208,self_transition_up,gpt-4o-mini,208,rock,paper,-1,3
209,self_transition_up,gpt-4o-mini,209,paper,scissors,-1,3
210,self_transition_up,gpt-4o-mini,210,scissors,paper,3,-1
211,self_transition_up,gpt-4o-mini,211,rock,paper,-1,3
212,self_transition_up,gpt-4o-mini,212,paper,rock,3,-1
213,self_transition_up,gpt-4o-mini,213,scissors,paper,3,-1
214,self_transition_up,gpt-4o-mini,214,rock,paper,-1,3
215,self_transition_up,gpt-4o-mini,215,rock,paper,-1,3
216,self_transition_up,gpt-4o-mini,216,paper,rock,3,-1
217,self_transition_up,gpt-4o-mini,217,scissors,paper,3,-1
218,self_transition_up,gpt-4o-mini,218,rock,rock,0,0
219,self_transition_up,gpt-4o-mini,219,paper,paper,0,0
220,self_transition_up,gpt-4o-mini,220,paper,scissors,-1,3
221,self_transition_up,gpt-4o-mini,221,scissors,paper,3,-1
222,self_transition_up,gpt-4o-mini,222,paper,rock,3,-1
223,self_transition_up,gpt-4o-mini,223,scissors,scissors,0,0
224,self_transition_up,gpt-4o-mini,224,paper,rock,3,-1
225,self_transition_up,gpt-4o-mini,225,scissors,scissors,0,0
226,self_transition_up,gpt-4o-mini,226,rock,scissors,3,-1
227,self_transition_up,gpt-4o-mini,227,paper,scissors,-1,3
228,self_transition_up,gpt-4o-mini,228,scissors,scissors,0,0
229,self_transition_up,gpt-4o-mini,229,rock,rock,0,0
230,self_transition_up,gpt-4o-mini,230,paper,paper,0,0
231,self_transition_up,gpt-4o-mini,231,scissors,scissors,0,0
232,self_transition_up,gpt-4o-mini,232,rock,paper,-1,3
233,self_transition_up,gpt-4o-mini,233,paper,paper,0,0
234,self_transition_up,gpt-4o-mini,234,scissors,paper,3,-1
235,self_transition_up,gpt-4o-mini,235,rock,rock,0,0
236,self_transition_up,gpt-4o-mini,236,paper,paper,0,0
237,self_transition_up,gpt-4o-mini,237,scissors,scissors,0,0
238,self_transition_up,gpt-4o-mini,238,rock,paper,-1,3
239,self_transition_up,gpt-4o-mini,239,paper,paper,0,0
240,self_transition_up,gpt-4o-mini,240,scissors,scissors,0,0
241,self_transition_up,gpt-4o-mini,241,rock,scissors,3,-1
242,self_transition_up,gpt-4o-mini,242,paper,paper,0,0
243,self_transition_up,gpt-4o-mini,243,scissors,scissors,0,0
244,self_transition_up,gpt-4o-mini,244,rock,rock,0,0
245,self_transition_up,gpt-4o-mini,245,paper,paper,0,0
246,self_transition_up,gpt-4o-mini,246,paper,scissors,-1,3
247,self_transition_up,gpt-4o-mini,247,scissors,paper,3,-1
248,self_transition_up,gpt-4o-mini,248,rock,rock,0,0
249,self_transition_up,gpt-4o-mini,249,paper,paper,0,0
250,self_transition_up,gpt-4o-mini,250,scissors,scissors,0,0
251,self_transition_up,gpt-4o-mini,251,rock,rock,0,0
252,self_transition_up,gpt-4o-mini,252,paper,paper,0,0
253,self_transition_up,gpt-4o-mini,253,scissors,scissors,0,0
254,self_transition_up,gpt-4o-mini,254,rock,scissors,3,-1
255,self_transition_up,gpt-4o-mini,255,paper,scissors,-1,3
256,self_transition_up,gpt-4o-mini,256,scissors,paper,3,-1
257,self_transition_up,gpt-4o-mini,257,rock,rock,0,0
258,self_transition_up,gpt-4o-mini,258,paper,scissors,-1,3
259,self_transition_up,gpt-4o-mini,259,scissors,scissors,0,0
260,self_transition_up,gpt-4o-mini,260,rock,scissors,3,-1
261,self_transition_up,gpt-4o-mini,261,paper,paper,0,0
262,self_transition_up,gpt-4o-mini,262,scissors,scissors,0,0
263,self_transition_up,gpt-4o-mini,263,rock,scissors,3,-1
264,self_transition_up,gpt-4o-mini,264,paper,paper,0,0
265,self_transition_up,gpt-4o-mini,265,scissors,scissors,0,0
266,self_transition_up,gpt-4o-mini,266,paper,rock,3,-1
267,self_transition_up,gpt-4o-mini,267,scissors,scissors,0,0
268,self_transition_up,gpt-4o-mini,268,rock,scissors,3,-1
269,self_transition_up,gpt-4o-mini,269,paper,paper,0,0
270,self_transition_up,gpt-4o-mini,270,rock,scissors,3,-1
271,self_transition_up,gpt-4o-mini,271,scissors,paper,3,-1
272,self_transition_up,gpt-4o-mini,272,rock,paper,-1,3
273,self_transition_up,gpt-4o-mini,273,paper,rock,3,-1
274,self_transition_up,gpt-4o-mini,274,scissors,scissors,0,0
