,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,give_hypothesis_gpt4o,0,scissors,scissors,0,0
1,W_up_L_down_T_stay,give_hypothesis_gpt4o,1,scissors,rock,-1,3
2,W_up_L_down_T_stay,give_hypothesis_gpt4o,2,paper,scissors,-1,3
3,W_up_L_down_T_stay,give_hypothesis_gpt4o,3,rock,paper,-1,3
4,W_up_L_down_T_stay,give_hypothesis_gpt4o,4,scissors,rock,-1,3
5,W_up_L_down_T_stay,give_hypothesis_gpt4o,5,paper,paper,0,0
6,W_up_L_down_T_stay,give_hypothesis_gpt4o,6,paper,scissors,-1,3
7,W_up_L_down_T_stay,give_hypothesis_gpt4o,7,rock,paper,-1,3
8,W_up_L_down_T_stay,give_hypothesis_gpt4o,8,scissors,rock,-1,3
9,W_up_L_down_T_stay,give_hypothesis_gpt4o,9,paper,scissors,-1,3
10,W_up_L_down_T_stay,give_hypothesis_gpt4o,10,rock,paper,-1,3
11,W_up_L_down_T_stay,give_hypothesis_gpt4o,11,scissors,rock,-1,3
12,W_up_L_down_T_stay,give_hypothesis_gpt4o,12,paper,scissors,-1,3
13,W_up_L_down_T_stay,give_hypothesis_gpt4o,13,rock,paper,-1,3
14,W_up_L_down_T_stay,give_hypothesis_gpt4o,14,scissors,rock,-1,3
15,W_up_L_down_T_stay,give_hypothesis_gpt4o,15,paper,rock,3,-1
16,W_up_L_down_T_stay,give_hypothesis_gpt4o,16,scissors,rock,-1,3
17,W_up_L_down_T_stay,give_hypothesis_gpt4o,17,scissors,scissors,0,0
18,W_up_L_down_T_stay,give_hypothesis_gpt4o,18,scissors,rock,-1,3
19,W_up_L_down_T_stay,give_hypothesis_gpt4o,19,paper,scissors,-1,3
20,W_up_L_down_T_stay,give_hypothesis_gpt4o,20,rock,paper,-1,3
21,W_up_L_down_T_stay,give_hypothesis_gpt4o,21,scissors,rock,-1,3
22,W_up_L_down_T_stay,give_hypothesis_gpt4o,22,paper,rock,3,-1
23,W_up_L_down_T_stay,give_hypothesis_gpt4o,23,scissors,paper,3,-1
24,W_up_L_down_T_stay,give_hypothesis_gpt4o,24,rock,paper,-1,3
25,W_up_L_down_T_stay,give_hypothesis_gpt4o,25,scissors,rock,-1,3
26,W_up_L_down_T_stay,give_hypothesis_gpt4o,26,paper,paper,0,0
27,W_up_L_down_T_stay,give_hypothesis_gpt4o,27,paper,scissors,-1,3
28,W_up_L_down_T_stay,give_hypothesis_gpt4o,28,rock,paper,-1,3
29,W_up_L_down_T_stay,give_hypothesis_gpt4o,29,scissors,rock,-1,3
30,W_up_L_down_T_stay,give_hypothesis_gpt4o,30,paper,paper,0,0
31,W_up_L_down_T_stay,give_hypothesis_gpt4o,31,paper,scissors,-1,3
32,W_up_L_down_T_stay,give_hypothesis_gpt4o,32,rock,paper,-1,3
33,W_up_L_down_T_stay,give_hypothesis_gpt4o,33,scissors,rock,-1,3
34,W_up_L_down_T_stay,give_hypothesis_gpt4o,34,scissors,paper,3,-1
35,W_up_L_down_T_stay,give_hypothesis_gpt4o,35,rock,paper,-1,3
36,W_up_L_down_T_stay,give_hypothesis_gpt4o,36,scissors,rock,-1,3
37,W_up_L_down_T_stay,give_hypothesis_gpt4o,37,paper,rock,3,-1
38,W_up_L_down_T_stay,give_hypothesis_gpt4o,38,scissors,rock,-1,3
39,W_up_L_down_T_stay,give_hypothesis_gpt4o,39,paper,scissors,-1,3
40,W_up_L_down_T_stay,give_hypothesis_gpt4o,40,scissors,paper,3,-1
41,W_up_L_down_T_stay,give_hypothesis_gpt4o,41,rock,scissors,3,-1
42,W_up_L_down_T_stay,give_hypothesis_gpt4o,42,paper,scissors,-1,3
43,W_up_L_down_T_stay,give_hypothesis_gpt4o,43,rock,paper,-1,3
44,W_up_L_down_T_stay,give_hypothesis_gpt4o,44,scissors,rock,-1,3
45,W_up_L_down_T_stay,give_hypothesis_gpt4o,45,paper,rock,3,-1
46,W_up_L_down_T_stay,give_hypothesis_gpt4o,46,scissors,rock,-1,3
