,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,choose_hypothesis_gpt4o,0,scissors,rock,-1,3
1,self_transition_down,choose_hypothesis_gpt4o,1,rock,paper,-1,3
2,self_transition_down,choose_hypothesis_gpt4o,2,scissors,scissors,0,0
3,self_transition_down,choose_hypothesis_gpt4o,3,paper,paper,0,0
4,self_transition_down,choose_hypothesis_gpt4o,4,rock,scissors,3,-1
5,self_transition_down,choose_hypothesis_gpt4o,5,scissors,scissors,0,0
6,self_transition_down,choose_hypothesis_gpt4o,6,paper,rock,3,-1
7,self_transition_down,choose_hypothesis_gpt4o,7,rock,paper,-1,3
8,self_transition_down,choose_hypothesis_gpt4o,8,scissors,rock,-1,3
9,self_transition_down,choose_hypothesis_gpt4o,9,paper,paper,0,0
10,self_transition_down,choose_hypothesis_gpt4o,10,rock,scissors,3,-1
11,self_transition_down,choose_hypothesis_gpt4o,11,scissors,scissors,0,0
12,self_transition_down,choose_hypothesis_gpt4o,12,paper,scissors,-1,3
13,self_transition_down,choose_hypothesis_gpt4o,13,rock,paper,-1,3
14,self_transition_down,choose_hypothesis_gpt4o,14,scissors,scissors,0,0
15,self_transition_down,choose_hypothesis_gpt4o,15,paper,scissors,-1,3
16,self_transition_down,choose_hypothesis_gpt4o,16,rock,paper,-1,3
17,self_transition_down,choose_hypothesis_gpt4o,17,scissors,rock,-1,3
18,self_transition_down,choose_hypothesis_gpt4o,18,paper,paper,0,0
19,self_transition_down,choose_hypothesis_gpt4o,19,rock,rock,0,0
20,self_transition_down,choose_hypothesis_gpt4o,20,scissors,paper,3,-1
21,self_transition_down,choose_hypothesis_gpt4o,21,paper,paper,0,0
22,self_transition_down,choose_hypothesis_gpt4o,22,rock,rock,0,0
23,self_transition_down,choose_hypothesis_gpt4o,23,scissors,rock,-1,3
24,self_transition_down,choose_hypothesis_gpt4o,24,paper,paper,0,0
25,self_transition_down,choose_hypothesis_gpt4o,25,rock,paper,-1,3
26,self_transition_down,choose_hypothesis_gpt4o,26,rock,rock,0,0
27,self_transition_down,choose_hypothesis_gpt4o,27,scissors,paper,3,-1
28,self_transition_down,choose_hypothesis_gpt4o,28,paper,paper,0,0
29,self_transition_down,choose_hypothesis_gpt4o,29,rock,paper,-1,3
30,self_transition_down,choose_hypothesis_gpt4o,30,scissors,scissors,0,0
31,self_transition_down,choose_hypothesis_gpt4o,31,scissors,paper,3,-1
32,self_transition_down,choose_hypothesis_gpt4o,32,paper,paper,0,0
33,self_transition_down,choose_hypothesis_gpt4o,33,rock,paper,-1,3
34,self_transition_down,choose_hypothesis_gpt4o,34,scissors,scissors,0,0
35,self_transition_down,choose_hypothesis_gpt4o,35,paper,rock,3,-1
36,self_transition_down,choose_hypothesis_gpt4o,36,rock,scissors,3,-1
37,self_transition_down,choose_hypothesis_gpt4o,37,rock,scissors,3,-1
38,self_transition_down,choose_hypothesis_gpt4o,38,scissors,paper,3,-1
39,self_transition_down,choose_hypothesis_gpt4o,39,scissors,paper,3,-1
40,self_transition_down,choose_hypothesis_gpt4o,40,paper,rock,3,-1
