,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,hm_gpt4o,0.2,9,0,rock,paper,-1,3
1,prev_outcome_prev_transition,hm_gpt4o,0.2,9,1,scissors,paper,3,-1
2,prev_outcome_prev_transition,hm_gpt4o,0.2,9,2,paper,rock,3,-1
3,prev_outcome_prev_transition,hm_gpt4o,0.2,9,3,rock,paper,-1,3
4,prev_outcome_prev_transition,hm_gpt4o,0.2,9,4,paper,rock,3,-1
5,prev_outcome_prev_transition,hm_gpt4o,0.2,9,5,scissors,paper,3,-1
6,prev_outcome_prev_transition,hm_gpt4o,0.2,9,6,rock,paper,-1,3
7,prev_outcome_prev_transition,hm_gpt4o,0.2,9,7,rock,rock,0,0
8,prev_outcome_prev_transition,hm_gpt4o,0.2,9,8,paper,scissors,-1,3
9,prev_outcome_prev_transition,hm_gpt4o,0.2,9,9,rock,paper,-1,3
10,prev_outcome_prev_transition,hm_gpt4o,0.2,9,10,paper,rock,3,-1
11,prev_outcome_prev_transition,hm_gpt4o,0.2,9,11,scissors,paper,3,-1
12,prev_outcome_prev_transition,hm_gpt4o,0.2,9,12,rock,rock,0,0
13,prev_outcome_prev_transition,hm_gpt4o,0.2,9,13,scissors,scissors,0,0
14,prev_outcome_prev_transition,hm_gpt4o,0.2,9,14,scissors,paper,3,-1
15,prev_outcome_prev_transition,hm_gpt4o,0.2,9,15,scissors,scissors,0,0
16,prev_outcome_prev_transition,hm_gpt4o,0.2,9,16,scissors,paper,3,-1
17,prev_outcome_prev_transition,hm_gpt4o,0.2,9,17,scissors,rock,-1,3
18,prev_outcome_prev_transition,hm_gpt4o,0.2,9,18,paper,rock,3,-1
19,prev_outcome_prev_transition,hm_gpt4o,0.2,9,19,rock,rock,0,0
20,prev_outcome_prev_transition,hm_gpt4o,0.2,9,20,rock,rock,0,0
21,prev_outcome_prev_transition,hm_gpt4o,0.2,9,21,paper,rock,3,-1
22,prev_outcome_prev_transition,hm_gpt4o,0.2,9,22,rock,scissors,3,-1
23,prev_outcome_prev_transition,hm_gpt4o,0.2,9,23,scissors,paper,3,-1
24,prev_outcome_prev_transition,hm_gpt4o,0.2,9,24,paper,rock,3,-1
25,prev_outcome_prev_transition,hm_gpt4o,0.2,9,25,rock,scissors,3,-1
26,prev_outcome_prev_transition,hm_gpt4o,0.2,9,26,scissors,rock,-1,3
27,prev_outcome_prev_transition,hm_gpt4o,0.2,9,27,scissors,scissors,0,0
28,prev_outcome_prev_transition,hm_gpt4o,0.2,9,28,rock,paper,-1,3
29,prev_outcome_prev_transition,hm_gpt4o,0.2,9,29,rock,rock,0,0
30,prev_outcome_prev_transition,hm_gpt4o,0.2,9,30,paper,rock,3,-1
31,prev_outcome_prev_transition,hm_gpt4o,0.2,9,31,scissors,rock,-1,3
32,prev_outcome_prev_transition,hm_gpt4o,0.2,9,32,scissors,paper,3,-1
33,prev_outcome_prev_transition,hm_gpt4o,0.2,9,33,rock,paper,-1,3
34,prev_outcome_prev_transition,hm_gpt4o,0.2,9,34,rock,scissors,3,-1
35,prev_outcome_prev_transition,hm_gpt4o,0.2,9,35,scissors,scissors,0,0
36,prev_outcome_prev_transition,hm_gpt4o,0.2,9,36,scissors,paper,3,-1
37,prev_outcome_prev_transition,hm_gpt4o,0.2,9,37,scissors,paper,3,-1
38,prev_outcome_prev_transition,hm_gpt4o,0.2,9,38,scissors,rock,-1,3
39,prev_outcome_prev_transition,hm_gpt4o,0.2,9,39,paper,rock,3,-1
40,prev_outcome_prev_transition,hm_gpt4o,0.2,9,40,rock,scissors,3,-1
41,prev_outcome_prev_transition,hm_gpt4o,0.2,9,41,scissors,paper,3,-1
42,prev_outcome_prev_transition,hm_gpt4o,0.2,9,42,paper,rock,3,-1
43,prev_outcome_prev_transition,hm_gpt4o,0.2,9,43,rock,scissors,3,-1
44,prev_outcome_prev_transition,hm_gpt4o,0.2,9,44,scissors,rock,-1,3
45,prev_outcome_prev_transition,hm_gpt4o,0.2,9,45,rock,rock,0,0
46,prev_outcome_prev_transition,hm_gpt4o,0.2,9,46,scissors,paper,3,-1
47,prev_outcome_prev_transition,hm_gpt4o,0.2,9,47,paper,rock,3,-1
48,prev_outcome_prev_transition,hm_gpt4o,0.2,9,48,rock,rock,0,0
49,prev_outcome_prev_transition,hm_gpt4o,0.2,9,49,rock,paper,-1,3
50,prev_outcome_prev_transition,hm_gpt4o,0.2,9,50,paper,paper,0,0
51,prev_outcome_prev_transition,hm_gpt4o,0.2,9,51,rock,rock,0,0
52,prev_outcome_prev_transition,hm_gpt4o,0.2,9,52,rock,paper,-1,3
53,prev_outcome_prev_transition,hm_gpt4o,0.2,9,53,scissors,paper,3,-1
54,prev_outcome_prev_transition,hm_gpt4o,0.2,9,54,paper,paper,0,0
55,prev_outcome_prev_transition,hm_gpt4o,0.2,9,55,paper,rock,3,-1
56,prev_outcome_prev_transition,hm_gpt4o,0.2,9,56,paper,scissors,-1,3
57,prev_outcome_prev_transition,hm_gpt4o,0.2,9,57,rock,paper,-1,3
58,prev_outcome_prev_transition,hm_gpt4o,0.2,9,58,paper,paper,0,0
59,prev_outcome_prev_transition,hm_gpt4o,0.2,9,59,rock,rock,0,0
60,prev_outcome_prev_transition,hm_gpt4o,0.2,9,60,rock,rock,0,0
61,prev_outcome_prev_transition,hm_gpt4o,0.2,9,61,paper,paper,0,0
62,prev_outcome_prev_transition,hm_gpt4o,0.2,9,62,rock,rock,0,0
63,prev_outcome_prev_transition,hm_gpt4o,0.2,9,63,paper,paper,0,0
64,prev_outcome_prev_transition,hm_gpt4o,0.2,9,64,rock,paper,-1,3
65,prev_outcome_prev_transition,hm_gpt4o,0.2,9,65,paper,paper,0,0
66,prev_outcome_prev_transition,hm_gpt4o,0.2,9,66,rock,paper,-1,3
67,prev_outcome_prev_transition,hm_gpt4o,0.2,9,67,paper,paper,0,0
68,prev_outcome_prev_transition,hm_gpt4o,0.2,9,68,rock,scissors,3,-1
69,prev_outcome_prev_transition,hm_gpt4o,0.2,9,69,scissors,paper,3,-1
70,prev_outcome_prev_transition,hm_gpt4o,0.2,9,70,paper,paper,0,0
71,prev_outcome_prev_transition,hm_gpt4o,0.2,9,71,paper,scissors,-1,3
72,prev_outcome_prev_transition,hm_gpt4o,0.2,9,72,rock,paper,-1,3
73,prev_outcome_prev_transition,hm_gpt4o,0.2,9,73,paper,scissors,-1,3
74,prev_outcome_prev_transition,hm_gpt4o,0.2,9,74,paper,paper,0,0
75,prev_outcome_prev_transition,hm_gpt4o,0.2,9,75,scissors,scissors,0,0
76,prev_outcome_prev_transition,hm_gpt4o,0.2,9,76,paper,paper,0,0
77,prev_outcome_prev_transition,hm_gpt4o,0.2,9,77,paper,scissors,-1,3
78,prev_outcome_prev_transition,hm_gpt4o,0.2,9,78,rock,paper,-1,3
79,prev_outcome_prev_transition,hm_gpt4o,0.2,9,79,paper,scissors,-1,3
80,prev_outcome_prev_transition,hm_gpt4o,0.2,9,80,paper,paper,0,0
81,prev_outcome_prev_transition,hm_gpt4o,0.2,9,81,scissors,scissors,0,0
82,prev_outcome_prev_transition,hm_gpt4o,0.2,9,82,scissors,rock,-1,3
83,prev_outcome_prev_transition,hm_gpt4o,0.2,9,83,paper,scissors,-1,3
84,prev_outcome_prev_transition,hm_gpt4o,0.2,9,84,scissors,paper,3,-1
85,prev_outcome_prev_transition,hm_gpt4o,0.2,9,85,rock,rock,0,0
86,prev_outcome_prev_transition,hm_gpt4o,0.2,9,86,scissors,rock,-1,3
87,prev_outcome_prev_transition,hm_gpt4o,0.2,9,87,rock,rock,0,0
88,prev_outcome_prev_transition,hm_gpt4o,0.2,9,88,scissors,paper,3,-1
89,prev_outcome_prev_transition,hm_gpt4o,0.2,9,89,paper,rock,3,-1
90,prev_outcome_prev_transition,hm_gpt4o,0.2,9,90,rock,rock,0,0
91,prev_outcome_prev_transition,hm_gpt4o,0.2,9,91,paper,paper,0,0
92,prev_outcome_prev_transition,hm_gpt4o,0.2,9,92,rock,paper,-1,3
93,prev_outcome_prev_transition,hm_gpt4o,0.2,9,93,rock,scissors,3,-1
94,prev_outcome_prev_transition,hm_gpt4o,0.2,9,94,rock,scissors,3,-1
95,prev_outcome_prev_transition,hm_gpt4o,0.2,9,95,rock,paper,-1,3
96,prev_outcome_prev_transition,hm_gpt4o,0.2,9,96,scissors,paper,3,-1
97,prev_outcome_prev_transition,hm_gpt4o,0.2,9,97,paper,paper,0,0
98,prev_outcome_prev_transition,hm_gpt4o,0.2,9,98,paper,paper,0,0
99,prev_outcome_prev_transition,hm_gpt4o,0.2,9,99,scissors,scissors,0,0
100,prev_outcome_prev_transition,hm_gpt4o,0.2,9,100,paper,paper,0,0
101,prev_outcome_prev_transition,hm_gpt4o,0.2,9,101,rock,scissors,3,-1
102,prev_outcome_prev_transition,hm_gpt4o,0.2,9,102,scissors,paper,3,-1
103,prev_outcome_prev_transition,hm_gpt4o,0.2,9,103,paper,rock,3,-1
104,prev_outcome_prev_transition,hm_gpt4o,0.2,9,104,scissors,scissors,0,0
