,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,give_hypothesis_gpt4o,0,paper,paper,0,0
1,W_stay_L_up_T_down,give_hypothesis_gpt4o,1,rock,paper,-1,3
2,W_stay_L_up_T_down,give_hypothesis_gpt4o,2,paper,scissors,-1,3
3,W_stay_L_up_T_down,give_hypothesis_gpt4o,3,paper,rock,3,-1
4,W_stay_L_up_T_down,give_hypothesis_gpt4o,4,paper,scissors,-1,3
5,W_stay_L_up_T_down,give_hypothesis_gpt4o,5,scissors,rock,-1,3
6,W_stay_L_up_T_down,give_hypothesis_gpt4o,6,rock,paper,-1,3
7,W_stay_L_up_T_down,give_hypothesis_gpt4o,7,paper,scissors,-1,3
8,W_stay_L_up_T_down,give_hypothesis_gpt4o,8,scissors,rock,-1,3
9,W_stay_L_up_T_down,give_hypothesis_gpt4o,9,rock,paper,-1,3
10,W_stay_L_up_T_down,give_hypothesis_gpt4o,10,paper,scissors,-1,3
11,W_stay_L_up_T_down,give_hypothesis_gpt4o,11,scissors,rock,-1,3
12,W_stay_L_up_T_down,give_hypothesis_gpt4o,12,rock,paper,-1,3
13,W_stay_L_up_T_down,give_hypothesis_gpt4o,13,paper,scissors,-1,3
14,W_stay_L_up_T_down,give_hypothesis_gpt4o,14,scissors,paper,3,-1
15,W_stay_L_up_T_down,give_hypothesis_gpt4o,15,scissors,rock,-1,3
16,W_stay_L_up_T_down,give_hypothesis_gpt4o,16,rock,paper,-1,3
17,W_stay_L_up_T_down,give_hypothesis_gpt4o,17,paper,scissors,-1,3
18,W_stay_L_up_T_down,give_hypothesis_gpt4o,18,scissors,rock,-1,3
19,W_stay_L_up_T_down,give_hypothesis_gpt4o,19,scissors,paper,3,-1
20,W_stay_L_up_T_down,give_hypothesis_gpt4o,20,scissors,rock,-1,3
21,W_stay_L_up_T_down,give_hypothesis_gpt4o,21,rock,paper,-1,3
22,W_stay_L_up_T_down,give_hypothesis_gpt4o,22,paper,scissors,-1,3
23,W_stay_L_up_T_down,give_hypothesis_gpt4o,23,scissors,paper,3,-1
24,W_stay_L_up_T_down,give_hypothesis_gpt4o,24,paper,rock,3,-1
25,W_stay_L_up_T_down,give_hypothesis_gpt4o,25,rock,scissors,3,-1
26,W_stay_L_up_T_down,give_hypothesis_gpt4o,26,rock,paper,-1,3
27,W_stay_L_up_T_down,give_hypothesis_gpt4o,27,paper,scissors,-1,3
28,W_stay_L_up_T_down,give_hypothesis_gpt4o,28,paper,rock,3,-1
29,W_stay_L_up_T_down,give_hypothesis_gpt4o,29,paper,scissors,-1,3
30,W_stay_L_up_T_down,give_hypothesis_gpt4o,30,scissors,rock,-1,3
31,W_stay_L_up_T_down,give_hypothesis_gpt4o,31,rock,paper,-1,3
32,W_stay_L_up_T_down,give_hypothesis_gpt4o,32,paper,scissors,-1,3
33,W_stay_L_up_T_down,give_hypothesis_gpt4o,33,scissors,rock,-1,3
34,W_stay_L_up_T_down,give_hypothesis_gpt4o,34,rock,paper,-1,3
35,W_stay_L_up_T_down,give_hypothesis_gpt4o,35,paper,scissors,-1,3
36,W_stay_L_up_T_down,give_hypothesis_gpt4o,36,rock,rock,0,0
37,W_stay_L_up_T_down,give_hypothesis_gpt4o,37,scissors,rock,-1,3
38,W_stay_L_up_T_down,give_hypothesis_gpt4o,38,scissors,paper,3,-1
39,W_stay_L_up_T_down,give_hypothesis_gpt4o,39,scissors,paper,3,-1
40,W_stay_L_up_T_down,give_hypothesis_gpt4o,40,scissors,rock,-1,3
41,W_stay_L_up_T_down,give_hypothesis_gpt4o,41,rock,paper,-1,3
42,W_stay_L_up_T_down,give_hypothesis_gpt4o,42,paper,scissors,-1,3
43,W_stay_L_up_T_down,give_hypothesis_gpt4o,43,scissors,rock,-1,3
44,W_stay_L_up_T_down,give_hypothesis_gpt4o,44,paper,paper,0,0
45,W_stay_L_up_T_down,give_hypothesis_gpt4o,45,rock,paper,-1,3
46,W_stay_L_up_T_down,give_hypothesis_gpt4o,46,paper,scissors,-1,3
47,W_stay_L_up_T_down,give_hypothesis_gpt4o,47,scissors,rock,-1,3
48,W_stay_L_up_T_down,give_hypothesis_gpt4o,48,rock,paper,-1,3
49,W_stay_L_up_T_down,give_hypothesis_gpt4o,49,paper,scissors,-1,3
50,W_stay_L_up_T_down,give_hypothesis_gpt4o,50,scissors,rock,-1,3
51,W_stay_L_up_T_down,give_hypothesis_gpt4o,51,rock,paper,-1,3
52,W_stay_L_up_T_down,give_hypothesis_gpt4o,52,paper,scissors,-1,3
53,W_stay_L_up_T_down,give_hypothesis_gpt4o,53,paper,paper,0,0
54,W_stay_L_up_T_down,give_hypothesis_gpt4o,54,rock,paper,-1,3
55,W_stay_L_up_T_down,give_hypothesis_gpt4o,55,paper,scissors,-1,3
56,W_stay_L_up_T_down,give_hypothesis_gpt4o,56,scissors,paper,3,-1
57,W_stay_L_up_T_down,give_hypothesis_gpt4o,57,scissors,rock,-1,3
58,W_stay_L_up_T_down,give_hypothesis_gpt4o,58,rock,paper,-1,3
59,W_stay_L_up_T_down,give_hypothesis_gpt4o,59,paper,scissors,-1,3
60,W_stay_L_up_T_down,give_hypothesis_gpt4o,60,scissors,rock,-1,3
61,W_stay_L_up_T_down,give_hypothesis_gpt4o,61,rock,paper,-1,3
62,W_stay_L_up_T_down,give_hypothesis_gpt4o,62,rock,scissors,3,-1
63,W_stay_L_up_T_down,give_hypothesis_gpt4o,63,rock,paper,-1,3
