,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,0,paper,paper,0,0
1,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,1,rock,scissors,3,-1
2,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,2,rock,paper,-1,3
3,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,3,paper,scissors,-1,3
4,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,4,scissors,rock,-1,3
5,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,5,rock,scissors,3,-1
6,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,6,rock,paper,-1,3
7,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,7,paper,scissors,-1,3
8,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,8,scissors,rock,-1,3
9,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,9,rock,paper,-1,3
10,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,10,paper,scissors,-1,3
11,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,11,scissors,rock,-1,3
12,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,12,rock,paper,-1,3
13,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,13,paper,scissors,-1,3
14,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,14,scissors,rock,-1,3
15,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,15,rock,paper,-1,3
16,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,16,paper,scissors,-1,3
17,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,17,scissors,rock,-1,3
18,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,18,rock,paper,-1,3
19,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,19,rock,scissors,3,-1
20,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,20,rock,paper,-1,3
21,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,21,paper,rock,3,-1
22,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,22,paper,scissors,-1,3
23,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,23,scissors,rock,-1,3
24,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,24,rock,paper,-1,3
25,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,25,paper,scissors,-1,3
26,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,26,scissors,rock,-1,3
27,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,27,rock,paper,-1,3
28,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,28,paper,scissors,-1,3
29,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,29,scissors,rock,-1,3
30,W_stay_L_up_T_down,choose_hypothesis_gpt4o,0.2,5,30,rock,paper,-1,3
