,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,give_hypothesis_gpt4o,0,rock,rock,0,0
1,self_transition_up,give_hypothesis_gpt4o,1,paper,scissors,-1,3
2,self_transition_up,give_hypothesis_gpt4o,2,scissors,rock,-1,3
3,self_transition_up,give_hypothesis_gpt4o,3,scissors,paper,3,-1
4,self_transition_up,give_hypothesis_gpt4o,4,rock,paper,-1,3
5,self_transition_up,give_hypothesis_gpt4o,5,paper,scissors,-1,3
6,self_transition_up,give_hypothesis_gpt4o,6,rock,rock,0,0
7,self_transition_up,give_hypothesis_gpt4o,7,paper,scissors,-1,3
8,self_transition_up,give_hypothesis_gpt4o,8,scissors,rock,-1,3
9,self_transition_up,give_hypothesis_gpt4o,9,rock,paper,-1,3
10,self_transition_up,give_hypothesis_gpt4o,10,rock,scissors,3,-1
11,self_transition_up,give_hypothesis_gpt4o,11,paper,scissors,-1,3
12,self_transition_up,give_hypothesis_gpt4o,12,scissors,rock,-1,3
13,self_transition_up,give_hypothesis_gpt4o,13,rock,paper,-1,3
14,self_transition_up,give_hypothesis_gpt4o,14,paper,scissors,-1,3
15,self_transition_up,give_hypothesis_gpt4o,15,scissors,rock,-1,3
16,self_transition_up,give_hypothesis_gpt4o,16,rock,paper,-1,3
17,self_transition_up,give_hypothesis_gpt4o,17,paper,scissors,-1,3
18,self_transition_up,give_hypothesis_gpt4o,18,scissors,rock,-1,3
19,self_transition_up,give_hypothesis_gpt4o,19,rock,paper,-1,3
20,self_transition_up,give_hypothesis_gpt4o,20,paper,scissors,-1,3
21,self_transition_up,give_hypothesis_gpt4o,21,scissors,paper,3,-1
22,self_transition_up,give_hypothesis_gpt4o,22,rock,paper,-1,3
23,self_transition_up,give_hypothesis_gpt4o,23,scissors,scissors,0,0
24,self_transition_up,give_hypothesis_gpt4o,24,rock,paper,-1,3
25,self_transition_up,give_hypothesis_gpt4o,25,paper,scissors,-1,3
26,self_transition_up,give_hypothesis_gpt4o,26,scissors,paper,3,-1
27,self_transition_up,give_hypothesis_gpt4o,27,rock,paper,-1,3
28,self_transition_up,give_hypothesis_gpt4o,28,paper,scissors,-1,3
29,self_transition_up,give_hypothesis_gpt4o,29,scissors,rock,-1,3
30,self_transition_up,give_hypothesis_gpt4o,30,rock,paper,-1,3
31,self_transition_up,give_hypothesis_gpt4o,31,paper,scissors,-1,3
32,self_transition_up,give_hypothesis_gpt4o,32,scissors,rock,-1,3
33,self_transition_up,give_hypothesis_gpt4o,33,rock,paper,-1,3
34,self_transition_up,give_hypothesis_gpt4o,34,paper,scissors,-1,3
35,self_transition_up,give_hypothesis_gpt4o,35,scissors,rock,-1,3
36,self_transition_up,give_hypothesis_gpt4o,36,rock,paper,-1,3
37,self_transition_up,give_hypothesis_gpt4o,37,paper,scissors,-1,3
38,self_transition_up,give_hypothesis_gpt4o,38,scissors,rock,-1,3
39,self_transition_up,give_hypothesis_gpt4o,39,rock,paper,-1,3
40,self_transition_up,give_hypothesis_gpt4o,40,paper,scissors,-1,3
41,self_transition_up,give_hypothesis_gpt4o,41,scissors,paper,3,-1
42,self_transition_up,give_hypothesis_gpt4o,42,rock,paper,-1,3
43,self_transition_up,give_hypothesis_gpt4o,43,paper,scissors,-1,3
44,self_transition_up,give_hypothesis_gpt4o,44,scissors,rock,-1,3
45,self_transition_up,give_hypothesis_gpt4o,45,rock,paper,-1,3
46,self_transition_up,give_hypothesis_gpt4o,46,paper,scissors,-1,3
47,self_transition_up,give_hypothesis_gpt4o,47,scissors,rock,-1,3
48,self_transition_up,give_hypothesis_gpt4o,48,rock,paper,-1,3
49,self_transition_up,give_hypothesis_gpt4o,49,paper,scissors,-1,3
50,self_transition_up,give_hypothesis_gpt4o,50,scissors,rock,-1,3
51,self_transition_up,give_hypothesis_gpt4o,51,rock,paper,-1,3
52,self_transition_up,give_hypothesis_gpt4o,52,paper,scissors,-1,3
53,self_transition_up,give_hypothesis_gpt4o,53,scissors,rock,-1,3
