,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,0,scissors,paper,3,-1
1,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,1,rock,rock,0,0
2,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,2,rock,rock,0,0
3,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,3,rock,paper,-1,3
4,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,4,paper,paper,0,0
5,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,5,paper,scissors,-1,3
6,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,6,rock,scissors,3,-1
7,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,7,paper,paper,0,0
8,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,8,paper,paper,0,0
9,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,9,paper,scissors,-1,3
10,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,10,rock,scissors,3,-1
11,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,11,paper,paper,0,0
12,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,12,paper,scissors,-1,3
13,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,13,rock,scissors,3,-1
14,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,14,scissors,scissors,0,0
15,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,15,scissors,paper,3,-1
16,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,16,rock,paper,-1,3
17,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,17,scissors,scissors,0,0
18,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,18,scissors,scissors,0,0
19,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,19,scissors,paper,3,-1
20,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,20,rock,rock,0,0
21,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,21,rock,paper,-1,3
22,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,22,scissors,paper,3,-1
23,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,23,rock,paper,-1,3
24,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,24,scissors,paper,3,-1
25,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,25,rock,paper,-1,3
26,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,26,scissors,paper,3,-1
27,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,27,rock,paper,-1,3
28,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,28,scissors,paper,3,-1
29,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,29,rock,paper,-1,3
30,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,30,scissors,rock,-1,3
31,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,31,paper,paper,0,0
32,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,32,paper,scissors,-1,3
33,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,33,rock,scissors,3,-1
34,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,34,paper,paper,0,0
35,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,35,paper,paper,0,0
36,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,36,paper,scissors,-1,3
37,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,37,rock,scissors,3,-1
38,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,38,paper,scissors,-1,3
39,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,39,rock,scissors,3,-1
40,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,40,scissors,scissors,0,0
41,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,41,scissors,paper,3,-1
42,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,42,rock,paper,-1,3
43,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,43,scissors,paper,3,-1
44,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,44,rock,paper,-1,3
45,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,45,scissors,rock,-1,3
46,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,46,paper,paper,0,0
47,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,47,rock,paper,-1,3
48,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,48,scissors,paper,3,-1
49,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,49,scissors,paper,3,-1
50,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,50,rock,paper,-1,3
51,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,51,scissors,rock,-1,3
52,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,52,scissors,paper,3,-1
53,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,53,rock,paper,-1,3
54,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,54,scissors,rock,-1,3
55,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,55,paper,paper,0,0
56,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,56,paper,rock,3,-1
57,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,57,scissors,paper,3,-1
58,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,58,rock,paper,-1,3
59,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,59,scissors,rock,-1,3
60,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,60,paper,paper,0,0
61,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,61,paper,paper,0,0
62,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,62,paper,paper,0,0
63,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,63,rock,scissors,3,-1
64,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,64,paper,paper,0,0
65,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,65,paper,scissors,-1,3
66,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,66,scissors,scissors,0,0
67,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,67,scissors,paper,3,-1
68,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,68,rock,paper,-1,3
69,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,69,paper,rock,3,-1
70,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,70,scissors,rock,-1,3
71,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,71,rock,paper,-1,3
72,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,72,scissors,rock,-1,3
73,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,73,scissors,paper,3,-1
74,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,74,rock,paper,-1,3
75,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,75,scissors,rock,-1,3
76,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,76,paper,paper,0,0
77,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,77,paper,paper,0,0
78,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,78,paper,paper,0,0
79,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,79,paper,paper,0,0
80,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,80,paper,paper,0,0
81,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,81,paper,paper,0,0
82,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,82,paper,paper,0,0
83,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,83,paper,scissors,-1,3
84,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,84,paper,scissors,-1,3
85,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,85,rock,scissors,3,-1
86,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,86,paper,rock,3,-1
87,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,87,rock,rock,0,0
88,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,88,rock,rock,0,0
89,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,89,rock,scissors,3,-1
90,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,90,paper,paper,0,0
91,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,91,paper,paper,0,0
92,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,92,paper,scissors,-1,3
93,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,93,rock,scissors,3,-1
94,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,94,paper,rock,3,-1
95,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,95,scissors,scissors,0,0
96,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,96,scissors,paper,3,-1
97,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,97,rock,paper,-1,3
98,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,98,scissors,rock,-1,3
99,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,99,paper,paper,0,0
100,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,100,paper,scissors,-1,3
101,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,101,rock,paper,-1,3
102,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,102,scissors,rock,-1,3
103,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,103,paper,paper,0,0
104,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,104,paper,paper,0,0
105,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,105,paper,paper,0,0
106,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,106,paper,scissors,-1,3
107,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,107,rock,paper,-1,3
108,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,108,scissors,rock,-1,3
109,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,109,paper,scissors,-1,3
110,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,110,rock,scissors,3,-1
111,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,111,paper,scissors,-1,3
112,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,112,rock,paper,-1,3
113,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,113,scissors,rock,-1,3
114,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,114,paper,paper,0,0
115,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,115,scissors,scissors,0,0
116,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,116,scissors,scissors,0,0
117,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,117,scissors,rock,-1,3
118,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,118,paper,rock,3,-1
119,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,119,scissors,paper,3,-1
120,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,120,rock,paper,-1,3
121,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,121,scissors,rock,-1,3
122,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,122,paper,paper,0,0
123,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,123,paper,scissors,-1,3
124,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,124,rock,paper,-1,3
125,W_up_L_down_T_stay,hm_pattern_recog_gpt4o,0.2,5,125,scissors,rock,-1,3
