,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,give_hypothesis_gpt4o,0,paper,rock,3,-1
1,self_transition_down,give_hypothesis_gpt4o,1,rock,rock,0,0
2,self_transition_down,give_hypothesis_gpt4o,2,scissors,rock,-1,3
3,self_transition_down,give_hypothesis_gpt4o,3,paper,scissors,-1,3
4,self_transition_down,give_hypothesis_gpt4o,4,rock,paper,-1,3
5,self_transition_down,give_hypothesis_gpt4o,5,scissors,rock,-1,3
6,self_transition_down,give_hypothesis_gpt4o,6,paper,scissors,-1,3
7,self_transition_down,give_hypothesis_gpt4o,7,rock,paper,-1,3
8,self_transition_down,give_hypothesis_gpt4o,8,scissors,rock,-1,3
9,self_transition_down,give_hypothesis_gpt4o,9,paper,scissors,-1,3
10,self_transition_down,give_hypothesis_gpt4o,10,rock,paper,-1,3
11,self_transition_down,give_hypothesis_gpt4o,11,scissors,rock,-1,3
12,self_transition_down,give_hypothesis_gpt4o,12,paper,scissors,-1,3
13,self_transition_down,give_hypothesis_gpt4o,13,rock,paper,-1,3
14,self_transition_down,give_hypothesis_gpt4o,14,scissors,rock,-1,3
15,self_transition_down,give_hypothesis_gpt4o,15,paper,scissors,-1,3
16,self_transition_down,give_hypothesis_gpt4o,16,rock,paper,-1,3
17,self_transition_down,give_hypothesis_gpt4o,17,scissors,rock,-1,3
18,self_transition_down,give_hypothesis_gpt4o,18,paper,scissors,-1,3
19,self_transition_down,give_hypothesis_gpt4o,19,rock,paper,-1,3
20,self_transition_down,give_hypothesis_gpt4o,20,scissors,rock,-1,3
21,self_transition_down,give_hypothesis_gpt4o,21,paper,scissors,-1,3
22,self_transition_down,give_hypothesis_gpt4o,22,rock,paper,-1,3
23,self_transition_down,give_hypothesis_gpt4o,23,scissors,rock,-1,3
24,self_transition_down,give_hypothesis_gpt4o,24,paper,scissors,-1,3
25,self_transition_down,give_hypothesis_gpt4o,25,rock,paper,-1,3
26,self_transition_down,give_hypothesis_gpt4o,26,scissors,rock,-1,3
27,self_transition_down,give_hypothesis_gpt4o,27,paper,paper,0,0
28,self_transition_down,give_hypothesis_gpt4o,28,rock,paper,-1,3
29,self_transition_down,give_hypothesis_gpt4o,29,scissors,rock,-1,3
30,self_transition_down,give_hypothesis_gpt4o,30,paper,scissors,-1,3
31,self_transition_down,give_hypothesis_gpt4o,31,scissors,paper,3,-1
32,self_transition_down,give_hypothesis_gpt4o,32,paper,paper,0,0
33,self_transition_down,give_hypothesis_gpt4o,33,rock,paper,-1,3
34,self_transition_down,give_hypothesis_gpt4o,34,scissors,rock,-1,3
35,self_transition_down,give_hypothesis_gpt4o,35,paper,scissors,-1,3
36,self_transition_down,give_hypothesis_gpt4o,36,rock,paper,-1,3
37,self_transition_down,give_hypothesis_gpt4o,37,scissors,rock,-1,3
38,self_transition_down,give_hypothesis_gpt4o,38,paper,scissors,-1,3
39,self_transition_down,give_hypothesis_gpt4o,39,rock,paper,-1,3
40,self_transition_down,give_hypothesis_gpt4o,40,scissors,rock,-1,3
