,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,0,scissors,paper,3,-1
1,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,1,scissors,rock,-1,3
2,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,2,paper,scissors,-1,3
3,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,3,scissors,rock,-1,3
4,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,4,scissors,paper,3,-1
5,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,5,scissors,rock,-1,3
6,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,6,paper,scissors,-1,3
7,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,7,scissors,rock,-1,3
8,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,8,scissors,scissors,0,0
9,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,9,rock,rock,0,0
10,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,10,scissors,scissors,0,0
11,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,11,scissors,rock,-1,3
12,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,12,scissors,scissors,0,0
13,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,13,rock,rock,0,0
14,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,14,scissors,paper,3,-1
15,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,15,paper,scissors,-1,3
16,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,16,scissors,rock,-1,3
17,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,17,scissors,scissors,0,0
18,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,18,rock,rock,0,0
19,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,19,scissors,scissors,0,0
20,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,20,scissors,rock,-1,3
21,prev_outcome_prev_transition,base_llm_gpt35,0.2,5,21,paper,rock,3,-1
