,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,0,scissors,rock,-1,3
1,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,1,scissors,paper,3,-1
2,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,2,scissors,paper,3,-1
3,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,3,scissors,scissors,0,0
4,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,4,paper,scissors,-1,3
5,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,5,scissors,rock,-1,3
6,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,6,rock,scissors,3,-1
7,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,7,paper,paper,0,0
8,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,8,rock,rock,0,0
9,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,9,rock,paper,-1,3
10,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,10,scissors,scissors,0,0
11,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,11,scissors,rock,-1,3
12,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,12,paper,scissors,-1,3
13,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,13,scissors,rock,-1,3
14,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,14,scissors,rock,-1,3
15,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,15,paper,paper,0,0
16,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,16,rock,scissors,3,-1
17,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,17,rock,paper,-1,3
18,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,18,scissors,scissors,0,0
19,prev_outcome_prev_transition,choose_hypothesis_gpt4o,0.2,5,19,scissors,scissors,0,0
