,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_up_L_down_T_stay,choose_hypothesis_gpt4o,0,scissors,scissors,0,0
1,W_up_L_down_T_stay,choose_hypothesis_gpt4o,1,scissors,rock,-1,3
2,W_up_L_down_T_stay,choose_hypothesis_gpt4o,2,paper,scissors,-1,3
3,W_up_L_down_T_stay,choose_hypothesis_gpt4o,3,rock,paper,-1,3
4,W_up_L_down_T_stay,choose_hypothesis_gpt4o,4,scissors,scissors,0,0
5,W_up_L_down_T_stay,choose_hypothesis_gpt4o,5,scissors,rock,-1,3
6,W_up_L_down_T_stay,choose_hypothesis_gpt4o,6,paper,rock,3,-1
7,W_up_L_down_T_stay,choose_hypothesis_gpt4o,7,scissors,rock,-1,3
8,W_up_L_down_T_stay,choose_hypothesis_gpt4o,8,paper,scissors,-1,3
9,W_up_L_down_T_stay,choose_hypothesis_gpt4o,9,rock,rock,0,0
10,W_up_L_down_T_stay,choose_hypothesis_gpt4o,10,rock,paper,-1,3
11,W_up_L_down_T_stay,choose_hypothesis_gpt4o,11,scissors,rock,-1,3
12,W_up_L_down_T_stay,choose_hypothesis_gpt4o,12,paper,scissors,-1,3
13,W_up_L_down_T_stay,choose_hypothesis_gpt4o,13,rock,paper,-1,3
14,W_up_L_down_T_stay,choose_hypothesis_gpt4o,14,scissors,rock,-1,3
15,W_up_L_down_T_stay,choose_hypothesis_gpt4o,15,paper,scissors,-1,3
16,W_up_L_down_T_stay,choose_hypothesis_gpt4o,16,rock,paper,-1,3
17,W_up_L_down_T_stay,choose_hypothesis_gpt4o,17,scissors,scissors,0,0
18,W_up_L_down_T_stay,choose_hypothesis_gpt4o,18,scissors,scissors,0,0
19,W_up_L_down_T_stay,choose_hypothesis_gpt4o,19,scissors,scissors,0,0
20,W_up_L_down_T_stay,choose_hypothesis_gpt4o,20,scissors,rock,-1,3
21,W_up_L_down_T_stay,choose_hypothesis_gpt4o,21,paper,paper,0,0
22,W_up_L_down_T_stay,choose_hypothesis_gpt4o,22,paper,paper,0,0
