,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,opponent_transition_up,base_llm_gpt35,0.2,5,0,rock,rock,0,0
1,opponent_transition_up,base_llm_gpt35,0.2,5,1,paper,paper,0,0
2,opponent_transition_up,base_llm_gpt35,0.2,5,2,scissors,scissors,0,0
3,opponent_transition_up,base_llm_gpt35,0.2,5,3,rock,rock,0,0
4,opponent_transition_up,base_llm_gpt35,0.2,5,4,rock,scissors,3,-1
5,opponent_transition_up,base_llm_gpt35,0.2,5,5,rock,rock,0,0
6,opponent_transition_up,base_llm_gpt35,0.2,5,6,paper,paper,0,0
7,opponent_transition_up,base_llm_gpt35,0.2,5,7,paper,scissors,-1,3
8,opponent_transition_up,base_llm_gpt35,0.2,5,8,rock,rock,0,0
9,opponent_transition_up,base_llm_gpt35,0.2,5,9,paper,scissors,-1,3
10,opponent_transition_up,base_llm_gpt35,0.2,5,10,rock,rock,0,0
11,opponent_transition_up,base_llm_gpt35,0.2,5,11,paper,scissors,-1,3
12,opponent_transition_up,base_llm_gpt35,0.2,5,12,rock,rock,0,0
13,opponent_transition_up,base_llm_gpt35,0.2,5,13,paper,scissors,-1,3
14,opponent_transition_up,base_llm_gpt35,0.2,5,14,paper,rock,3,-1
15,opponent_transition_up,base_llm_gpt35,0.2,5,15,paper,scissors,-1,3
16,opponent_transition_up,base_llm_gpt35,0.2,5,16,scissors,rock,-1,3
17,opponent_transition_up,base_llm_gpt35,0.2,5,17,paper,scissors,-1,3
18,opponent_transition_up,base_llm_gpt35,0.2,5,18,rock,rock,0,0
19,opponent_transition_up,base_llm_gpt35,0.2,5,19,paper,scissors,-1,3
20,opponent_transition_up,base_llm_gpt35,0.2,5,20,rock,rock,0,0
21,opponent_transition_up,base_llm_gpt35,0.2,5,21,paper,scissors,-1,3
22,opponent_transition_up,base_llm_gpt35,0.2,5,22,rock,rock,0,0
23,opponent_transition_up,base_llm_gpt35,0.2,5,23,paper,scissors,-1,3
24,opponent_transition_up,base_llm_gpt35,0.2,5,24,rock,rock,0,0
25,opponent_transition_up,base_llm_gpt35,0.2,5,25,paper,scissors,-1,3
26,opponent_transition_up,base_llm_gpt35,0.2,5,26,rock,rock,0,0
27,opponent_transition_up,base_llm_gpt35,0.2,5,27,paper,scissors,-1,3
28,opponent_transition_up,base_llm_gpt35,0.2,5,28,rock,rock,0,0
29,opponent_transition_up,base_llm_gpt35,0.2,5,29,paper,scissors,-1,3
30,opponent_transition_up,base_llm_gpt35,0.2,5,30,rock,rock,0,0
31,opponent_transition_up,base_llm_gpt35,0.2,5,31,paper,scissors,-1,3
32,opponent_transition_up,base_llm_gpt35,0.2,5,32,rock,rock,0,0
33,opponent_transition_up,base_llm_gpt35,0.2,5,33,paper,scissors,-1,3
34,opponent_transition_up,base_llm_gpt35,0.2,5,34,rock,rock,0,0
35,opponent_transition_up,base_llm_gpt35,0.2,5,35,paper,scissors,-1,3
36,opponent_transition_up,base_llm_gpt35,0.2,5,36,rock,rock,0,0
37,opponent_transition_up,base_llm_gpt35,0.2,5,37,rock,scissors,3,-1
38,opponent_transition_up,base_llm_gpt35,0.2,5,38,rock,rock,0,0
39,opponent_transition_up,base_llm_gpt35,0.2,5,39,paper,scissors,-1,3
40,opponent_transition_up,base_llm_gpt35,0.2,5,40,rock,rock,0,0
41,opponent_transition_up,base_llm_gpt35,0.2,5,41,paper,scissors,-1,3
42,opponent_transition_up,base_llm_gpt35,0.2,5,42,rock,rock,0,0
43,opponent_transition_up,base_llm_gpt35,0.2,5,43,paper,scissors,-1,3
44,opponent_transition_up,base_llm_gpt35,0.2,5,44,rock,rock,0,0
