,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_up,choose_hypothesis_gpt4o,0,paper,rock,3,-1
1,self_transition_up,choose_hypothesis_gpt4o,1,scissors,scissors,0,0
2,self_transition_up,choose_hypothesis_gpt4o,2,rock,rock,0,0
3,self_transition_up,choose_hypothesis_gpt4o,3,paper,paper,0,0
4,self_transition_up,choose_hypothesis_gpt4o,4,scissors,scissors,0,0
5,self_transition_up,choose_hypothesis_gpt4o,5,rock,rock,0,0
6,self_transition_up,choose_hypothesis_gpt4o,6,paper,paper,0,0
7,self_transition_up,choose_hypothesis_gpt4o,7,scissors,scissors,0,0
8,self_transition_up,choose_hypothesis_gpt4o,8,rock,rock,0,0
9,self_transition_up,choose_hypothesis_gpt4o,9,paper,paper,0,0
10,self_transition_up,choose_hypothesis_gpt4o,10,scissors,scissors,0,0
11,self_transition_up,choose_hypothesis_gpt4o,11,rock,rock,0,0
12,self_transition_up,choose_hypothesis_gpt4o,12,paper,paper,0,0
13,self_transition_up,choose_hypothesis_gpt4o,13,paper,scissors,-1,3
14,self_transition_up,choose_hypothesis_gpt4o,14,paper,rock,3,-1
15,self_transition_up,choose_hypothesis_gpt4o,15,rock,rock,0,0
16,self_transition_up,choose_hypothesis_gpt4o,16,paper,rock,3,-1
17,self_transition_up,choose_hypothesis_gpt4o,17,scissors,scissors,0,0
18,self_transition_up,choose_hypothesis_gpt4o,18,rock,paper,-1,3
19,self_transition_up,choose_hypothesis_gpt4o,19,scissors,rock,-1,3
20,self_transition_up,choose_hypothesis_gpt4o,20,rock,paper,-1,3
21,self_transition_up,choose_hypothesis_gpt4o,21,paper,paper,0,0
22,self_transition_up,choose_hypothesis_gpt4o,22,scissors,paper,3,-1
23,self_transition_up,choose_hypothesis_gpt4o,23,rock,rock,0,0
24,self_transition_up,choose_hypothesis_gpt4o,24,paper,rock,3,-1
25,self_transition_up,choose_hypothesis_gpt4o,25,scissors,rock,-1,3
