,sequential_agent_class,tom_agent_class,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,self_transition_down,gpt3.5,0,scissors,paper,3,-1
1,self_transition_down,gpt3.5,1,paper,scissors,-1,3
2,self_transition_down,gpt3.5,2,rock,paper,-1,3
3,self_transition_down,gpt3.5,3,scissors,rock,-1,3
4,self_transition_down,gpt3.5,4,paper,rock,3,-1
5,self_transition_down,gpt3.5,5,rock,scissors,3,-1
6,self_transition_down,gpt3.5,6,scissors,scissors,0,0
7,self_transition_down,gpt3.5,7,paper,rock,3,-1
8,self_transition_down,gpt3.5,8,rock,scissors,3,-1
9,self_transition_down,gpt3.5,9,scissors,paper,3,-1
10,self_transition_down,gpt3.5,10,paper,rock,3,-1
11,self_transition_down,gpt3.5,11,rock,scissors,3,-1
12,self_transition_down,gpt3.5,12,scissors,paper,3,-1
13,self_transition_down,gpt3.5,13,paper,rock,3,-1
14,self_transition_down,gpt3.5,14,rock,scissors,3,-1
15,self_transition_down,gpt3.5,15,scissors,paper,3,-1
16,self_transition_down,gpt3.5,16,paper,paper,0,0
17,self_transition_down,gpt3.5,17,rock,scissors,3,-1
18,self_transition_down,gpt3.5,18,scissors,paper,3,-1
19,self_transition_down,gpt3.5,19,paper,paper,0,0
20,self_transition_down,gpt3.5,20,rock,scissors,3,-1
21,self_transition_down,gpt3.5,21,scissors,paper,3,-1
22,self_transition_down,gpt3.5,22,paper,rock,3,-1
23,self_transition_down,gpt3.5,23,rock,rock,0,0
24,self_transition_down,gpt3.5,24,scissors,paper,3,-1
25,self_transition_down,gpt3.5,25,paper,paper,0,0
26,self_transition_down,gpt3.5,26,scissors,rock,-1,3
27,self_transition_down,gpt3.5,27,scissors,scissors,0,0
28,self_transition_down,gpt3.5,28,paper,paper,0,0
29,self_transition_down,gpt3.5,29,rock,scissors,3,-1
30,self_transition_down,gpt3.5,30,scissors,paper,3,-1
31,self_transition_down,gpt3.5,31,paper,rock,3,-1
32,self_transition_down,gpt3.5,32,rock,scissors,3,-1
33,self_transition_down,gpt3.5,33,scissors,paper,3,-1
34,self_transition_down,gpt3.5,34,paper,rock,3,-1
35,self_transition_down,gpt3.5,35,rock,scissors,3,-1
36,self_transition_down,gpt3.5,36,scissors,paper,3,-1
37,self_transition_down,gpt3.5,37,scissors,rock,-1,3
38,self_transition_down,gpt3.5,38,paper,rock,3,-1
39,self_transition_down,gpt3.5,39,rock,rock,0,0
40,self_transition_down,gpt3.5,40,rock,scissors,3,-1
41,self_transition_down,gpt3.5,41,scissors,paper,3,-1
