,sequential_agent_class,tom_agent_class,tom_agent_softmax_temp,tom_agent_num_hypotheses,round_index,sequential_agent_move,tom_agent_move,sequential_agent_reward,tom_agent_reward
0,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,0,paper,scissors,-1,3
1,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,1,scissors,scissors,0,0
2,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,2,paper,paper,0,0
3,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,3,rock,scissors,3,-1
4,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,4,rock,scissors,3,-1
5,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,5,rock,paper,-1,3
6,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,6,paper,rock,3,-1
7,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,7,paper,scissors,-1,3
8,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,8,scissors,paper,3,-1
9,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,9,scissors,paper,3,-1
10,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,10,scissors,rock,-1,3
11,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,11,rock,scissors,3,-1
12,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,12,rock,paper,-1,3
13,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,13,paper,scissors,-1,3
14,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,14,scissors,paper,3,-1
15,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,15,scissors,rock,-1,3
16,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,16,rock,paper,-1,3
17,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,17,paper,rock,3,-1
18,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,18,paper,scissors,-1,3
19,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,19,scissors,paper,3,-1
20,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,20,scissors,rock,-1,3
21,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,21,rock,paper,-1,3
22,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,22,paper,scissors,-1,3
23,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,23,scissors,rock,-1,3
24,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,24,rock,paper,-1,3
25,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,25,paper,rock,3,-1
26,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,26,scissors,scissors,0,0
27,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,27,paper,paper,0,0
28,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,28,rock,paper,-1,3
29,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,29,paper,rock,3,-1
30,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,30,paper,scissors,-1,3
31,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,31,scissors,paper,3,-1
32,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,32,scissors,rock,-1,3
33,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,33,rock,scissors,3,-1
34,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,34,rock,paper,-1,3
35,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,35,paper,rock,3,-1
36,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,36,paper,scissors,-1,3
37,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,37,scissors,paper,3,-1
38,W_stay_L_up_T_down,hm_scaffold_1shot_gpt4o,0.2,5,38,scissors,rock,-1,3
